  flscon:  version 23.2.0.01  win64 2022 
 FLOW-3D   17:29:15  03/05/2024 jbnv     
   hydr3d   version  23.2.0.20 win64     12/04/2023 HYDRO    
 Simulation Template: Free Surface - TruVOF (Default)                            

Mesh Block   1
 printing pfxob, pfyob, pfzob       
       1     1000      0.000E+00      3.341E+00
   time              pfxob_1         pfyob_1         pfzob_1
   6.1423802E-01  -2.1936873E-02  -2.3770602E+00   1.8992692E+00
   6.1844128E-01  -1.3634292E-02  -2.4966440E+00   1.8991187E+00
   6.2172401E-01  -2.4479264E-02  -2.6288114E+00   1.8984460E+00
   6.2507033E-01  -6.0603108E-02  -2.8737755E+00   1.8970349E+00
   6.2826383E-01  -2.3420919E-02  -2.9398918E+00   1.8968407E+00
   6.3122422E-01   4.9174689E-02  -3.0824678E+00   1.8964827E+00
   6.3428289E-01  -7.1527630E-02  -3.3708391E+00   1.8954860E+00
   6.3756573E-01  -1.2783694E-02  -3.4799531E+00   1.8947839E+00
   6.4111191E-01  -9.3103118E-02  -3.4660118E+00   1.8938333E+00
   6.4481390E-01   3.8686428E-02  -3.9007826E+00   1.8930272E+00
   6.4824063E-01  -9.5811293E-02  -3.9642999E+00   1.8934187E+00
   6.5154952E-01  -2.7496384E-02  -4.0112071E+00   1.8926326E+00
   6.5444529E-01  -3.3542018E-02  -4.3908906E+00   1.8913950E+00
   6.5769845E-01  -4.3395050E-02  -4.4792624E+00   1.8910301E+00
   6.6174883E-01  -1.3351306E-02  -4.4298153E+00   1.8903898E+00
   6.6477948E-01  -7.2173551E-02  -5.0192780E+00   1.8895270E+00
   6.6827750E-01   4.7974121E-03  -4.9418406E+00   1.8887327E+00
   6.7163467E-01  -8.8358214E-03  -5.0459061E+00   1.8890493E+00
   6.7444563E-01  -5.3738724E-02  -5.1952639E+00   1.8886784E+00
   6.7835361E-01   2.6507042E-03  -5.4559627E+00   1.8862364E+00
   6.8126529E-01  -5.8995660E-02  -5.5499210E+00   1.8849065E+00
   6.8480444E-01  -5.3041540E-02  -5.8461647E+00   1.8840013E+00
   6.8845105E-01  -3.1793144E-02  -5.9178958E+00   1.8829639E+00
   6.9137788E-01  -5.2705746E-02  -6.0416508E+00   1.8823322E+00
   6.9436765E-01  -2.6147285E-02  -6.1897082E+00   1.8814896E+00
   6.9815922E-01  -5.7582650E-02  -6.3919950E+00   1.8792436E+00
   7.0111346E-01  -3.7465774E-02  -6.5759444E+00   1.8782032E+00
   7.0493853E-01  -3.0165143E-02  -6.6283212E+00   1.8774096E+00
   7.0784044E-01  -1.0709499E-02  -6.8291035E+00   1.8770187E+00
   7.1157378E-01  -2.9735135E-02  -6.9069400E+00   1.8758585E+00
   7.1534914E-01   1.2525442E-02  -7.1839113E+00   1.8733062E+00
   7.1813196E-01  -3.4075964E-02  -7.2460771E+00   1.8727695E+00
   7.2178978E-01  -3.6775533E-03  -7.3881750E+00   1.8726935E+00
   7.2453552E-01  -4.5405431E-03  -7.5057817E+00   1.8714846E+00
   7.2808623E-01  -3.3790261E-02  -7.6223154E+00   1.8693599E+00
   7.3154980E-01  -1.5049324E-02  -7.7512679E+00   1.8678662E+00
   7.3500109E-01  -9.5355399E-02  -7.7378950E+00   1.8666319E+00
   7.3849344E-01   1.1290075E-01  -8.1998653E+00   1.8652766E+00
   7.4184644E-01  -7.7662237E-02  -8.1099997E+00   1.8638147E+00
   7.4526018E-01  -3.6141500E-02  -8.2373228E+00   1.8629290E+00
   7.4856216E-01  -3.4520131E-02  -8.3569689E+00   1.8609058E+00
   7.5184804E-01  -6.3496977E-02  -8.4837341E+00   1.8580784E+00
   7.5518852E-01  -1.8623531E-02  -8.5707865E+00   1.8569547E+00
