  flscon:  version 23.2.0.01  win64 2022 
 FLOW-3D   22:52:41  03/05/2024 nhtt     
   hydr3d   version  23.2.0.20 win64     12/04/2023 HYDRO    
 Simulation Template: Free Surface - TruVOF (Default)                            

Mesh Block   1
 printing pfxob, pfyob, pfzob       
       1     1002      0.000E+00      3.342E+00
   time              pfxob_1         pfyob_1         pfzob_1
   8.2178396E-01   5.4548781E-02  -6.2818708E+00   5.7639939E-01
   8.2496774E-01   1.3750700E-02  -6.3145480E+00   5.8237779E-01
   8.2872182E-01   1.2154602E-02  -6.4182048E+00   5.8680320E-01
   8.3189464E-01   3.7952282E-02  -6.4369731E+00   5.9186155E-01
   8.3500189E-01   1.1328016E-02  -6.4802375E+00   5.9782583E-01
   8.3890915E-01  -1.7821731E-02  -6.5280833E+00   6.0124546E-01
   8.4154075E-01   3.0657398E-02  -6.5333791E+00   6.0514921E-01
   8.4561813E-01   1.2135008E-02  -6.6104312E+00   6.1210084E-01
   8.4894550E-01   5.3020795E-03  -6.6303287E+00   6.1539882E-01
   8.5225528E-01  -1.4982123E-02  -6.6572270E+00   6.1599702E-01
   8.5539669E-01   5.1676366E-02  -6.7447023E+00   6.1877853E-01
   8.5820311E-01   2.0915017E-02  -6.7501450E+00   6.1950302E-01
   8.6169350E-01  -7.1930080E-03  -6.8112931E+00   6.1804324E-01
   8.6501873E-01   1.5034137E-02  -6.8294144E+00   6.2504023E-01
   8.6828279E-01   1.9316917E-02  -6.8728132E+00   6.2891263E-01
   8.7209278E-01   1.6500032E-02  -6.9259710E+00   6.2871379E-01
   8.7532681E-01   1.0170619E-02  -6.9446836E+00   6.3240820E-01
   8.7857056E-01   2.7231432E-02  -6.9627957E+00   6.3204956E-01
   8.8157701E-01  -2.1017915E-02  -6.9987297E+00   6.3760322E-01
   8.8475347E-01   9.6200882E-03  -7.0037622E+00   6.3784486E-01
   8.8841027E-01   2.3874823E-02  -7.0421524E+00   6.3837558E-01
   8.9165735E-01  -2.2994995E-03  -7.1104155E+00   6.4206022E-01
   8.9545524E-01   1.6320077E-03  -7.1143680E+00   6.4010859E-01
   8.9865416E-01   8.6517157E-03  -7.1429844E+00   6.4662534E-01
   9.0149820E-01   1.0789928E-02  -7.1532593E+00   6.4541781E-01
   9.0574044E-01   1.0992486E-02  -7.1686368E+00   6.4558947E-01
   9.0895218E-01   1.3144981E-02  -7.2025619E+00   6.4683717E-01
   9.1218430E-01  -1.0671083E-02  -7.2364039E+00   6.4993197E-01
   9.1538173E-01   3.2763039E-03  -7.2310152E+00   6.4891535E-01
   9.1902477E-01  -8.6368117E-03  -7.2588911E+00   6.5051746E-01
   9.2215335E-01   1.5119877E-02  -7.2728353E+00   6.5025747E-01
   9.2506963E-01   1.5188931E-02  -7.3000455E+00   6.4758182E-01
   9.2831063E-01  -1.0896478E-05  -7.3118992E+00   6.5389264E-01
   9.3225014E-01   1.1244172E-02  -7.3178139E+00   6.5755320E-01
   9.3542165E-01   2.4996417E-02  -7.3250875E+00   6.5816158E-01
   9.3862075E-01   3.6002547E-03  -7.3267717E+00   6.5950811E-01
   9.4200832E-01  -1.6391863E-03  -7.3303800E+00   6.6008967E-01
   9.4520241E-01  -7.0016999E-03  -7.3306980E+00   6.5554619E-01
   9.4883490E-01  -5.6459312E-04  -7.3213348E+00   6.5337086E-01
   9.5199388E-01   1.3484837E-02  -7.3443599E+00   6.6342640E-01
   9.5569354E-01  -1.1616698E-02  -7.3438635E+00   6.5944129E-01
   9.5897496E-01   2.5954157E-02  -7.2685528E+00   6.5724915E-01
   9.6189225E-01   2.3946131E-02  -7.3197885E+00   6.5635860E-01
   9.6508938E-01   2.6005763E-03  -7.3350201E+00   6.5721983E-01
   9.6826571E-01   1.2491323E-02  -7.3267150E+00   6.5886176E-01
   9.7167456E-01   1.0459422E-03  -7.3538737E+00   6.6252774E-01
   9.7515625E-01   9.3348613E-03  -7.3151507E+00   6.6429508E-01
   9.7894418E-01   6.2875628E-02  -7.3269176E+00   6.6749775E-01
   9.8220289E-01   2.8698459E-02  -7.3046761E+00   6.7147613E-01
   9.8520643E-01  -1.2119952E-02  -7.3074784E+00   6.6800529E-01
   9.8889130E-01   5.4019401E-03  -7.2706165E+00   6.7430443E-01
   9.9201083E-01   1.9482922E-02  -7.2663412E+00   6.8605721E-01
   9.9583548E-01   7.4400310E-03  -7.2309523E+00   6.7774141E-01
   9.9896622E-01   6.4319172E-03  -7.2602553E+00   6.7816722E-01
   1.0020280E+00   5.5142441E-03  -7.2449732E+00   6.7985821E-01
   1.0056854E+00   1.5004603E-02  -7.1968627E+00   6.8203282E-01
   1.0086840E+00   2.5469076E-03  -7.1821280E+00   6.8554872E-01
   1.0118037E+00  -4.8184986E-03  -7.1552515E+00   6.8930262E-01
   1.0155543E+00  -5.0486700E-04  -7.1413255E+00   6.9173461E-01
   1.0188684E+00   1.5563885E-02  -7.1319728E+00   6.9820398E-01
   1.0221573E+00   8.1897285E-03  -7.0953064E+00   6.9828892E-01
   1.0260487E+00   5.1256502E-03  -7.0521870E+00   7.0065671E-01
   1.0290987E+00   7.2957808E-03  -7.0412216E+00   7.0140636E-01
   1.0321172E+00  -7.8617400E-03  -7.0224838E+00   7.0251679E-01
   1.0352091E+00   8.5827140E-03  -7.0080719E+00   7.0571011E-01
   1.0385002E+00  -9.6136527E-03  -6.9653959E+00   7.0794702E-01
   1.0418839E+00   6.0490821E-03  -6.9356670E+00   7.0952296E-01
   1.0452685E+00   1.4724302E-02  -6.9126763E+00   7.1090722E-01
   1.0486553E+00  -1.1678458E-02  -6.8751607E+00   7.1297598E-01
   1.0520450E+00   2.3123072E-02  -6.8469977E+00   7.1457994E-01
   1.0553406E+00   9.4860271E-03  -6.8226900E+00   7.1598512E-01
   1.0585133E+00   5.3848298E-03  -6.8037424E+00   7.1701002E-01
   1.0627488E+00   8.1443209E-03  -6.7254348E+00   7.1930051E-01
   1.0661163E+00   1.4887209E-02  -6.7020650E+00   7.2008711E-01
   1.0695266E+00   1.1042097E-02  -6.6776595E+00   7.2198367E-01
   1.0718021E+00   8.6523232E-04  -6.6592236E+00   7.2104394E-01
   1.0751705E+00   1.1287708E-03  -6.6359692E+00   7.2225142E-01
   1.0785285E+00   2.8143977E-04  -6.5651302E+00   7.2640276E-01
   1.0819434E+00   2.0984724E-02  -6.5510554E+00   7.2297013E-01
   1.0853688E+00   6.7103747E-03  -6.5116553E+00   7.2414082E-01
   1.0887965E+00  -1.9266051E-03  -6.4935756E+00   7.2434163E-01
   1.0922264E+00   8.8928570E-04  -6.4367952E+00   7.2572225E-01
   1.0956579E+00   2.4719926E-02  -6.4128642E+00   7.2535509E-01
   1.0990912E+00   4.9104686E-03  -6.3620219E+00   7.2587597E-01
   1.1023855E+00   3.8045861E-03  -6.3290954E+00   7.2644794E-01
   1.1056983E+00   1.4257510E-02  -6.2999563E+00   7.2728038E-01
   1.1091702E+00   9.6629011E-03  -6.2717633E+00   7.2718221E-01
   1.1126736E+00   2.9207045E-02  -6.2084627E+00   7.2741038E-01
   1.1161953E+00   1.9256901E-02  -6.1646557E+00   7.2740495E-01
   1.1196468E+00   1.3274979E-02  -6.1692553E+00   7.2738349E-01
   1.1227640E+00   1.3729944E-02  -6.1115689E+00   7.2796816E-01
   1.1260530E+00   9.9702002E-03  -6.0468092E+00   7.2831708E-01
   1.1292661E+00   1.3133898E-02  -5.9802046E+00   7.2884148E-01
   1.1324085E+00   7.8093163E-03  -5.9925199E+00   7.2891259E-01
   1.1354846E+00   1.5835447E-02  -5.9774156E+00   7.2908586E-01
   1.1394899E+00   2.3686368E-02  -5.8938112E+00   7.2966307E-01
   1.1424264E+00   2.9758627E-02  -5.8419209E+00   7.3071498E-01
   1.1462578E+00   6.5554213E-03  -5.8344135E+00   7.3101908E-01
   1.1490721E+00   1.8450882E-02  -5.7972412E+00   7.3078662E-01
   1.1527504E+00   1.2813179E-02  -5.7193327E+00   7.3206002E-01
   1.1554565E+00   1.2410367E-02  -5.6870499E+00   7.3254061E-01
   1.1589988E+00   4.8466171E-03  -5.6204338E+00   7.3298556E-01
   1.1624699E+00   1.2221226E-02  -5.5852160E+00   7.3413724E-01
   1.1658739E+00   8.5730180E-03  -5.5273066E+00   7.3564726E-01
