  flscon:  version 23.2.0.01  win64 2022 
 FLOW-3D   18:55:35  02/28/2024 tcgi     
   hydr3d   version  23.2.0.20 win64     12/04/2023 HYDRO    
 Simulation Template: Free Surface - TruVOF (Default)                            

Mesh Block   1
 printing pfxob, pfyob, pfzob       
       1     1001      0.000E+00      1.714E+00
   time              pfxob_1         pfyob_1         pfzob_1
   5.2242327E-01   2.5048578E-02   4.6731120E-01   1.1577711E+00
   5.2458769E-01   4.5436947E-03   3.6927611E-01   1.1584063E+00
   5.2569157E-01   9.1155302E-03   3.7036082E-01   1.1578569E+00
   5.2792090E-01   1.0682611E-02   2.2515377E-01   1.1580135E+00
   5.2902502E-01   6.6805924E-03   1.5340884E-01   1.1583165E+00
   5.3116202E-01   1.1898338E-02   6.9083601E-02   1.1578960E+00
   5.3336656E-01   6.0008802E-03  -3.0495403E-02   1.1563606E+00
   5.3446811E-01   5.7457415E-03  -4.0649328E-02   1.1562169E+00
   5.3669566E-01  -7.0050068E-04  -8.5919708E-02   1.1562396E+00
   5.3783935E-01  -3.5003681E-02  -2.0288698E-01   1.1545027E+00
   5.4007602E-01   2.1624679E-02  -3.2263926E-01   1.1531235E+00
   5.4127896E-01   1.5060351E-02  -3.7507457E-01   1.1542979E+00
   5.4294276E-01   2.3390684E-02  -4.7805393E-01   1.1528500E+00
   5.4477715E-01   1.1902789E-03  -4.9533007E-01   1.1547723E+00
   5.4679954E-01  -6.3348268E-03  -5.3777075E-01   1.1534637E+00
   5.4788721E-01   9.4011081E-03  -5.8041275E-01   1.1533395E+00
   5.5022836E-01   1.4979240E-03  -6.8070579E-01   1.1535094E+00
   5.5145025E-01  -2.2063577E-03  -7.3865426E-01   1.1547656E+00
   5.5402553E-01   7.5855758E-03  -8.8574833E-01   1.1522231E+00
   5.5539876E-01  -1.2108049E-02  -9.5677209E-01   1.1520858E+00
   5.5691284E-01   1.0977444E-02  -9.6756029E-01   1.1521732E+00
   5.5858201E-01   2.4231652E-02  -1.1089132E+00   1.1521920E+00
   5.6042230E-01   8.3533479E-03  -1.1041353E+00   1.1549332E+00
   5.6245124E-01  -1.0189367E-02  -1.1565603E+00   1.1540719E+00
   5.6351161E-01  -1.0525378E-02  -1.1894654E+00   1.1546113E+00
   5.6552744E-01  -2.6719752E-03  -1.3852468E+00   1.1553166E+00
