  flscon:  version 23.2.0.01  win64 2022 
 FLOW-3D   10:58:26  02/29/2024 ntjb     
   hydr3d   version  23.2.0.20 win64     12/04/2023 HYDRO    
 Simulation Template: Free Surface - TruVOF (Default)                            

Mesh Block   1
 printing pfxob, pfyob, pfzob       
       1      977      0.000E+00      4.931E+00
   time              pfxob_1         pfyob_1         pfzob_1
   7.3523802E-01  -6.1969396E-05  -7.3145312E-01   1.8523453E+00
   7.3923200E-01  -1.2948421E-04  -7.0264924E-01   1.8523898E+00
   7.4520564E-01  -3.6371360E-04  -6.6154683E-01   1.8524652E+00
   7.4917823E-01  -3.8263318E-04  -6.3403529E-01   1.8525115E+00
   7.5512457E-01  -6.7460444E-04  -5.9771365E-01   1.8525590E+00
   7.5908148E-01  -7.7517686E-04  -5.7838506E-01   1.8525658E+00
   7.6500720E-01  -1.2182693E-03  -5.1846159E-01   1.8525858E+00
   7.6895183E-01  -1.2069113E-03  -4.9683946E-01   1.8525834E+00
   7.7485377E-01  -1.5291838E-03  -4.7955739E-01   1.8525010E+00
   7.7878755E-01  -1.5546943E-03  -4.6325529E-01   1.8524363E+00
   7.8468311E-01  -1.5825398E-03  -4.3152818E-01   1.8523973E+00
   7.8860986E-01  -1.6764038E-03  -4.1180891E-01   1.8523718E+00
   7.9449487E-01  -1.7552804E-03  -3.8241079E-01   1.8523406E+00
   7.9842460E-01  -1.7024467E-03  -3.7012887E-01   1.8523412E+00
   8.0439740E-01  -1.8200231E-03  -3.5241166E-01   1.8523935E+00
   8.0821669E-01  -2.0072176E-03  -3.4148392E-01   1.8524956E+00
   8.1445193E-01  -1.9555937E-03  -3.2538393E-01   1.8526648E+00
   8.1914568E-01  -2.1054596E-03  -3.1193304E-01   1.8528147E+00
   8.2389671E-01  -2.2793747E-03  -2.8429788E-01   1.8531650E+00
   8.2869118E-01  -2.4842185E-03  -2.7606937E-01   1.8534495E+00
   8.3397704E-01  -2.3949228E-03  -2.7779770E-01   1.8535868E+00
   8.3681983E-01  -2.1354931E-03  -2.1613102E-01   1.8544018E+00
   8.4242606E-01  -2.6352804E-03  -2.5468266E-01   1.8544583E+00
   8.4845805E-01  -2.1437388E-03  -2.6566678E-01   1.8544830E+00
   8.5417181E-01  -2.4103271E-03  -2.5003538E-01   1.8546255E+00
   8.5716325E-01  -2.3568259E-03  -2.4962242E-01   1.8546575E+00
   8.6243284E-01  -1.9311800E-03  -1.4325036E-01   1.8549823E+00
   8.6732227E-01  -2.1836259E-03  -2.1066251E-01   1.8546182E+00
   8.7207460E-01  -2.3866789E-03  -2.3534566E-01   1.8545196E+00
   8.7867421E-01  -2.5827803E-03  -1.4520705E-01   1.8545047E+00
   8.8330126E-01  -1.7881020E-03  -1.5958391E-01   1.8543538E+00
   8.8785958E-01  -2.2511845E-03  -1.6987737E-01   1.8541976E+00
   8.9216697E-01  -3.1371412E-03  -7.9549402E-02   1.8545134E+00
   8.9818579E-01  -1.9387222E-03  -1.1984705E-01   1.8544823E+00
   9.0210855E-01  -2.2879434E-03  -1.3017762E-01   1.8544735E+00
   9.0623349E-01  -2.8020241E-03  -1.0054114E-01   1.8546505E+00
   9.1244143E-01  -2.3497303E-03  -1.4903924E-03   1.8554934E+00
   9.1636252E-01  -2.5566989E-03  -6.0257290E-02   1.8551306E+00
   9.2203110E-01  -2.5769982E-03  -4.1649770E-02   1.8550514E+00
   9.2747545E-01  -3.5541269E-03   1.8470231E-01   1.8561846E+00
   9.3105650E-01  -7.6086057E-04  -2.1277484E-02   1.8546803E+00
   9.3627876E-01  -3.6618321E-03   1.4932220E-01   1.8551933E+00
   9.4141424E-01  -1.2078432E-03   1.0844241E-01   1.8552164E+00
   9.4638348E-01  -2.1255224E-03   1.2298127E-01   1.8553696E+00
   9.5193946E-01  -2.3925356E-03   1.8905199E-01   1.8557599E+00
   9.5612192E-01  -2.0532056E-03   2.5408211E-01   1.8561053E+00
   9.6073306E-01  -2.3268340E-03   2.8056413E-01   1.8562895E+00
   9.6581680E-01  -2.4479339E-03   3.0567124E-01   1.8564122E+00
   9.7142166E-01  -2.4546224E-03   3.5313502E-01   1.8567249E+00
   9.7760099E-01  -2.3028220E-03   4.0916115E-01   1.8570499E+00
   9.8092425E-01  -2.4158945E-03   4.9776676E-01   1.8578138E+00
   9.8760659E-01  -2.0016828E-03   5.1176524E-01   1.8577442E+00
   9.9095583E-01  -2.1095090E-03   5.2124530E-01   1.8576880E+00
   9.9431115E-01  -2.4670272E-03   5.4094052E-01   1.8576938E+00
