  flscon:  version 23.2.0.01  win64 2022 
 FLOW-3D   19:04:20  02/29/2024 tjbn     
   hydr3d   version  23.2.0.20 win64     12/04/2023 HYDRO    
 Simulation Template: Free Surface - TruVOF (Default)                            

Mesh Block   1
 printing pfxob, pfyob, pfzob       
       1     1002      0.000E+00      4.931E+00
   time              pfxob_1         pfyob_1         pfzob_1
   7.4004453E-01   2.2803731E-03  -6.7337316E-01  -3.4295169E-01
   7.4373496E-01   1.7702192E-03  -6.5769815E-01  -3.4296554E-01
   7.4925143E-01   1.2802588E-03  -6.4855486E-01  -3.4286472E-01
   7.5416714E-01   1.3828663E-03  -6.3583249E-01  -3.4312990E-01
   7.5880653E-01   1.6871846E-04  -6.2907898E-01  -3.4321406E-01
   7.6362526E-01  -1.1727541E-03  -6.0503763E-01  -3.4290227E-01
   7.6894075E-01   1.3126906E-05  -5.8408177E-01  -3.4333560E-01
   7.7404767E-01   1.7611261E-03  -5.7237351E-01  -3.4359631E-01
   7.7954167E-01   5.5704010E-04  -5.6724495E-01  -3.4294266E-01
   7.8442609E-01   5.5854232E-04  -5.5095309E-01  -3.4258565E-01
   7.8810298E-01   3.2675962E-04  -5.2865005E-01  -3.4212384E-01
   7.9433686E-01   2.6492038E-04  -4.9929979E-01  -3.4215173E-01
   7.9876399E-01  -2.0461685E-04  -4.9694830E-01  -3.4235185E-01
   8.0320716E-01   1.9493540E-04  -4.8933154E-01  -3.4248719E-01
   8.0767107E-01   1.3086152E-03  -4.3477732E-01  -3.4208214E-01
   8.1432295E-01   3.5685004E-04  -4.4434917E-01  -3.4245354E-01
   8.1836152E-01   4.7046263E-04  -4.5463377E-01  -3.4259599E-01
   8.2392597E-01   6.0739915E-04  -4.4937518E-01  -3.4261644E-01
   8.2909811E-01   8.2381669E-04  -4.0803126E-01  -3.4213528E-01
   8.3398002E-01   5.8888062E-04  -3.7174505E-01  -3.4189841E-01
   8.3864069E-01   1.1413817E-03  -3.5879919E-01  -3.4165719E-01
   8.4312809E-01   3.5706966E-04  -3.5452014E-01  -3.4194234E-01
   8.4747624E-01   7.0714543E-04  -3.4817833E-01  -3.4165707E-01
   8.5309941E-01   6.2887615E-04  -3.3329496E-01  -3.4176168E-01
   8.5856253E-01   7.6130457E-04  -3.0519229E-01  -3.4178877E-01
   8.6257434E-01   1.0786661E-03  -2.8591689E-01  -3.4151384E-01
   8.6782920E-01   4.9510557E-04  -2.7172932E-01  -3.4164217E-01
   8.7299407E-01   7.5576347E-05  -2.5862181E-01  -3.4153691E-01
   8.7808424E-01  -1.5128106E-04  -2.4690531E-01  -3.4164906E-01
