  flscon:  version 23.2.0.01  win64 2022 
 FLOW-3D   13:08:43  02/29/2024 cgix     
   hydr3d   version  23.2.0.20 win64     12/04/2023 HYDRO    
 Simulation Template: Free Surface - TruVOF (Default)                            

Mesh Block   1
 printing pfxob, pfyob, pfzob       
       1     1002      0.000E+00      4.931E+00
   time              pfxob_1         pfyob_1         pfzob_1
   7.7446353E-01   1.5108277E-03  -9.0138525E-01   1.2262310E+00
   7.8022325E-01   3.0892997E-04  -9.2552584E-01   1.2262603E+00
   7.8328496E-01   8.5441658E-04  -9.2313737E-01   1.2263366E+00
   7.8940552E-01  -6.6843996E-04  -8.0911916E-01   1.2271153E+00
   7.9246497E-01   6.0795085E-04  -8.0948186E-01   1.2271442E+00
   7.9858273E-01   3.8032733E-05  -8.2768965E-01   1.2271295E+00
   8.0469984E-01   3.6017114E-05  -7.7247053E-01   1.2274940E+00
   8.0775857E-01   3.3838232E-04  -7.7163261E-01   1.2274295E+00
   8.1387711E-01  -6.0364424E-04  -7.5448906E-01   1.2273178E+00
   8.1999820E-01   6.9557549E-04  -6.8691754E-01   1.2272283E+00
   8.2306015E-01   1.0949319E-03  -6.9093150E-01   1.2271317E+00
   8.2918763E-01   7.1031664E-04  -6.8604487E-01   1.2270499E+00
   8.3225334E-01   6.9653237E-04  -6.6773814E-01   1.2270643E+00
   8.3838987E-01   9.1102254E-04  -5.7528931E-01   1.2272689E+00
   8.4453464E-01   9.2435465E-04  -6.1036736E-01   1.2270144E+00
   8.4761029E-01  -5.8700546E-04  -5.3574169E-01   1.2274520E+00
   8.5376954E-01   1.8399621E-03  -5.3224373E-01   1.2273639E+00
   8.5685343E-01   6.9811422E-04  -5.2785426E-01   1.2273266E+00
   8.6303067E-01  -7.5823860E-04  -4.2396533E-01   1.2278470E+00
   8.6909115E-01   4.0433477E-04  -4.3149859E-01   1.2277725E+00
   8.7376189E-01  -5.9641391E-04  -4.3811905E-01   1.2275984E+00
   8.7891144E-01   6.1123275E-05  -4.0399271E-01   1.2276548E+00
   8.8168085E-01  -1.1347749E-03  -3.0015770E-01   1.2281519E+00
   8.8819212E-01   1.4175694E-03  -3.2370940E-01   1.2278719E+00
