  flscon:  version 23.2.0.01  win64 2022 
 FLOW-3D   19:27:57  02/22/2024 gpju     
   hydr3d   version  23.2.0.20 win64     12/04/2023 HYDRO    
 Simulation Template: Free Surface - TruVOF (Default)                            

Mesh Block   1
 printing pfxob, pfyob, pfzob       
       1      704      0.000E+00      4.931E+00
   time              pfxob_1         pfyob_1         pfzob_1
   1.3949559E+00  -4.0641849E-04   2.9904561E+00   3.9400539E+00
   1.4041709E+00   1.1006612E-04   3.0807505E+00   3.9419541E+00
   1.4133905E+00   7.5998320E-04   3.1498690E+00   3.9434855E+00
   1.4226096E+00   1.3879230E-03   3.2305491E+00   3.9452853E+00
   1.4318178E+00   2.2349707E-03   3.2926757E+00   3.9468362E+00
   1.4410225E+00   2.7674071E-03   3.3682587E+00   3.9486821E+00
   1.4504795E+00   3.8466831E-03   3.4242370E+00   3.9502661E+00
   1.4596047E+00   4.1394164E-03   3.4946759E+00   3.9522111E+00
   1.4691863E+00   4.0129470E-03   3.5408483E+00   3.9538403E+00
   1.4785734E+00   5.1232744E-03   3.5964603E+00   3.9559367E+00
   1.4878588E+00   5.9688003E-03   3.6271527E+00   3.9578385E+00
   1.4971178E+00   6.9489325E-03   3.6661191E+00   3.9603791E+00
   1.5063614E+00   7.0035039E-03   3.6855257E+00   3.9625480E+00
   1.5156074E+00   8.5112946E-03   3.7147377E+00   3.9654365E+00
   1.5248468E+00   9.3284585E-03   3.7301996E+00   3.9677343E+00
   1.5340835E+00   9.1726482E-03   3.7499006E+00   3.9705570E+00
   1.5432240E+00   1.0000023E-02   3.7574525E+00   3.9730713E+00
   1.5523492E+00   1.0261240E-02   3.7620924E+00   3.9752800E+00
   1.5615199E+00   1.1371030E-02   3.7641189E+00   3.9774771E+00
   1.5708615E+00   1.2185122E-02   3.7651703E+00   3.9795268E+00
   1.5799917E+00   1.3058778E-02   3.7702219E+00   3.9815278E+00
   1.5885338E+00   1.3704071E-02   3.7780063E+00   3.9834146E+00
   1.5967166E+00   1.4271435E-02   3.7835176E+00   3.9849768E+00
   1.6048861E+00   1.5324769E-02   3.7939322E+00   3.9867454E+00
   1.6131656E+00   1.5756825E-02   3.8011348E+00   3.9882002E+00
   1.6215167E+00   1.5813502E-02   3.8124700E+00   3.9898670E+00
   1.6298666E+00   1.6516026E-02   3.8190718E+00   3.9914000E+00
   1.6385622E+00   1.7077200E-02   3.8333144E+00   3.9931009E+00
   1.6472208E+00   1.7419986E-02   3.8479960E+00   3.9946692E+00
   1.6557418E+00   1.6897157E-02   3.8703327E+00   3.9965506E+00
   1.6634871E+00   1.6247254E-02   3.8941112E+00   3.9982119E+00
   1.6707271E+00   1.6598083E-02   3.9178443E+00   3.9999530E+00
   1.6777500E+00   1.7038073E-02   3.9415460E+00   4.0018272E+00
   1.6847188E+00   1.6693750E-02   3.9676630E+00   4.0036025E+00
   1.6916987E+00   1.7548652E-02   3.9916275E+00   4.0053692E+00
   1.6986705E+00   1.6955182E-02   4.0129781E+00   4.0071297E+00
