  flscon:  version 23.2.0.01  win64 2022 
 FLOW-3D   20:21:40  02/28/2024 httg     
   hydr3d   version  23.2.0.20 win64     12/04/2023 HYDRO    
 Simulation Template: Free Surface - TruVOF (Default)                            

Mesh Block   1
 printing pfxob, pfyob, pfzob       
       1      993      0.000E+00      1.714E+00
   time              pfxob_1         pfyob_1         pfzob_1
   3.8372377E-01   1.4085962E-02   4.1223526E+00   6.1618358E-01
   3.8584709E-01   1.2373907E-02   4.1201000E+00   6.1287671E-01
   3.8690355E-01   1.2071532E-02   4.1025810E+00   6.1309063E-01
   3.8897562E-01   1.6687179E-02   4.0698633E+00   6.1523449E-01
   3.9104474E-01   1.0940344E-02   4.0388384E+00   6.1006045E-01
   3.9207396E-01   8.4928842E-03   4.0293336E+00   6.0629457E-01
   3.9389825E-01   1.9500742E-02   4.0161643E+00   6.0841131E-01
   3.9548841E-01   8.6247036E-03   3.9706268E+00   6.0434204E-01
   3.9714977E-01   1.3738948E-02   3.9630191E+00   6.0431302E-01
   3.9894667E-01   1.5235409E-02   3.9595490E+00   6.0102040E-01
   4.0092775E-01   7.4047493E-03   3.9476669E+00   6.0116595E-01
   4.0304315E-01   4.9517951E-03   3.8694513E+00   6.2024742E-01
   4.0409702E-01   1.1371765E-02   3.8711851E+00   6.0444891E-01
   4.0619427E-01   1.4359995E-02   3.8457613E+00   5.9708530E-01
   4.0827999E-01   1.2757727E-02   3.8250051E+00   6.0397935E-01
   4.0931931E-01   1.7212559E-02   3.7870555E+00   5.8851749E-01
   4.1139936E-01   1.2033894E-02   3.7746639E+00   6.0544181E-01
   4.1244316E-01   1.7201738E-02   3.7597444E+00   6.0340744E-01
   4.1451001E-01   1.3786030E-02   3.7146201E+00   5.8948332E-01
   4.1656393E-01   1.9510522E-02   3.6641102E+00   5.8656871E-01
   4.1758928E-01   1.9177578E-02   3.6605904E+00   5.8786082E-01
   4.1963094E-01   1.8704167E-02   3.6249654E+00   5.8554518E-01
   4.2166543E-01   1.8703334E-02   3.6044610E+00   5.8541852E-01
   4.2369393E-01   1.7917702E-02   3.5629981E+00   5.7878435E-01
   4.2470601E-01   1.9800765E-02   3.5545948E+00   5.7306004E-01
   4.2672792E-01   1.8986505E-02   3.5229988E+00   5.7492590E-01
   4.2873737E-01   1.2618016E-02   3.4457245E+00   5.7704365E-01
   4.2974243E-01   1.6838470E-02   3.4253902E+00   5.7821333E-01
   4.3173951E-01   5.5745901E-03   3.4151208E+00   5.6571078E-01
   4.3372840E-01   1.5658509E-02   3.3752713E+00   5.8669114E-01
   4.3472362E-01   2.6897285E-02   3.3757145E+00   5.8439416E-01
   4.3670964E-01   2.1326033E-02   3.3626466E+00   5.7213265E-01
   4.3870682E-01   1.5084566E-02   3.2871222E+00   5.7955909E-01
   4.4071493E-01   2.1191215E-02   3.2532232E+00   5.5802244E-01
   4.4172320E-01   1.7434979E-02   3.2262714E+00   5.6320512E-01
   4.4375089E-01   1.6399560E-02   3.1723688E+00   5.6590760E-01
   4.4562042E-01   4.2358410E-02   3.0331807E+00   5.4105496E-01
   4.4698170E-01   5.4398831E-04   3.0555902E+00   5.6689817E-01
   4.4913626E-01   2.7499808E-02   3.1093450E+00   5.5288082E-01
   4.5038185E-01  -1.3388554E-02   3.0601494E+00   5.6454909E-01
   4.5249367E-01   1.1807924E-02   2.9487948E+00   5.5866611E-01
   4.5408341E-01   1.5794909E-02   2.8879516E+00   5.5734193E-01
   4.5583609E-01   8.5833585E-03   2.8324251E+00   5.5301487E-01
   4.5776841E-01   1.0902346E-02   2.8022425E+00   5.5201787E-01
   4.5880762E-01   1.8581081E-02   2.7546844E+00   5.5126309E-01
