  flscon:  version 23.2.0.01  win64 2022 
 FLOW-3D   15:14:29  02/29/2024 qiqb     
   hydr3d   version  23.2.0.20 win64     12/04/2023 HYDRO    
 Simulation Template: Free Surface - TruVOF (Default)                            

Mesh Block   1
 printing pfxob, pfyob, pfzob       
       1     1002      0.000E+00      4.932E+00
   time              pfxob_1         pfyob_1         pfzob_1
   7.2493404E-01   2.0068081E-03  -1.2009614E+00   6.8797565E-01
   7.2881007E-01   2.3365493E-03  -1.1823992E+00   6.8820602E-01
   7.3473740E-01   1.9755166E-03  -1.1760499E+00   6.8814492E-01
   7.3978204E-01   2.6035658E-03  -1.1291013E+00   6.8795097E-01
   7.4511915E-01   1.8913320E-03  -1.1359866E+00   6.8787378E-01
   7.4978501E-01   2.2036459E-03  -1.0985774E+00   6.8774796E-01
   7.5507677E-01   1.9258510E-03  -1.0797354E+00   6.8776083E-01
   7.5906026E-01   1.9255793E-03  -1.0625869E+00   6.8786693E-01
   7.6344162E-01   1.9805757E-03  -1.0218596E+00   6.8779892E-01
   7.6820642E-01   1.6350672E-03  -1.0249127E+00   6.8764806E-01
   7.7299994E-01   1.6796082E-03  -1.0072132E+00   6.8766546E-01
   7.8013563E-01   1.8114997E-03  -9.5245075E-01   6.8782389E-01
   7.8485847E-01   1.7029254E-03  -9.6301138E-01   6.8777347E-01
   7.8955644E-01   1.4966262E-03  -9.6136504E-01   6.8769962E-01
   7.9423237E-01   1.8032615E-03  -8.9853150E-01   6.8794030E-01
   7.9888934E-01   1.7181202E-03  -8.9360762E-01   6.8779564E-01
   8.0353034E-01   1.7258531E-03  -8.7839097E-01   6.8775785E-01
   8.0827630E-01   1.2348108E-03  -7.7735484E-01   6.8808168E-01
   8.1350875E-01   1.5411047E-03  -8.0204308E-01   6.8777740E-01
   8.1927752E-01   1.3281503E-03  -8.1119835E-01   6.8759876E-01
   8.2230747E-01   1.2359149E-03  -8.0617470E-01   6.8753320E-01
   8.2837218E-01   1.0060419E-03  -7.6116574E-01   6.8752939E-01
   8.3444524E-01   6.7856000E-04  -6.3475060E-01   6.8782562E-01
   8.3748680E-01   1.8317787E-03  -6.8508184E-01   6.8789822E-01
   8.4354001E-01   6.3939957E-04  -6.8450338E-01   6.8743998E-01
   8.4656972E-01   4.2186206E-04  -6.3741910E-01   6.8744516E-01
   8.5265923E-01   8.1782771E-04  -6.2766105E-01   6.8735594E-01
   8.5876966E-01   8.3378650E-04  -5.8106959E-01   6.8735492E-01
   8.6183870E-01   7.2692853E-04  -5.7527769E-01   6.8727094E-01
   8.6798888E-01   9.3062303E-04  -5.5195796E-01   6.8720800E-01
   8.7415618E-01   5.0879602E-04  -4.4555685E-01   6.8755567E-01
   8.7724751E-01   1.1822697E-03  -4.4779310E-01   6.8748474E-01
   8.8341540E-01   7.0216204E-04  -4.6175131E-01   6.8725735E-01
   8.8643855E-01   2.0849855E-04  -4.5877808E-01   6.8720227E-01
   8.9213163E-01  -3.3937985E-04  -3.6233068E-01   6.8726331E-01
   8.9743960E-01  -2.0128698E-03  -3.6744544E-01   6.8739927E-01
   9.0237093E-01   1.5692326E-03  -3.5422650E-01   6.8734759E-01
   9.0707964E-01  -6.5230980E-04  -3.3527368E-01   6.8752867E-01
   9.1153687E-01  -4.9324217E-04  -2.2078094E-01   6.8811345E-01
   9.1779304E-01  -1.2921076E-03  -2.7002764E-01   6.8828535E-01
   9.2173904E-01  -1.6590845E-04  -2.6202393E-01   6.8857396E-01
   9.2731774E-01  -2.4598453E-03  -1.9069281E-01   6.8850559E-01
   9.3258125E-01   9.5809664E-04  -1.3581756E-01   6.8866724E-01
   9.3751436E-01  -8.6243794E-04  -1.0782627E-01   6.8879461E-01
   9.4097018E-01  -1.8965670E-04  -1.0355306E-01   6.8890029E-01
   9.4677961E-01  -1.5237527E-03  -6.7112990E-02   6.8931973E-01
   9.5257068E-01  -1.0309144E-03  -1.9478695E-02   6.8962497E-01
   9.5651919E-01  -1.7593115E-03  -1.8392376E-03   6.8976450E-01
