  flscon:  version 22.2.0.05  win64 2022 
 FLOW-3D   00:10:43  08/26/2023 sogp     
   hydr3d   version  22.2.0.16 win64     09/12/2022 HYDRO    
 Simulation Template: Free Surface - TruVOF (Default)                            

Mesh Block   1
 printing p, pfxob, pfyob, pfzob, pfob, vmax and others       
       1     1002      0.000E+00      2.280E+01
   time              p_1             pfxob_1         pfyob_1         pfzob_1         pfob_1          vmax_0          vmaxsrf_0
   2.5325069E+00   1.7668837E+03  -1.4191900E-02  -1.6291505E+00   5.4866093E-16   1.6292124E+00   2.3140295E-01   2.5296366E-01
   2.5543334E+00   1.7659169E+03  -6.0161855E-03  -1.7695024E+00   5.4644255E-16   1.7695125E+00   2.3338756E-01   2.5311175E-01
   2.5760934E+00   1.7448574E+03  -6.5520629E-03  -1.7068719E+00   5.5168934E-16   1.7068844E+00   2.3295537E-01   2.3852316E-01
   2.5979965E+00   1.7291368E+03  -1.1197223E-02  -1.6513124E+00   5.5834114E-16   1.6513504E+00   2.3691635E-01   2.4302191E-01
   2.6234281E+00   1.7070269E+03  -9.6907243E-03  -1.7237128E+00   5.6195474E-16   1.7237401E+00   2.4129422E-01   2.4842609E-01
   2.6454947E+00   1.7050159E+03  -9.4126379E-03  -1.8130008E+00   5.6363753E-16   1.8130252E+00   2.4454963E-01   2.5268409E-01
   2.6669261E+00   1.6738035E+03  -3.0332725E-03  -1.8129188E+00   5.6112343E-16   1.8129214E+00   2.4715084E-01   2.5738564E-01
   2.6913924E+00   1.6710128E+03  -6.5412167E-03  -1.7061174E+00   5.6232019E-16   1.7061299E+00   2.4966273E-01   2.6257598E-01
   2.7117047E+00   1.6551656E+03  -5.1690526E-03  -1.7142425E+00   5.6153922E-16   1.7142503E+00   2.5176153E-01   2.6584226E-01
   2.7350862E+00   1.6232305E+03  -1.4352165E-03  -1.6075559E+00   5.6038360E-16   1.6075565E+00   2.5363621E-01   2.6299414E-01
   2.7582157E+00   1.6314380E+03   4.3498655E-04  -1.5204377E+00   5.6267181E-16   1.5204377E+00   2.5387058E-01   2.5571558E-01
   2.7813075E+00   1.6128884E+03  -1.1830986E-02  -1.2503307E+00   5.6256212E-16   1.2503866E+00   2.5179800E-01   2.5486287E-01
   2.8043652E+00   1.5930750E+03   1.6681004E-02  -8.5179263E-01   5.5708071E-16   8.5195595E-01   2.5108409E-01   2.5359705E-01
   2.8273945E+00   1.5884646E+03   4.8902826E-03  -8.3420187E-01   5.5604674E-16   8.3421624E-01   2.4983931E-01   2.5210944E-01
   2.8503935E+00   1.5653073E+03   1.7861767E-02  -5.5878830E-01   5.4958663E-16   5.5907369E-01   2.4806088E-01   2.5012159E-01
   2.8733685E+00   1.5615203E+03  -6.8639508E-03  -4.8762184E-01   5.4684849E-16   4.8767015E-01   2.4686080E-01   2.4934970E-01
   2.8963056E+00   1.5534080E+03   4.2209295E-03  -4.0797415E-01   5.4826648E-16   4.0799597E-01   2.4590090E-01   2.4843763E-01
   2.9191961E+00   1.5375668E+03   2.1178140E-03  -3.4452444E-01   5.5136948E-16   3.4453094E-01   2.4473600E-01   2.4720335E-01
   2.9419336E+00   1.5337692E+03   2.0563020E-03  -3.3742738E-01   5.5643357E-16   3.3743367E-01   2.4535763E-01   2.5256768E-01
   2.9646966E+00   1.5208906E+03   4.3047275E-03  -5.1076305E-01   5.6088987E-16   5.1078123E-01   2.4974185E-01   2.5919017E-01
   2.9873815E+00   1.5049188E+03  -3.0737490E-04  -2.3698829E-01   5.6289087E-16   2.3698850E-01   2.5691476E-01   2.6565897E-01
   3.0099912E+00   1.5037560E+03   1.8696788E-03  -3.1668636E-01   5.6302984E-16   3.1669191E-01   2.6370868E-01   2.7189544E-01
   3.0325265E+00   1.4986523E+03   5.2216812E-04  -3.5266170E-01   5.6142551E-16   3.5266209E-01   2.7001551E-01   2.7756634E-01
   3.0549891E+00   1.4826641E+03  -3.0031644E-03  -5.1584419E-02   5.6084323E-16   5.1671766E-02   2.7561089E-01   2.8245264E-01
   3.0773952E+00   1.4818804E+03   2.9558365E-03  -1.0374893E-01   5.6103725E-16   1.0379104E-01   2.8072727E-01   2.8663209E-01
   3.0997524E+00   1.4747241E+03   2.0232897E-04   1.2616193E-01   5.6122365E-16   1.2616210E-01   2.8411132E-01   2.8991029E-01
   3.1220770E+00   1.4711340E+03   3.5921222E-04   2.2163731E-01   5.6151730E-16   2.2163759E-01   2.8558719E-01   2.9220268E-01
   3.1475637E+00   1.4642501E+03   1.7581584E-03   4.2728844E-01   5.6027730E-16   4.2729205E-01   2.8741169E-01   2.9364878E-01
   3.1698575E+00   1.4604402E+03  -4.1512777E-03   7.2905135E-01   5.5383022E-16   7.2906315E-01   2.8794932E-01   2.9368061E-01
   3.1921582E+00   1.4554740E+03  -1.4982569E-03   7.7810985E-01   5.5332009E-16   7.7811128E-01   2.8738573E-01   2.9261237E-01
   3.2144790E+00   1.4525315E+03  -7.5051785E-03   1.0141402E+00   5.4952634E-16   1.0141680E+00   2.8569540E-01   2.9045677E-01
   3.2368412E+00   1.4527814E+03   1.0487252E-03   9.3937159E-01   5.4854357E-16   9.3937212E-01   2.8280032E-01   2.8716758E-01
   3.2592604E+00   1.4489176E+03  -1.5077770E-03   1.0716188E+00   5.4985578E-16   1.0716199E+00   2.7866414E-01   2.8264204E-01
   3.2817540E+00   1.4503627E+03  -2.0167499E-03   1.0228312E+00   5.5567945E-16   1.0228331E+00   2.7332687E-01   2.7688974E-01
   3.3075643E+00   1.4468757E+03  -5.7471008E-03   1.0693208E+00   5.5899373E-16   1.0693362E+00   2.6783505E-01   2.7040112E-01
   3.3302543E+00   1.4509033E+03  -1.2744408E-03   9.5598775E-01   5.5934329E-16   9.5598859E-01   2.6169500E-01   2.6396316E-01
   3.3530691E+00   1.4506652E+03  -7.3305615E-03   1.0694193E+00   5.6269521E-16   1.0694444E+00   2.5430003E-01   2.6067221E-01
   3.3760166E+00   1.4519161E+03  -3.5851330E-03   1.0614833E+00   5.6321794E-16   1.0614892E+00   2.4710202E-01   2.5328776E-01
   3.3958061E+00   1.4595731E+03  -8.3925268E-03   1.0984311E+00   5.5591455E-16   1.0984632E+00   2.4042639E-01   2.4712257E-01
   3.4186773E+00   1.4577366E+03  -5.2245599E-03   1.2307220E+00   5.5992790E-16   1.2307330E+00   2.3197263E-01   2.3919626E-01
   3.4415658E+00   1.4603273E+03  -8.1856260E-03   1.3512551E+00   5.6780795E-16   1.3512799E+00   2.2284736E-01   2.3450346E-01
   3.4648252E+00   1.4669818E+03  -9.4097042E-03   1.4685302E+00   5.6211325E-16   1.4685603E+00   2.2152781E-01   2.2448155E-01
   3.4881861E+00   1.4749462E+03  -6.3758385E-03   1.6684481E+00   5.5566563E-16   1.6684604E+00   2.2021697E-01   2.2090483E-01
