  flscon:  version 23.2.0.01  win64 2022 
 FLOW-3D   19:11:55  02/15/2024 xsog     
   hydr3d   version  23.2.0.20 win64     12/04/2023 HYDRO    
 Simulation Template: Free Surface - TruVOF (Default)                            

Mesh Block   1
 printing pfxob, pfyob, pfzob       
       1      991      0.000E+00      4.931E+00
   time              pfxob_1         pfyob_1         pfzob_1
   1.0412018E+00  -3.9437963E-03   1.1070409E+00   1.8603498E+00
   1.0441830E+00  -3.1372325E-03   1.1339271E+00   1.8604439E+00
   1.0505999E+00  -3.4347130E-03   1.2609795E+00   1.8611846E+00
   1.0540509E+00  -3.1440158E-03   1.2698854E+00   1.8611658E+00
   1.0611024E+00  -3.5266345E-03   1.2871286E+00   1.8609296E+00
   1.0646483E+00  -3.3366592E-03   1.3047324E+00   1.8608800E+00
   1.0682089E+00  -4.0718415E-03   1.3860705E+00   1.8613195E+00
   1.0753763E+00  -3.3172548E-03   1.4241053E+00   1.8613843E+00
   1.0789841E+00  -3.1272185E-03   1.4487588E+00   1.8614160E+00
   1.0862509E+00  -3.0186537E-03   1.5492793E+00   1.8620554E+00
   1.0899104E+00  -2.9837962E-03   1.5591302E+00   1.8619776E+00
   1.0935876E+00  -3.0713365E-03   1.5831245E+00   1.8618926E+00
   1.1009966E+00  -2.6670122E-03   1.6719375E+00   1.8626057E+00
   1.1047293E+00  -2.9252474E-03   1.6793764E+00   1.8626144E+00
   1.1084820E+00  -2.9947928E-03   1.7018783E+00   1.8627075E+00
   1.1160505E+00  -2.9898267E-03   1.7394859E+00   1.8630769E+00
   1.1198680E+00  -3.1824971E-03   1.7872006E+00   1.8635190E+00
   1.1237087E+00  -3.2656668E-03   1.7976205E+00   1.8636473E+00
   1.1275734E+00  -3.4720562E-03   1.8261214E+00   1.8641005E+00
   1.1353757E+00  -3.5986402E-03   1.8393552E+00   1.8642526E+00
   1.1393142E+00  -3.8326294E-03   1.9009635E+00   1.8650731E+00
   1.1432774E+00  -3.6153814E-03   1.8975229E+00   1.8651410E+00
   1.1495160E+00  -3.7851851E-03   1.9015568E+00   1.8655182E+00
   1.1542121E+00  -3.2124994E-03   1.9376419E+00   1.8660312E+00
   1.1593491E+00  -3.2186655E-03   1.9667562E+00   1.8663691E+00
   1.1650126E+00  -3.3770660E-03   1.9827497E+00   1.8666745E+00
   1.1680584E+00  -3.8997715E-03   2.0307617E+00   1.8675606E+00
   1.1746145E+00  -3.1533975E-03   2.0137918E+00   1.8676564E+00
   1.1781405E+00  -2.9942347E-03   2.0046356E+00   1.8675727E+00
   1.1818427E+00  -3.4589774E-03   2.0200005E+00   1.8680006E+00
   1.1898118E+00  -3.2155986E-03   2.0627265E+00   1.8689992E+00
   1.1940975E+00  -3.0677288E-03   2.0506649E+00   1.8690703E+00
   1.1985048E+00  -3.0879555E-03   2.0591476E+00   1.8696440E+00
   1.2029573E+00  -3.1230915E-03   2.0513313E+00   1.8697160E+00
   1.2074573E+00  -3.6020414E-03   2.0819137E+00   1.8704697E+00
   1.2120078E+00  -3.2122263E-03   2.0713058E+00   1.8705515E+00
   1.2166114E+00  -3.1863772E-03   2.0929534E+00   1.8711778E+00
   1.2212713E+00  -2.9327392E-03   2.0830922E+00   1.8712331E+00
   1.2259903E+00  -3.3930959E-03   2.1103504E+00   1.8718140E+00
   1.2307711E+00  -3.3683428E-03   2.1018507E+00   1.8718762E+00
   1.2356155E+00  -3.5291610E-03   2.1293364E+00   1.8724275E+00
   1.2405260E+00  -3.4149201E-03   2.1358442E+00   1.8726833E+00
   1.2455043E+00  -3.6842250E-03   2.1420698E+00   1.8728107E+00
   1.2533923E+00  -4.2524883E-03   2.1811175E+00   1.8736799E+00
   1.2570020E+00  -3.8725042E-03   2.1806271E+00   1.8737887E+00
   1.2607921E+00  -3.3757098E-03   2.1823156E+00   1.8737949E+00
   1.2689503E+00  -3.2827491E-03   2.2228050E+00   1.8745366E+00
   1.2733378E+00  -3.2268560E-03   2.2226233E+00   1.8745307E+00
   1.2779448E+00  -3.5896478E-03   2.2614419E+00   1.8751558E+00
   1.2827821E+00  -2.9954978E-03   2.2802284E+00   1.8756508E+00
   1.2878612E+00  -3.0530083E-03   2.2977440E+00   1.8759654E+00
   1.2931943E+00  -3.1152144E-03   2.3235707E+00   1.8763720E+00
   1.2987940E+00  -3.1092197E-03   2.3527677E+00   1.8768628E+00
   1.3046737E+00  -3.1443534E-03   2.3863957E+00   1.8773960E+00
   1.3107831E+00  -3.2825400E-03   2.4235129E+00   1.8779535E+00
   1.3170292E+00  -2.9639928E-03   2.4708004E+00   1.8787241E+00
   1.3232276E+00  -3.5390744E-03   2.5053563E+00   1.8791131E+00
   1.3295164E+00  -3.5174862E-03   2.5537350E+00   1.8797014E+00
   1.3357340E+00  -3.2595829E-03   2.6104739E+00   1.8806546E+00
   1.3418454E+00  -3.7231059E-03   2.6489425E+00   1.8810941E+00
   1.3482622E+00  -3.4874964E-03   2.7000554E+00   1.8817153E+00
   1.3548565E+00  -2.7980823E-03   2.7595851E+00   1.8827152E+00
   1.3614360E+00  -3.4212584E-03   2.8081269E+00   1.8834202E+00
   1.3677742E+00  -3.1478056E-03   2.8634582E+00   1.8841758E+00
   1.3740638E+00  -3.1959831E-03   2.9200482E+00   1.8849490E+00
   1.3787750E+00  -3.6948891E-03   2.9669647E+00   1.8855424E+00
   1.3837217E+00  -3.1731792E-03   3.0147853E+00   1.8861639E+00
   1.3889157E+00  -2.7715128E-03   3.0580733E+00   1.8866946E+00
   1.3943695E+00  -2.5950556E-03   3.1015720E+00   1.8871726E+00
   1.4000958E+00  -2.0826878E-03   3.1460211E+00   1.8876463E+00
   1.4061085E+00  -2.1432736E-03   3.1968889E+00   1.8882718E+00
   1.4124219E+00  -2.6102101E-03   3.2351480E+00   1.8885868E+00
   1.4189302E+00  -1.7894153E-03   3.2893987E+00   1.8892775E+00
   1.4254162E+00  -1.9606154E-03   3.3269503E+00   1.8897245E+00
   1.4318910E+00  -1.4392736E-03   3.3802879E+00   1.8905410E+00
   1.4383588E+00  -1.3771785E-03   3.4190876E+00   1.8911127E+00
   1.4448221E+00  -1.6050348E-03   3.4539976E+00   1.8916216E+00
   1.4512746E+00  -8.1414101E-04   3.4944329E+00   1.8924729E+00
   1.4580498E+00  -1.1541065E-03   3.5236406E+00   1.8929844E+00
   1.4646528E+00  -6.8013195E-04   3.5651851E+00   1.8940023E+00
   1.4709257E+00  -9.8315231E-04   3.5882652E+00   1.8944623E+00
   1.4775122E+00  -2.9715616E-04   3.6219823E+00   1.8953711E+00
   1.4838859E+00  -5.8951275E-04   3.6415467E+00   1.8959759E+00
   1.4904560E+00  -3.8190896E-04   3.6638615E+00   1.8967242E+00
   1.4954759E+00  -3.0867598E-04   3.6838815E+00   1.8975955E+00
   1.4994048E+00  -1.1432958E-04   3.6984537E+00   1.8982378E+00
   1.5031043E+00   3.2424403E-05   3.7000279E+00   1.8982779E+00
   1.5068913E+00  -4.8243260E-04   3.7262282E+00   1.8992853E+00
   1.5150427E+00   1.7506409E-04   3.7406812E+00   1.9002485E+00
   1.5194265E+00   5.3272373E-04   3.7464027E+00   1.9007828E+00
   1.5240295E+00   9.3513675E-04   3.7514968E+00   1.9012072E+00
   1.5288627E+00   6.8843906E-04   3.7604985E+00   1.9017258E+00
   1.5339375E+00   1.2279126E-03   3.7667720E+00   1.9023439E+00
   1.5392661E+00   1.2097629E-03   3.7715449E+00   1.9030253E+00
   1.5448611E+00   1.8278080E-03   3.7750547E+00   1.9037278E+00
   1.5500261E+00   1.9197875E-03   3.7766287E+00   1.9044676E+00
   1.5554492E+00   2.0596073E-03   3.7796359E+00   1.9051230E+00
   1.5609164E+00   2.2614272E-03   3.7802961E+00   1.9057548E+00
   1.5662714E+00   2.5800632E-03   3.7809970E+00   1.9063728E+00
   1.5715216E+00   2.9618866E-03   3.7822995E+00   1.9069611E+00
   1.5766739E+00   3.4047188E-03   3.7867725E+00   1.9076209E+00
   1.5816846E+00   2.9620777E-03   3.7854760E+00   1.9079202E+00
   1.5865635E+00   3.3033327E-03   3.7886693E+00   1.9083841E+00
   1.5914514E+00   3.6252989E-03   3.7927866E+00   1.9089111E+00
   1.5962688E+00   3.8600015E-03   3.7961600E+00   1.9094290E+00
   1.6010132E+00   4.1919439E-03   3.8006260E+00   1.9099110E+00
   1.6056883E+00   4.4572670E-03   3.8052282E+00   1.9103750E+00
   1.6102978E+00   4.2366427E-03   3.8104241E+00   1.9108421E+00
   1.6193321E+00   4.5409324E-03   3.8181157E+00   1.9113473E+00
   1.6237626E+00   4.1290126E-03   3.8349228E+00   1.9126180E+00
   1.6281389E+00   4.8652738E-03   3.8358383E+00   1.9127012E+00
   1.6324630E+00   4.5801122E-03   3.8483894E+00   1.9133974E+00
   1.6367372E+00   5.1415940E-03   3.8541651E+00   1.9138473E+00
   1.6409634E+00   5.0881854E-03   3.8625641E+00   1.9141905E+00
   1.6451439E+00   5.3178803E-03   3.8684623E+00   1.9142078E+00
   1.6533738E+00   6.0845162E-03   3.8897150E+00   1.9152735E+00
   1.6574266E+00   5.8311154E-03   3.9022501E+00   1.9161978E+00
   1.6614398E+00   6.2939315E-03   3.9118171E+00   1.9166223E+00
   1.6654149E+00   6.0320343E-03   3.9214008E+00   1.9166065E+00
   1.6732455E+00   6.2616845E-03   3.9450231E+00   1.9177920E+00
   1.6771140E+00   6.2785484E-03   3.9554996E+00   1.9178199E+00
   1.6809491E+00   5.8499025E-03   3.9673839E+00   1.9186311E+00
   1.6847519E+00   6.6786138E-03   3.9769964E+00   1.9191722E+00
   1.6922646E+00   6.2700436E-03   3.9983792E+00   1.9198602E+00
   1.6959763E+00   6.3948212E-03   4.0101185E+00   1.9198928E+00
   1.6996592E+00   5.6103864E-03   4.0166745E+00   1.9207776E+00
   1.7069424E+00   7.0830155E-03   4.0414729E+00   1.9209623E+00
   1.7105441E+00   7.3163151E-03   4.0413580E+00   1.9223176E+00
   1.7141201E+00   8.1933141E-03   4.0526085E+00   1.9223961E+00
   1.7211939E+00   7.9833297E-03   4.0734067E+00   1.9230554E+00
   1.7246838E+00   8.1714671E-03   4.0851994E+00   1.9231412E+00
   1.7315655E+00   7.9008872E-03   4.0894814E+00   1.9245377E+00
   1.7349590E+00   8.3348770E-03   4.0999613E+00   1.9245926E+00
   1.7416952E+00   9.1313981E-03   4.1256156E+00   1.9245209E+00
   1.7450266E+00   9.3358913E-03   4.1103587E+00   1.9256159E+00
   1.7516140E+00   9.3428940E-03   4.1281662E+00   1.9256563E+00
