  flscon:  version 23.2.0.01  win64 2022 
 FLOW-3D   17:15:17  02/16/2024 iqiq     
   hydr3d   version  23.2.0.20 win64     12/04/2023 HYDRO    
 Simulation Template: Free Surface - TruVOF (Default)                            

Mesh Block   1
 printing pfxob, pfyob, pfzob       
       1      994      0.000E+00      1.714E+00
   time              pfxob_1         pfyob_1         pfzob_1
   5.7578272E-01   9.5656039E-03  -1.0840907E+00  -7.9708719E-01
   5.7744193E-01  -5.7244422E-03  -1.0597380E+00  -7.9995221E-01
   5.7900029E-01  -8.8082179E-03  -1.1613535E+00  -7.9619765E-01
   5.8057410E-01   5.3325752E-03  -1.1788974E+00  -7.9688203E-01
   5.8220685E-01   1.2998752E-02  -1.2121079E+00  -7.9496419E-01
   5.8453202E-01   1.4464010E-02  -1.2730427E+00  -7.9428434E-01
   5.8604252E-01   6.2593725E-03  -1.3361164E+00  -7.9285735E-01
   5.8754963E-01   1.9438281E-04  -1.4175047E+00  -7.9293942E-01
   5.8917147E-01   1.8481109E-03  -1.4209976E+00  -7.9101598E-01
   5.9095955E-01   2.7077554E-03  -1.4313537E+00  -7.8912497E-01
   5.9293091E-01   8.6594969E-03  -1.4066432E+00  -7.8778708E-01
   5.9501797E-01   1.9901613E-02  -1.4313447E+00  -7.8519112E-01
   5.9604317E-01   6.6375351E-03  -1.4590746E+00  -7.8665698E-01
   5.9799242E-01   1.1673874E-02  -1.5252758E+00  -7.8693807E-01
   5.9979659E-01  -6.1048595E-03  -1.6804299E+00  -7.8661346E-01
