  flscon:  version 23.2.0.01  win64 2022 
 FLOW-3D   17:40:50  02/21/2024 ribq     
   hydr3d   version  23.2.0.20 win64     12/04/2023 HYDRO    
 Simulation Template: Free Surface - TruVOF (Default)                            

Mesh Block   1
 printing pfxob, pfyob, pfzob       
       1     1002      0.000E+00      3.341E+00
   time              pfxob_1         pfyob_1         pfzob_1
   8.7535292E-01  -2.2511235E-02  -5.3561172E+00  -6.1741394E-01
   8.7872344E-01   7.1735110E-04  -5.3868923E+00  -6.1347562E-01
   8.8209373E-01  -5.1395055E-03  -5.3428183E+00  -5.8501923E-01
   8.8543230E-01  -4.4016847E-03  -5.4252758E+00  -5.9456015E-01
   8.8874954E-01  -8.2975384E-03  -5.4054909E+00  -5.8592528E-01
   8.9204371E-01   6.6380380E-03  -5.4077034E+00  -5.7248348E-01
   8.9524287E-01  -4.9304543E-03  -5.4297667E+00  -5.6803888E-01
   8.9842993E-01  -1.9423077E-02  -5.4620199E+00  -5.6395000E-01
   9.0162408E-01   1.7269719E-02  -5.4834638E+00  -5.6470817E-01
   9.0580666E-01   2.3492696E-03  -5.4849725E+00  -5.4582518E-01
   9.0889525E-01  -2.1508727E-02  -5.4920564E+00  -5.3543055E-01
   9.1194415E-01   9.5789516E-03  -5.5072007E+00  -5.4394847E-01
   9.1494358E-01  -9.2626112E-03  -5.4985318E+00  -5.2180099E-01
   9.1884190E-01  -1.2839439E-02  -5.5099511E+00  -5.1006037E-01
   9.2169094E-01  -1.2359174E-02  -5.5098047E+00  -5.1740015E-01
   9.2539430E-01   1.2859721E-02  -5.5308647E+00  -5.0224113E-01
   9.2899626E-01  -6.9041639E-03  -5.5397654E+00  -4.9736336E-01
   9.3167025E-01  -1.1343729E-02  -5.5387678E+00  -4.9668285E-01
   9.3547511E-01   1.7070646E-03  -5.5241656E+00  -4.8795977E-01
   9.3853593E-01   4.3173166E-04  -5.5657191E+00  -4.8116243E-01
   9.4160563E-01   3.5354295E-03  -5.5583825E+00  -4.7306892E-01
   9.4563955E-01   8.7932628E-03  -5.5585637E+00  -4.7183666E-01
   9.4861001E-01   7.4801822E-03  -5.5650144E+00  -4.6645606E-01
   9.5250165E-01   9.5886057E-03  -5.5700674E+00  -4.6318913E-01
   9.5537126E-01   1.3892624E-02  -5.5806785E+00  -4.5952064E-01
   9.5913541E-01   2.7713946E-03  -5.5666890E+00  -4.5098433E-01
   9.6191430E-01   2.0919491E-02  -5.5657949E+00  -4.4633710E-01
   9.6556354E-01   2.2619965E-02  -5.5766792E+00  -4.4186565E-01
   9.6920031E-01   4.6341475E-03  -5.5748954E+00  -4.3416500E-01
   9.7215652E-01   7.4581024E-03  -5.5778637E+00  -4.2660183E-01
   9.7511530E-01   4.7852248E-03  -5.5665512E+00  -4.3050274E-01
   9.7902483E-01  -3.4538561E-03  -5.5582213E+00  -4.2119896E-01
   9.8187649E-01   1.4330002E-02  -5.5493793E+00  -4.0999892E-01
   9.8531902E-01  -3.9439136E-03  -5.5002389E+00  -4.1437486E-01
   9.8881876E-01   4.6709995E-03  -5.5647302E+00  -4.1353628E-01
   9.9183470E-01   1.8911880E-02  -5.5666456E+00  -4.0325919E-01
   9.9533659E-01   2.0891484E-03  -5.5062146E+00  -4.0909225E-01
   9.9870670E-01  -1.9929267E-03  -5.5158234E+00  -3.9795500E-01
   1.0021434E+00   1.0956640E-02  -5.5261621E+00  -3.8677377E-01
   1.0050722E+00   1.0321224E-02  -5.5154219E+00  -3.8847423E-01
   1.0088156E+00   6.0634764E-05  -5.4996891E+00  -3.8261303E-01
   1.0120310E+00   3.0925872E-03  -5.4704032E+00  -3.7874287E-01
   1.0155010E+00   6.2430017E-03  -5.4717660E+00  -3.7275285E-01
   1.0186225E+00   7.2711408E-03  -5.4324994E+00  -3.6695695E-01
