  flscon:  version 23.2.0.01  win64 2022 
 FLOW-3D   12:40:53  02/26/2024 isnw     
   hydr3d   version  23.2.0.20 win64     12/04/2023 HYDRO    
 Simulation Template: Free Surface - TruVOF (Default)                            

Mesh Block   1
 printing pfxob, pfyob, pfzob       
       1      939      0.000E+00      1.713E+00
   time              pfxob_1         pfyob_1         pfzob_1
   5.8940494E-01   2.3948911E-03  -2.8850222E+00   1.8361061E+00
   5.9075916E-01  -4.0261801E-03  -2.8877773E+00   1.8354973E+00
   5.9341460E-01  -5.6829383E-03  -2.9797835E+00   1.8346934E+00
   5.9471852E-01  -8.3241314E-03  -3.0498481E+00   1.8343660E+00
   5.9600943E-01   9.6683521E-03  -3.1381440E+00   1.8339163E+00
   5.9855491E-01   5.2476251E-03  -3.1964195E+00   1.8332803E+00
   5.9980506E-01   6.2649604E-03  -3.2220056E+00   1.8329248E+00
   6.0104197E-01   5.7943426E-03  -3.3220632E+00   1.8325859E+00
   6.0348350E-01   2.7708961E-03  -3.3931525E+00   1.8319178E+00
   6.0468614E-01   5.8507458E-03  -3.4333208E+00   1.8316156E+00
   6.0705644E-01  -7.3260730E-03  -3.5398166E+00   1.8312442E+00
   6.0823023E-01   1.3225393E-04  -3.5852315E+00   1.8311596E+00
   6.0939872E-01  -2.1884665E-03  -3.6495368E+00   1.8309283E+00
   6.1170501E-01   7.7020554E-03  -3.6807251E+00   1.8305600E+00
   6.1285102E-01   8.9127524E-04  -3.7051001E+00   1.8304592E+00
   6.1513001E-01  -8.2355936E-04  -3.8949685E+00   1.8298990E+00
   6.1625773E-01  -2.1212294E-03  -3.8663852E+00   1.8298473E+00
   6.1848998E-01  -3.2235978E-03  -3.9126015E+00   1.8296589E+00
   6.2068391E-01  -2.9530097E-06  -4.0490685E+00   1.8296247E+00
   6.2176895E-01  -2.8230215E-03  -4.1043539E+00   1.8295772E+00
   6.2391788E-01   1.8253996E-03  -4.1076818E+00   1.8294500E+00
   6.2497944E-01  -2.6655018E-03  -4.0933909E+00   1.8294084E+00
   6.2707913E-01  -2.1375350E-03  -4.2504940E+00   1.8292457E+00
   6.2915987E-01   1.5600055E-03  -4.3174548E+00   1.8291255E+00
   6.3019150E-01  -3.0966529E-03  -4.3348336E+00   1.8290900E+00
   6.3223833E-01  -7.6334728E-03  -4.3937244E+00   1.8289480E+00
   6.3427699E-01   1.0554184E-02  -4.5263858E+00   1.8288746E+00
   6.3528901E-01  -2.6484134E-03  -4.5236897E+00   1.8288624E+00
   6.3731003E-01   9.1893841E-03  -4.5576367E+00   1.8289239E+00
   6.3934547E-01  -9.3691179E-04  -4.6404200E+00   1.8289744E+00
   6.4035940E-01  -1.9235563E-03  -4.7375617E+00   1.8289303E+00
   6.4239120E-01  -1.1247810E-04  -4.7700791E+00   1.8288114E+00
   6.4436299E-01  -9.4576888E-03  -4.7752566E+00   1.8286308E+00
   6.4637482E-01   8.2615745E-04  -4.9232864E+00   1.8282518E+00
   6.4739406E-01  -4.0438371E-03  -4.9679217E+00   1.8282387E+00
   6.4943355E-01   9.8875281E-04  -5.0393524E+00   1.8282830E+00
   6.5139109E-01  -4.6649096E-03  -5.0379581E+00   1.8285449E+00
   6.5235984E-01  -2.3762530E-04  -5.0177069E+00   1.8285743E+00
   6.5439409E-01   8.9484276E-03  -5.1603084E+00   1.8284051E+00
   6.5642351E-01  -2.2120124E-03  -5.2675672E+00   1.8280042E+00
   6.5743864E-01  -7.5503713E-03  -5.2810755E+00   1.8279191E+00
   6.5937895E-01  -4.0329779E-03  -5.2648563E+00   1.8276867E+00
   6.6139174E-01  -3.1612981E-03  -5.3836231E+00   1.8275372E+00
   6.6340899E-01  -1.2048366E-03  -5.4567237E+00   1.8273979E+00
   6.6441584E-01  -5.3390032E-03  -5.4957118E+00   1.8272880E+00
   6.6634661E-01  -4.0908940E-03  -5.5112886E+00   1.8272297E+00
   6.6823238E-01   1.0442182E-04  -5.5195060E+00   1.8270587E+00
   6.7020136E-01   1.1511826E-03  -5.6402683E+00   1.8268093E+00
   6.7119092E-01   3.8642576E-03  -5.6764708E+00   1.8267127E+00
   6.7314494E-01  -1.4767230E-03  -5.7421951E+00   1.8265866E+00
   6.7496902E-01  -5.4955576E-03  -5.7669759E+00   1.8265326E+00
   6.7677957E-01  -4.6377135E-03  -5.7530828E+00   1.8263321E+00
   6.7868668E-01  -4.2843618E-03  -5.8618584E+00   1.8258305E+00
   6.8058121E-01  -4.0314216E-03  -6.0013161E+00   1.8257320E+00
   6.8152028E-01   1.3856743E-03  -6.0353346E+00   1.8257715E+00
   6.8329841E-01  -6.8835763E-04  -6.0397735E+00   1.8261397E+00
   6.8503523E-01   3.7982522E-03  -5.9928870E+00   1.8261703E+00
   6.8685865E-01   1.1129112E-03  -6.0908880E+00   1.8261722E+00
   6.8867064E-01  -1.1571934E-03  -6.2141323E+00   1.8262570E+00
   6.9046742E-01  -3.7953621E-04  -6.2261877E+00   1.8263394E+00
   6.9219720E-01  -3.2565317E-03  -6.2211661E+00   1.8263907E+00
   6.9387281E-01   4.9739913E-03  -6.2440424E+00   1.8266526E+00
   6.9561511E-01   6.3429759E-03  -6.2757130E+00   1.8267717E+00
   6.9735569E-01   1.3508142E-02  -6.3539672E+00   1.8268559E+00
   6.9908667E-01   1.3958805E-03  -6.4370470E+00   1.8268878E+00
   7.0078778E-01  -5.0228313E-03  -6.4969001E+00   1.8268607E+00
   7.0242101E-01  -1.7285917E-03  -6.4948535E+00   1.8268335E+00
   7.0402616E-01  -3.5086012E-04  -6.4377179E+00   1.8268611E+00
   7.0567209E-01   2.0575116E-04  -6.4708233E+00   1.8268894E+00
