  flscon:  version 23.2.0.01  win64 2022 
 FLOW-3D   10:29:12  02/26/2024 qiqb     
   hydr3d   version  23.2.0.20 win64     12/04/2023 HYDRO    
 Simulation Template: Free Surface - TruVOF (Default)                            

Mesh Block   1
 printing pfxob, pfyob, pfzob       
       1      337      0.000E+00      2.367E+00
   time              pfxob_1         pfyob_1         pfzob_1
   1.8028606E+00   1.2642528E-02   4.2005563E+00   4.0265760E+00
   1.8087643E+00   1.1760171E-02   4.2097020E+00   4.0262156E+00
   1.8145998E+00   1.0931146E-02   4.2083125E+00   4.0260701E+00
   1.8203527E+00   1.0422931E-02   4.1249485E+00   4.0289316E+00
   1.8260248E+00   1.1214664E-02   4.1251321E+00   4.0288539E+00
   1.8316251E+00   1.0755663E-02   4.1186752E+00   4.0285201E+00
   1.8371592E+00   1.0678905E-02   4.1029882E+00   4.0283756E+00
   1.8426383E+00   9.0528009E-03   4.0014372E+00   4.0311666E+00
   1.8480439E+00   8.7181926E-03   3.9906228E+00   4.0312638E+00
   1.8533601E+00   8.8251960E-03   3.9731565E+00   4.0311499E+00
   1.8586237E+00   7.1268021E-03   3.9492447E+00   4.0312343E+00
   1.8638532E+00   7.1065766E-03   3.9125049E+00   4.0317569E+00
   1.8690538E+00   6.9361925E-03   3.7565558E+00   4.0355220E+00
   1.8740228E+00   4.9122558E-03   3.7397337E+00   4.0359397E+00
   1.8791546E+00   5.8206576E-03   3.7314186E+00   4.0358162E+00
   1.8842407E+00   5.7137008E-03   3.7180440E+00   4.0354295E+00
   1.8892775E+00   5.1284768E-03   3.6883903E+00   4.0353622E+00
   1.8942713E+00   4.3509533E-03   3.6365650E+00   4.0357227E+00
   1.8992404E+00   3.7489992E-03   3.5652635E+00   4.0364523E+00
   1.9042095E+00   2.8676959E-03   3.4843512E+00   4.0373721E+00
   1.9091961E+00   2.3643877E-03   3.4039497E+00   4.0382595E+00
   1.9141474E+00   2.3424285E-03   3.3295071E+00   4.0389533E+00
   1.9190743E+00   1.8261586E-03   3.2633479E+00   4.0393744E+00
