  flscon:  version 23.2.0.01  win64 2022 
 FLOW-3D   12:10:22  02/16/2024 bnvl     
   hydr3d   version  23.2.0.20 win64     12/04/2023 HYDRO    
 Simulation Template: Free Surface - TruVOF (Default)                            

Mesh Block   1
 printing pfxob, pfyob, pfzob       
       1     1002      0.000E+00      4.931E+00
   time              pfxob_1         pfyob_1         pfzob_1
   1.1785780E+00  -2.6770639E-03   8.6606151E-01  -3.5244086E-01
   1.1833405E+00  -2.4748906E-03   8.8047165E-01  -3.5329995E-01
   1.1885914E+00  -2.8496739E-03   9.0585583E-01  -3.5461563E-01
   1.1943803E+00  -3.2901785E-03   9.5526177E-01  -3.5647970E-01
   1.1974936E+00  -2.9096247E-03   9.5833796E-01  -3.5547492E-01
   1.2038636E+00  -2.3558538E-03   9.5609927E-01  -3.5525602E-01
   1.2068145E+00  -2.2654794E-03   9.5643198E-01  -3.5540882E-01
   1.2131587E+00  -2.9025357E-03   9.9670959E-01  -3.5712036E-01
   1.2185302E+00  -2.0115366E-03   1.0129241E+00  -3.5662058E-01
   1.2214136E+00  -2.2070983E-03   1.0247916E+00  -3.5738137E-01
   1.2270232E+00  -3.2480429E-03   1.0819521E+00  -3.6037844E-01
   1.2325083E+00  -1.2346724E-03   1.0763144E+00  -3.5961792E-01
   1.2379469E+00  -1.9698280E-03   1.0732681E+00  -3.6034232E-01
   1.2433636E+00  -3.6221382E-03   1.1212724E+00  -3.6250600E-01
   1.2487670E+00  -1.4004164E-03   1.1351854E+00  -3.6202240E-01
   1.2514689E+00  -1.3479349E-03   1.1417050E+00  -3.6288622E-01
   1.2568790E+00  -2.4546981E-03   1.1683818E+00  -3.6528248E-01
   1.2624353E+00  -2.4452512E-03   1.1993241E+00  -3.6663786E-01
   1.2678512E+00  -1.9805003E-03   1.2205067E+00  -3.6790287E-01
   1.2735033E+00  -2.1427169E-03   1.2405010E+00  -3.6930269E-01
   1.2763976E+00  -2.0226566E-03   1.2498677E+00  -3.7063545E-01
   1.2823206E+00  -2.3062741E-03   1.2701961E+00  -3.7146384E-01
   1.2884309E+00  -2.5064033E-03   1.3230107E+00  -3.7440643E-01
   1.2916168E+00  -1.3794554E-03   1.3208405E+00  -3.7335923E-01
   1.2982978E+00  -1.2155698E-03   1.3159355E+00  -3.7466878E-01
   1.3017416E+00  -1.6942738E-03   1.3219383E+00  -3.7575313E-01
   1.3049912E+00  -3.2487479E-03   1.3896073E+00  -3.7953389E-01
   1.3118927E+00  -1.2554207E-03   1.3908118E+00  -3.7886140E-01
   1.3155476E+00  -1.1319307E-03   1.3916397E+00  -3.7981066E-01
   1.3229724E+00  -2.5216606E-03   1.4480422E+00  -3.8486925E-01
   1.3267871E+00  -1.8381756E-03   1.4520491E+00  -3.8457325E-01
   1.3307049E+00  -1.2074354E-03   1.4563580E+00  -3.8492140E-01
   1.3378693E+00  -1.3500487E-03   1.4884083E+00  -3.8736612E-01
   1.3417222E+00  -1.7569213E-03   1.4959421E+00  -3.8834631E-01
   1.3457680E+00  -2.4167558E-03   1.5394272E+00  -3.9181679E-01
   1.3499014E+00  -1.7167535E-03   1.5431070E+00  -3.9186239E-01
   1.3542174E+00  -1.5305303E-03   1.5477076E+00  -3.9255956E-01
   1.3627386E+00  -1.4325643E-03   1.5855026E+00  -3.9590797E-01
   1.3669462E+00  -1.8614009E-03   1.6145821E+00  -3.9841223E-01
   1.3711201E+00  -1.4251347E-03   1.6200546E+00  -3.9880249E-01
   1.3752614E+00  -1.6736992E-03   1.6469672E+00  -4.0155014E-01
