  flscon:  version 23.2.0.01  win64 2022 
 FLOW-3D   18:20:22  02/26/2024 iqiq     
   hydr3d   version  23.2.0.20 win64     12/04/2023 HYDRO    
 Simulation Template: Free Surface - TruVOF (Default)                            

Mesh Block   1
 printing pfxob, pfyob, pfzob       
       1     1002      0.000E+00      4.931E+00
   time              pfxob_1         pfyob_1         pfzob_1
   1.3652499E+00  -7.7512935E-03   2.6152461E+00   1.2818575E+00
   1.3712442E+00  -8.5360380E-03   2.6880221E+00   1.2830192E+00
   1.3742090E+00  -7.2650802E-03   2.6966560E+00   1.2835000E+00
   1.3800759E+00  -6.5752338E-03   2.7263324E+00   1.2841004E+00
   1.3858671E+00  -5.6756800E-03   2.7967763E+00   1.2865012E+00
   1.3908162E+00  -5.5862162E-03   2.8009548E+00   1.2864363E+00
   1.3962727E+00  -6.1015002E-03   2.8167207E+00   1.2861093E+00
   1.3990935E+00  -7.8765918E-03   2.8703322E+00   1.2867252E+00
   1.4047025E+00  -5.2699065E-03   2.8860343E+00   1.2871509E+00
   1.4102694E+00  -5.0063166E-03   2.9056811E+00   1.2868500E+00
   1.4157740E+00  -6.0166349E-03   3.0005596E+00   1.2879374E+00
   1.4212166E+00  -4.5236498E-03   3.0033183E+00   1.2877046E+00
   1.4239159E+00  -4.1459179E-03   3.0038912E+00   1.2878766E+00
   1.4288315E+00  -4.2939116E-03   3.0046718E+00   1.2869643E+00
   1.4341258E+00  -5.6757918E-03   3.0328124E+00   1.2869738E+00
   1.4393920E+00  -4.9085915E-03   3.1141167E+00   1.2890630E+00
   1.4442216E+00  -4.2219269E-03   3.1033177E+00   1.2886965E+00
   1.4489850E+00  -3.6235829E-03   3.1109846E+00   1.2877901E+00
   1.4541197E+00  -4.1652587E-03   3.1493044E+00   1.2869596E+00
   1.4592396E+00  -2.4527474E-03   3.2366621E+00   1.2869084E+00
   1.4643278E+00  -3.1314788E-03   3.1827042E+00   1.2852515E+00
   1.4696493E+00  -2.8379522E-03   3.2588136E+00   1.2858897E+00
   1.4736553E+00  -2.2097225E-03   3.2855110E+00   1.2858768E+00
   1.4780719E+00  -1.4287676E-03   3.3004377E+00   1.2855792E+00
   1.4829412E+00  -1.5024783E-03   3.3145328E+00   1.2849836E+00
   1.4879143E+00  -1.2241615E-03   3.3371592E+00   1.2844733E+00
   1.4945265E+00  -6.3059392E-04   3.3744590E+00   1.2837943E+00
   1.4994180E+00  -2.5880107E-04   3.4060838E+00   1.2839701E+00
   1.5043325E+00   6.1437306E-05   3.4221432E+00   1.2834591E+00
   1.5092320E+00  -9.5385686E-04   3.4801118E+00   1.2846184E+00
   1.5141248E+00   1.1947512E-03   3.4830775E+00   1.2848396E+00
   1.5178133E+00   2.1697618E-03   3.4806299E+00   1.2843647E+00
   1.5237989E+00   1.3943370E-03   3.5058174E+00   1.2827269E+00
   1.5277562E+00   3.8335155E-04   3.5381603E+00   1.2822592E+00
   1.5335804E+00   2.1265838E-03   3.5742891E+00   1.2816206E+00
   1.5389915E+00   3.1260119E-03   3.6094053E+00   1.2804695E+00
   1.5428293E+00   2.3520889E-03   3.6235397E+00   1.2802749E+00
   1.5486171E+00   2.6346073E-03   3.6464338E+00   1.2794533E+00
