  flscon:  version 23.2.0.01  win64 2022 
 FLOW-3D   11:31:13  02/26/2024 iqbp     
   hydr3d   version  23.2.0.20 win64     12/04/2023 HYDRO    
 Simulation Template: Free Surface - TruVOF (Default)                            

Mesh Block   1
 printing pfxob, pfyob, pfzob       
       1     1001      0.000E+00      3.341E+00
   time              pfxob_1         pfyob_1         pfzob_1
   7.7411747E-01   8.8247703E-03  -6.6948709E+00   3.2025211E+00
   7.7876610E-01   1.6281398E-02  -6.8603444E+00   3.2097456E+00
   7.8103113E-01  -1.0655420E-01  -6.9385190E+00   3.2066536E+00
   7.8544044E-01  -1.0385369E-01  -7.0437064E+00   3.2024958E+00
   7.8758556E-01  -7.7748708E-02  -7.0772991E+00   3.1990616E+00
   7.9135305E-01  -6.7224395E-03  -7.1931329E+00   3.1966300E+00
   7.9490668E-01   1.7000875E-02  -7.2419662E+00   3.1943059E+00
   7.9839700E-01  -1.6880964E-01  -7.3136196E+00   3.1925557E+00
   8.0155057E-01  -7.7500828E-02  -7.3807759E+00   3.1857042E+00
   8.0470979E-01  -2.2956173E-01  -7.3510942E+00   3.1829407E+00
   8.0795586E-01  -1.9808118E-03  -7.5296140E+00   3.1849675E+00
   8.1171358E-01   3.4602024E-02  -7.6489663E+00   3.1873732E+00
   8.1528836E-01  -1.7081775E-01  -7.7671227E+00   3.1866760E+00
   8.1846654E-01  -7.7557877E-02  -7.6827149E+00   3.1794136E+00
   8.2214564E-01  -6.2492136E-02  -7.7371483E+00   3.1819663E+00
   8.2491517E-01  -1.0824954E-02  -7.8412995E+00   3.1811810E+00
   8.2783258E-01  -9.4953708E-02  -7.8797650E+00   3.1762507E+00
   8.3183736E-01   4.6911862E-02  -7.8744030E+00   3.1800179E+00
   8.3474886E-01  -1.4830817E-01  -7.9984665E+00   3.1666424E+00
   8.3790416E-01  -8.2457751E-02  -7.9952841E+00   3.1595824E+00
   8.4257895E-01  -6.0084693E-02  -8.1420250E+00   3.1581655E+00
   8.4564149E-01  -1.0883355E-02  -8.1076794E+00   3.1572351E+00
   8.4881562E-01  -8.4953859E-02  -8.1331987E+00   3.1607883E+00
   8.5195959E-01  -9.5779940E-02  -8.1699762E+00   3.1710606E+00
   8.5497946E-01  -4.1964542E-02  -8.1358814E+00   3.1353118E+00
   8.5785502E-01  -2.3660965E-02  -8.1304235E+00   3.1375730E+00
   8.6216509E-01   4.8342026E-03  -8.1280403E+00   3.1458070E+00
   8.6503839E-01  -1.0155028E-01  -8.2039118E+00   3.1431940E+00
   8.6813086E-01  -3.1012967E-02  -8.2367973E+00   3.1438849E+00
   8.7154025E-01  -1.3801541E-04  -8.2641411E+00   3.1426268E+00
   8.7513608E-01  -7.2267000E-03  -8.2713947E+00   3.1399970E+00
   8.7892896E-01  -2.6080057E-02  -8.3244448E+00   3.1414051E+00
   8.8277382E-01   5.3103678E-02  -8.3596735E+00   3.1332109E+00
   8.8484156E-01  -3.2588977E-02  -8.3242502E+00   3.1396248E+00
   8.8929248E-01   5.8446140E-03  -8.3578587E+00   3.1387084E+00
   8.9168620E-01   2.9451121E-02  -8.4045134E+00   3.1382158E+00
   8.9408511E-01  -5.3597026E-02  -8.3712816E+00   3.1390843E+00
   8.9888710E-01   1.8851640E-02  -8.2786436E+00   3.1319056E+00
   9.0123999E-01   1.0873560E-01  -8.3179579E+00   3.1267722E+00
   9.0550208E-01  -6.5872997E-02  -8.3669176E+00   3.1243346E+00
   9.0932727E-01  -1.7068524E-02  -8.3175650E+00   3.1284533E+00
   9.1110188E-01   5.3102979E-03  -8.2636909E+00   3.1236417E+00
   9.1488969E-01   6.3387007E-02  -8.3407412E+00   3.1248240E+00
   9.1906583E-01   9.4630413E-02  -8.3582983E+00   3.1232111E+00
   9.2131174E-01   2.0832429E-02  -8.2708101E+00   3.1249182E+00
