  flscon:  version 23.2.0.01  win64 2022 
 FLOW-3D   15:52:28  02/16/2024 tcgi     
   hydr3d   version  23.2.0.20 win64     12/04/2023 HYDRO    
 Simulation Template: Free Surface - TruVOF (Default)                            

Mesh Block   1
 printing pfxob, pfyob, pfzob       
       1      995      0.000E+00      1.713E+00
   time              pfxob_1         pfyob_1         pfzob_1
   3.3978623E-01   1.4688246E-02   4.4786911E+00   6.7135155E-01
   3.4100690E-01   1.4830308E-02   4.4805670E+00   6.6912901E-01
   3.4222922E-01   1.1673019E-02   4.4885492E+00   6.6833270E-01
   3.4460038E-01   2.0097014E-02   4.4894023E+00   6.6501319E-01
   3.4582677E-01   1.3468858E-02   4.4982190E+00   6.6214716E-01
   3.4828299E-01   7.6504177E-03   4.5057268E+00   6.5929705E-01
   3.4951070E-01   9.7562335E-03   4.4987431E+00   6.5745294E-01
   3.5072803E-01   1.7545182E-02   4.4845052E+00   6.5561163E-01
   3.5315171E-01   1.2478472E-02   4.4671693E+00   6.5172142E-01
   3.5434517E-01   1.2980430E-02   4.4680047E+00   6.5029603E-01
   3.5670075E-01   1.5633674E-02   4.4567809E+00   6.4616042E-01
   3.5786369E-01   2.3297284E-02   4.4604335E+00   6.4451993E-01
   3.6017036E-01   6.6179964E-03   4.4464526E+00   6.4307123E-01
   3.6129677E-01   2.4431868E-02   4.4133849E+00   6.4008337E-01
   3.6353642E-01   1.0817626E-02   4.4193449E+00   6.3436139E-01
   3.6464861E-01   1.3433358E-02   4.4133749E+00   6.3416833E-01
   3.6685312E-01   1.5767692E-02   4.4158649E+00   6.3232869E-01
   3.6794519E-01   1.0137280E-02   4.4152904E+00   6.3436002E-01
   3.7010995E-01   1.9537222E-02   4.3807988E+00   6.2658340E-01
   3.7225160E-01   1.1256258E-02   4.3544869E+00   6.2534100E-01
   3.7331444E-01   1.1009051E-02   4.3525796E+00   6.2436497E-01
   3.7542522E-01   1.3488039E-02   4.3210297E+00   6.2235880E-01
   3.7647352E-01   1.4568922E-02   4.3139668E+00   6.1995941E-01
   3.7855649E-01   1.6868085E-02   4.2995777E+00   6.1814511E-01
   3.8062218E-01   1.2107813E-02   4.2758603E+00   6.1564744E-01
   3.8164902E-01   1.3165444E-02   4.2645826E+00   6.1370444E-01
   3.8367781E-01   1.1961407E-02   4.2590613E+00   6.1403638E-01
   3.8568786E-01   1.7318724E-02   4.2333913E+00   6.1305231E-01
   3.8729718E-01   1.4859298E-02   4.1697588E+00   6.1034679E-01
   3.8911000E-01   1.4879365E-02   4.1402841E+00   6.0582703E-01
   3.9058882E-01   4.7365259E-03   4.1562562E+00   6.0794026E-01
   3.9230075E-01   1.1679028E-02   4.1616530E+00   6.0276091E-01
   3.9428255E-01   1.4126981E-02   4.1481805E+00   6.1205810E-01
