  flscon:  version 23.2.0.01  win64 2022 
 FLOW-3D   17:13:18  02/14/2024 liqi     
   hydr3d   version  23.2.0.20 win64     12/04/2023 HYDRO    
 Simulation Template: Free Surface - TruVOF (Default)                            

Mesh Block   1
 printing pfxob, pfyob, pfzob       
       1      943      0.000E+00      1.714E+00
   time              pfxob_1         pfyob_1         pfzob_1
   6.5467346E-01  -3.9567151E-03  -5.4304748E+00   1.8241388E+00
   6.5651667E-01   2.2249417E-03  -5.4694529E+00   1.8239359E+00
   6.5835690E-01  -5.3725652E-03  -5.5567441E+00   1.8236700E+00
   6.5924895E-01  -1.3547145E-03  -5.5948696E+00   1.8235271E+00
   6.6099191E-01  -8.7086782E-03  -5.6165071E+00   1.8232673E+00
   6.6268617E-01   1.2486053E-04  -5.5973058E+00   1.8230453E+00
   6.6449159E-01  -9.7539918E-03  -5.6905746E+00   1.8227383E+00
   6.6633648E-01   1.6463550E-03  -5.7890606E+00   1.8226415E+00
   6.6814995E-01   9.7339917E-03  -5.8666468E+00   1.8224875E+00
   6.6985744E-01   2.6484157E-03  -5.8492627E+00   1.8224292E+00
   6.7152631E-01  -9.2915706E-03  -5.8768229E+00   1.8223979E+00
   6.7330676E-01  -6.4325351E-03  -5.9034786E+00   1.8223679E+00
   6.7510772E-01   1.6954564E-03  -5.9883218E+00   1.8222767E+00
   6.7689043E-01   2.1015083E-04  -6.0971003E+00   1.8219951E+00
   6.7861170E-01  -4.3835728E-03  -6.1106176E+00   1.8218844E+00
   6.8026692E-01   1.3424507E-03  -6.1262670E+00   1.8217907E+00
   6.8189472E-01   4.4762692E-03  -6.1191497E+00   1.8219469E+00
   6.8357259E-01  -8.7553769E-04  -6.1291971E+00   1.8224095E+00
   6.8530571E-01   1.4050478E-03  -6.1890721E+00   1.8226368E+00
   6.8704897E-01   4.9105179E-03  -6.2815590E+00   1.8228774E+00
   6.8877953E-01  -1.4845103E-04  -6.3134475E+00   1.8229109E+00
   6.9043869E-01  -3.1684150E-03  -6.3523035E+00   1.8228700E+00
   6.9206208E-01  -3.7421102E-03  -6.3543515E+00   1.8229165E+00
   6.9369060E-01   1.5028177E-03  -6.3435030E+00   1.8230106E+00
   6.9539374E-01   2.9470783E-03  -6.3408508E+00   1.8232183E+00
   6.9710940E-01  -7.8566617E-04  -6.4167347E+00   1.8234867E+00
