  flscon:  version 23.2.0.01  win64 2022 
 FLOW-3D   14:30:35  02/22/2024 pnht     
   hydr3d   version  23.2.0.20 win64     12/04/2023 HYDRO    
 Simulation Template: Free Surface - TruVOF (Default)                            

Mesh Block   1
 printing tfxob, tfyob, tfzob       
       1      999      0.000E+00      3.341E+00
   time              tfxob_1         tfyob_1         tfzob_1
   5.7121909E-01  -2.5352390E-02  -1.2929586E-01   1.8823943E+00
   5.7491112E-01  -3.4960892E-02  -3.3498442E-01   1.8802623E+00
   5.7761073E-01   2.2474580E-02  -5.9807837E-01   1.8784543E+00
   5.8148152E-01   1.8981669E-02  -5.1768845E-01   1.8777859E+00
   5.8440256E-01  -5.6122504E-02  -7.5262743E-01   1.8771082E+00
   5.8834761E-01  -1.7312907E-02  -8.7754929E-01   1.8755606E+00
   5.9141731E-01  -2.6907318E-03  -1.1446575E+00   1.8743935E+00
   5.9453124E-01  -1.5074691E-02  -1.2591034E+00   1.8730625E+00
   5.9768933E-01  -2.3000512E-02  -1.4317774E+00   1.8726121E+00
   6.0085899E-01  -2.6521247E-02  -1.4996707E+00   1.8720520E+00
   6.0511374E-01  -3.2793585E-02  -1.7033827E+00   1.8705801E+00
   6.0833740E-01  -1.3810760E-02  -1.8579599E+00   1.8697596E+00
   6.1113846E-01  -2.2162579E-02  -1.9068381E+00   1.8691437E+00
   6.1511999E-01  -1.0078169E-02  -2.2865973E+00   1.8674377E+00
   6.1836231E-01  -1.4232243E-02  -2.4188266E+00   1.8663292E+00
   6.2167716E-01  -1.3764878E-03  -2.5324485E+00   1.8649611E+00
   6.2501895E-01  -2.3900473E-02  -2.7038515E+00   1.8640195E+00
   6.2831229E-01  -4.1370064E-02  -2.8398721E+00   1.8634608E+00
   6.3149995E-01   9.6099786E-03  -3.0668788E+00   1.8622091E+00
   6.3443923E-01  -4.5491543E-02  -3.1821289E+00   1.8616601E+00
   6.3761598E-01  -4.2427059E-02  -3.2345281E+00   1.8611469E+00
   6.4112598E-01  -1.3394798E-01  -3.4832413E+00   1.8599869E+00
   6.4436519E-01   1.1466783E-01  -3.8667865E+00   1.8589530E+00
   6.4805806E-01   1.9566586E-02  -3.8039391E+00   1.8588097E+00
   6.5131474E-01  -8.0260210E-02  -4.1510077E+00   1.8581743E+00
   6.5480226E-01   4.0465787E-02  -4.1655750E+00   1.8570453E+00
   6.5851808E-01  -7.9654515E-02  -4.3757210E+00   1.8566078E+00
   6.6189682E-01   1.0052215E-01  -4.5066533E+00   1.8549136E+00
   6.6460830E-01  -1.7474544E-01  -4.8102541E+00   1.8540504E+00
   6.6790038E-01   4.4522025E-02  -4.8974385E+00   1.8528740E+00
   6.7139733E-01  -1.0693522E-02  -5.0261965E+00   1.8526982E+00
   6.7437196E-01  -1.2069454E-02  -5.1181350E+00   1.8524163E+00
   6.7800230E-01   1.0461122E-02  -5.4055696E+00   1.8499142E+00
   6.8109387E-01  -6.2406778E-02  -5.5338969E+00   1.8491168E+00
   6.8509632E-01  -6.5658271E-02  -5.6611214E+00   1.8487362E+00
