  flscon:  version 23.2.0.01  win64 2022 
 FLOW-3D   15:09:47  02/16/2024 cisn     
   hydr3d   version  23.2.0.20 win64     12/04/2023 HYDRO    
 Simulation Template: Free Surface - TruVOF (Default)                            

Mesh Block   1
 printing pfxob, pfyob, pfzob       
       1      858      0.000E+00      1.714E+00
   time              pfxob_1         pfyob_1         pfzob_1
   4.5532489E-01  -2.9979596E-02   3.3685277E+00   3.1911743E+00
   4.5715398E-01  -9.5654894E-03   3.3308785E+00   3.1908457E+00
   4.5903561E-01   9.2942826E-03   3.2602170E+00   3.1900392E+00
   4.6096733E-01   1.3374888E-02   3.2384787E+00   3.1889651E+00
   4.6294567E-01  -3.2013049E-03   3.1280525E+00   3.1881347E+00
   4.6497807E-01  -1.0961249E-02   2.9922895E+00   3.1873550E+00
   4.6707752E-01  -5.5956049E-03   2.9503295E+00   3.1860557E+00
   4.6923116E-01  -1.8346993E-02   2.8666034E+00   3.1849167E+00
   4.7098279E-01   6.2931813E-02   2.9625802E+00   3.1963997E+00
   4.7265023E-01   4.2734992E-02   2.7666848E+00   3.1845682E+00
   4.7440106E-01  -4.6607833E-03   2.5866342E+00   3.1830628E+00
   4.7623944E-01  -3.6130499E-02   2.4533074E+00   3.1821294E+00
   4.7816971E-01  -2.2775006E-02   2.3586195E+00   3.1807179E+00
   4.8018622E-01   1.1419795E-02   2.3884430E+00   3.1805930E+00
   4.8222607E-01  -3.2455169E-02   2.2854676E+00   3.1775708E+00
   4.8429239E-01  -7.8688361E-02   2.2281938E+00   3.1805184E+00
   4.8638946E-01   1.2527978E-02   2.1830285E+00   3.1793938E+00
   4.8852375E-01   7.0603646E-02   1.9927745E+00   3.1828542E+00
   4.9070185E-01   4.4899848E-03   1.8952049E+00   3.1724942E+00
   4.9293178E-01  -4.0031478E-02   1.7769045E+00   3.1753879E+00
   4.9522164E-01  -6.1605040E-02   1.6428211E+00   3.1655450E+00
   4.9758008E-01  -5.6932069E-02   1.5863262E+00   3.1690266E+00
   5.0001985E-01   9.0167962E-02   1.4844022E+00   3.1881406E+00
   5.0241822E-01  -6.6308327E-02   1.1714958E+00   3.1771374E+00
   5.0479531E-01  -8.5138911E-03   1.2791916E+00   3.1757703E+00
   5.0729126E-01   1.7017275E-02   1.3474374E+00   3.1705306E+00
   5.0977302E-01   2.3532500E-02   1.2882203E+00   3.1688931E+00
   5.1223624E-01  -4.3287747E-02   1.0081432E+00   3.1762476E+00
   5.1460689E-01  -5.4275516E-02   6.6402942E-01   3.1773183E+00
   5.1683682E-01   2.6299261E-02   4.9611214E-01   3.1822371E+00
   5.1917821E-01  -5.4032430E-02   5.3859812E-01   3.1746376E+00
   5.2158958E-01  -2.0900827E-02   5.8720773E-01   3.1731448E+00
   5.2392769E-01   2.5258107E-02   4.3071762E-01   3.1735568E+00
   5.2621537E-01   2.2094782E-02   2.7878973E-01   3.1740594E+00
   5.2847070E-01   1.6869482E-02   1.1379929E-01   3.1742198E+00
   5.3060323E-01   1.9355221E-02   1.2531611E-01   3.1721890E+00
   5.3284240E-01   2.8768010E-03  -4.3947911E-03   3.1708660E+00
   5.3504002E-01  -1.6579332E-02  -1.2928887E-01   3.1721444E+00
   5.3710896E-01  -8.5721627E-02  -2.9103363E-01   3.1713138E+00
   5.3917515E-01  -7.8910952E-03  -3.8965127E-01   3.1701250E+00
   5.4134464E-01   3.4458615E-02  -3.9022499E-01   3.1704504E+00
   5.4344022E-01   4.2531539E-02  -4.2951936E-01   3.1671884E+00
   5.4541153E-01  -2.6895998E-03  -5.0358313E-01   3.1642797E+00
   5.4726142E-01   2.4803473E-02  -6.5825945E-01   3.1642618E+00
   5.4901004E-01  -5.4713342E-02  -7.2364122E-01   3.1641967E+00
   5.5069554E-01  -2.2155792E-02  -7.3133999E-01   3.1635790E+00
   5.5240655E-01  -5.2127164E-02  -9.0285236E-01   3.1626556E+00
   5.5420309E-01  -3.6602784E-02  -8.2669026E-01   3.1583652E+00
   5.5608952E-01   2.8175732E-02  -1.0125406E+00   3.1603889E+00
   5.5807018E-01  -7.1250508E-04  -1.0672222E+00   3.1604574E+00
   5.6014997E-01   3.8620152E-02  -1.2192560E+00   3.1584072E+00
   5.6233370E-01  -1.5809813E-03  -1.1727319E+00   3.1580184E+00
   5.6462657E-01  -6.5266695E-03  -1.2614565E+00   3.1567283E+00
   5.6703418E-01  -2.5337657E-03  -1.3425566E+00   3.1570516E+00
   5.6956208E-01   1.5390471E-02  -1.4170316E+00   3.1577265E+00
   5.7217765E-01  -2.7631588E-02  -1.5367573E+00   3.1511681E+00
   5.7479185E-01  -7.1637295E-02  -1.7042612E+00   3.1581354E+00
   5.7743335E-01  -3.4280378E-02  -1.7636372E+00   3.1602037E+00
   5.7955402E-01  -4.1722577E-02  -1.8353864E+00   3.1543245E+00
   5.8153379E-01  -4.8539735E-02  -1.9161921E+00   3.1544237E+00
   5.8352524E-01   9.9522388E-03  -1.9477887E+00   3.1514504E+00
   5.8549184E-01   7.7531859E-02  -2.0607011E+00   3.1581087E+00
   5.8732426E-01   5.9212647E-02  -2.2875352E+00   3.1727142E+00
   5.8906239E-01  -5.4809149E-02  -2.4733284E+00   3.1727638E+00
   5.9081012E-01  -6.7379847E-02  -2.4246066E+00   3.1602039E+00
   5.9264517E-01  -1.0309782E-01  -2.3055234E+00   3.1571679E+00
   5.9414971E-01  -1.8428817E-02  -2.3297291E+00   3.1553817E+00
   5.9572953E-01   1.6430997E-03  -2.3893230E+00   3.1530511E+00
   5.9738833E-01  -2.1718984E-02  -2.4985039E+00   3.1591852E+00
   5.9913003E-01  -3.2713562E-02  -2.6361825E+00   3.1624966E+00
   6.0095882E-01   1.2763606E-01  -2.9393158E+00   3.1675053E+00
   6.0244894E-01   1.1211753E-02  -2.8380196E+00   3.1656346E+00
   6.0565335E-01   6.2911592E-02  -2.8924849E+00   3.1609485E+00
   6.0737675E-01   4.9499743E-02  -2.8500557E+00   3.1597660E+00
   6.0918623E-01   2.8315803E-02  -2.9023757E+00   3.1601970E+00
   6.1108625E-01  -1.0133129E-01  -3.0603001E+00   3.1585476E+00
   6.1305577E-01  -9.3263067E-02  -3.0793138E+00   3.1619356E+00
   6.1477977E-01  -4.3890473E-02  -3.2167194E+00   3.1621649E+00
   6.1659002E-01   3.7354805E-02  -3.3174276E+00   3.1617975E+00
   6.1849082E-01   7.8536294E-02  -3.3974521E+00   3.1593442E+00
   6.2048662E-01   1.2486706E-02  -3.3653588E+00   3.1591184E+00
   6.2258220E-01  -3.2280542E-02  -3.4352160E+00   3.1611249E+00
   6.2478256E-01  -6.5505188E-03  -3.4998198E+00   3.1596742E+00
   6.2709296E-01   1.9856576E-02  -3.5561271E+00   3.1591840E+00
   6.2951887E-01   4.3280259E-02  -3.6461055E+00   3.1538906E+00
   6.3206607E-01  -1.0010616E-02  -3.6712034E+00   3.1626549E+00
   6.3452840E-01  -4.2397160E-02  -3.7866740E+00   3.1694124E+00
   6.3821745E-01  -3.6183936E-03  -3.9496248E+00   3.1636107E+00
   6.4005643E-01   3.7843987E-02  -4.0708113E+00   3.1646767E+00
   6.4189869E-01   5.8018930E-02  -4.1036501E+00   3.1675336E+00
   6.4367783E-01   5.9539422E-02  -4.1554189E+00   3.1659367E+00
   6.4653623E-01  -1.0920669E-01  -4.2203202E+00   3.1638348E+00
   6.4788651E-01  -7.3844977E-02  -4.3324218E+00   3.1631093E+00
   6.4922380E-01  -4.8322361E-02  -4.2904773E+00   3.1619701E+00
   6.5055257E-01   7.8379720E-02  -4.3221393E+00   3.1701229E+00
   6.5341282E-01   6.6068894E-03  -4.4729509E+00   3.1670225E+00
   6.5495104E-01  -4.2657200E-02  -4.4979572E+00   3.1668029E+00
   6.5656614E-01  -9.9454178E-03  -4.5687561E+00   3.1664772E+00
   6.5800786E-01  -2.2445943E-02  -4.5634913E+00   3.1640470E+00
   6.5935695E-01  -1.4467967E-02  -4.6257401E+00   3.1652403E+00
   6.6069764E-01  -1.8972196E-02  -4.6550517E+00   3.1671493E+00
   6.6338700E-01   1.1268271E-03  -4.7140536E+00   3.1725347E+00
   6.6474640E-01  -3.7445207E-03  -4.7445760E+00   3.1711278E+00
   6.6611916E-01   8.3936252E-02  -4.7656889E+00   3.1747582E+00
   6.6751796E-01   1.0485166E-02  -4.8509831E+00   3.1657226E+00
   6.7052895E-01  -2.3352789E-02  -4.9198618E+00   3.1619518E+00
   6.7214829E-01  -2.3953633E-02  -4.8659735E+00   3.1590078E+00
   6.7384857E-01  -2.1492437E-02  -4.8915439E+00   3.1596394E+00
   6.7563385E-01  -2.4017336E-02  -4.9939694E+00   3.1645718E+00
   6.7750841E-01  -3.4465589E-02  -5.0458956E+00   3.1633844E+00
   6.7947668E-01  -1.4210810E-03  -5.1362062E+00   3.1645570E+00
   6.8154341E-01   3.9243205E-03  -5.1479368E+00   3.1634068E+00
   6.8371344E-01   1.6045729E-02  -5.1976089E+00   3.1612079E+00
   6.8599194E-01   1.9845651E-02  -5.2026482E+00   3.1563857E+00
   6.8838441E-01   9.2493789E-04  -5.3127270E+00   3.1568403E+00
   6.9076973E-01  -4.8942637E-02  -5.3666110E+00   3.1531622E+00
   6.9252396E-01   1.4503978E-02  -5.3554864E+00   3.1555505E+00
   6.9404489E-01  -8.5201576E-02  -5.3750067E+00   3.1528723E+00
   6.9564182E-01   1.1390050E-02  -5.4445071E+00   3.1443729E+00
   6.9723696E-01  -1.6753770E-02  -5.4555564E+00   3.1457551E+00
   6.9886833E-01   1.7250389E-02  -5.5018420E+00   3.1441007E+00
   7.0047569E-01  -9.9960882E-03  -5.4465237E+00   3.1408453E+00
   7.0209438E-01   1.9539108E-02  -5.4585857E+00   3.1356010E+00
   7.0373315E-01   2.7761243E-02  -5.4742656E+00   3.1375463E+00
   7.0538497E-01  -9.4110323E-03  -5.5880899E+00   3.1424618E+00
   7.0702457E-01  -8.5602859E-03  -5.5694232E+00   3.1410916E+00
   7.0866656E-01   4.4675857E-02  -5.5981302E+00   3.1420903E+00
   7.1034163E-01   5.6180567E-03  -5.5809240E+00   3.1387162E+00
   7.1199930E-01  -3.0758388E-03  -5.6933737E+00   3.1378925E+00
   7.1366024E-01  -5.9633557E-02  -5.6681151E+00   3.1368532E+00
   7.1698701E-01  -3.7200414E-02  -5.6440487E+00   3.1335125E+00
   7.1865159E-01   1.2623332E-02  -5.6641669E+00   3.1320262E+00
   7.2031653E-01  -3.8489753E-03  -5.7383461E+00   3.1329336E+00
   7.2198486E-01   3.3179127E-02  -5.7550607E+00   3.1331310E+00
   7.2366226E-01   4.6384472E-02  -5.8635435E+00   3.1482353E+00
   7.2530043E-01  -3.1874582E-02  -5.8776331E+00   3.1291208E+00
   7.2696567E-01  -6.6201717E-02  -5.7860384E+00   3.1220431E+00
   7.2868383E-01  -3.2033179E-02  -5.6633720E+00   3.1254454E+00
   7.3042750E-01  -1.9338049E-02  -5.7276392E+00   3.1283932E+00
   7.3218995E-01  -2.9858886E-03  -5.7267933E+00   3.1272528E+00
