  flscon:  version 23.2.0.01  win64 2022 
 FLOW-3D   21:13:44  02/15/2024 jupc     
   hydr3d   version  23.2.0.20 win64     12/04/2023 HYDRO    
 Simulation Template: Free Surface - TruVOF (Default)                            

Mesh Block   1
 printing pfxob, pfyob, pfzob       
       1      924      0.000E+00      4.931E+00
   time              pfxob_1         pfyob_1         pfzob_1
   9.0227181E-01  -1.0884773E-02  -2.8761774E-01   3.1293938E+00
   9.0749353E-01  -8.8699395E-03  -2.7750969E-01   3.1298060E+00
   9.1301286E-01  -1.1914116E-02  -2.1166985E-01   3.1299086E+00
   9.1820794E-01  -9.8519241E-03  -2.1845493E-01   3.1304009E+00
   9.2289418E-01  -7.9547148E-03  -2.1294193E-01   3.1309872E+00
   9.2750311E-01  -1.9839566E-02  -1.3427910E-01   3.1308310E+00
   9.3238449E-01  -8.7667797E-03  -1.1240347E-01   3.1313899E+00
   9.3776613E-01  -8.2651880E-03   1.1924403E-02   3.1313684E+00
   9.4066042E-01  -1.0600110E-02   9.5033906E-03   3.1319153E+00
   9.4661975E-01  -1.7417975E-02  -9.2344217E-02   3.1333723E+00
   9.5273674E-01  -6.8574413E-03   3.5554357E-02   3.1325958E+00
   9.5570141E-01  -9.1009280E-03   1.2753691E-01   3.1329117E+00
   9.6120352E-01  -1.1786234E-02   7.4661478E-02   3.1343498E+00
   9.6726960E-01  -1.1240614E-02   1.2636498E-01   3.1345000E+00
   9.7053200E-01  -1.0206466E-02   1.5722016E-01   3.1347971E+00
   9.7755426E-01  -9.3715191E-03   2.8808352E-01   3.1373529E+00
   9.8133087E-01  -1.0719589E-02   2.8229114E-01   3.1376488E+00
   9.8529631E-01  -1.4323440E-02   2.4587126E-01   3.1377885E+00
   9.8945999E-01  -1.3213209E-02   2.5734061E-01   3.1375990E+00
   9.9383187E-01  -1.1783240E-02   2.7927795E-01   3.1374846E+00
   1.0032424E+00  -9.3271676E-03   3.8976195E-01   3.1392820E+00
   1.0083034E+00  -1.0663892E-02   4.0608221E-01   3.1399209E+00
   1.0171061E+00  -1.2599334E-02   4.1445720E-01   3.1414261E+00
   1.0210974E+00  -9.8771378E-03   4.2918730E-01   3.1415820E+00
   1.0252883E+00  -1.1079414E-02   5.7070309E-01   3.1436431E+00
   1.0296888E+00  -1.0702801E-02   5.7679331E-01   3.1439381E+00
   1.0343093E+00  -9.8412866E-03   5.8166969E-01   3.1444662E+00
   1.0391608E+00  -9.7416453E-03   5.6711823E-01   3.1447783E+00
   1.0442549E+00  -1.0502180E-02   5.9541041E-01   3.1449635E+00
   1.0496037E+00  -1.0281711E-02   6.2598372E-01   3.1453595E+00
   1.0552199E+00  -1.0268066E-02   7.8742123E-01   3.1487193E+00
   1.0611171E+00  -7.8600543E-03   7.6544678E-01   3.1494498E+00
