  flscon:  version 23.2.0.01  win64 2022 
 FLOW-3D   17:47:44  02/22/2024 jupc     
   hydr3d   version  23.2.0.20 win64     12/04/2023 HYDRO    
 Simulation Template: Free Surface - TruVOF (Default)                            

Mesh Block   1
 printing pfxob, pfyob, pfzob       
       1      909      0.000E+00      3.344E+00
   time              pfxob_1         pfyob_1         pfzob_1
   5.8062100E-01  -9.4418384E-02   3.4722281E-01   3.9666526E+00
   5.8456641E-01  -1.1236035E-01   2.1799120E-01   3.9659827E+00
   5.8872527E-01  -8.4178761E-02  -1.9349843E-02   3.9649787E+00
   5.9082007E-01  -9.0368703E-02  -1.0235880E-01   3.9639742E+00
   5.9494907E-01  -1.0040770E-01  -3.5400507E-01   3.9616249E+00
   5.9701747E-01  -1.0849763E-01  -4.6015987E-01   3.9605958E+00
   6.0112327E-01  -7.2866417E-02  -6.2205565E-01   3.9599848E+00
   6.0523778E-01  -8.7286852E-02  -9.2824882E-01   3.9578879E+00
   6.0729831E-01  -1.3537863E-01  -1.0339763E+00   3.9567170E+00
   6.1143386E-01  -1.0300804E-01  -1.2126791E+00   3.9554172E+00
   6.1559349E-01  -1.0941776E-01  -1.4078301E+00   3.9545369E+00
   6.1769271E-01  -1.2450726E-01  -1.5096408E+00   3.9540112E+00
   6.2194663E-01  -1.0904394E-01  -1.7596372E+00   3.9521940E+00
   6.2417996E-01  -9.9265836E-02  -1.8349458E+00   3.9514349E+00
   6.2880051E-01  -9.0414599E-02  -2.0790343E+00   3.9498498E+00
   6.3117409E-01  -9.2906721E-02  -2.1821744E+00   3.9491496E+00
   6.3582414E-01  -1.1892099E-01  -2.5174124E+00   3.9469731E+00
   6.3813913E-01  -9.8586507E-02  -2.6223135E+00   3.9460268E+00
   6.4046103E-01  -9.2637956E-02  -2.6898298E+00   3.9456141E+00
   6.4516932E-01  -1.1791467E-01  -2.9791205E+00   3.9446840E+00
   6.4756089E-01  -1.0271668E-01  -3.1322317E+00   3.9439473E+00
   6.5242785E-01  -1.1272930E-01  -3.3465552E+00   3.9424689E+00
   6.5491164E-01  -1.2340291E-01  -3.5759721E+00   3.9412875E+00
   6.5750742E-01  -9.4990410E-02  -3.6615651E+00   3.9403570E+00
   6.6015762E-01  -9.0132870E-02  -3.7956071E+00   3.9398751E+00
   6.6501093E-01  -1.5449144E-01  -4.0070386E+00   3.9397335E+00
   6.6900641E-01  -8.5336052E-02  -4.1845717E+00   3.9382222E+00
   6.7106789E-01  -1.2230408E-01  -4.4214888E+00   3.9365892E+00
   6.7533040E-01  -1.3530020E-01  -4.6176620E+00   3.9345968E+00
   6.7755514E-01  -1.4826801E-01  -4.7503023E+00   3.9338834E+00
   6.8207169E-01  -1.0625676E-01  -4.8704100E+00   3.9320238E+00
   6.8436122E-01  -1.9187728E-01  -5.0912151E+00   3.9307132E+00
   6.8881536E-01  -8.7111481E-03  -5.3415055E+00   3.9261966E+00
   6.9083738E-01   4.0313590E-02  -5.2949381E+00   3.9250169E+00
   6.9518971E-01  -1.6645166E-01  -5.7050691E+00   3.9226048E+00
   6.9753045E-01  -1.1561433E-01  -5.7425771E+00   3.9216008E+00
   7.0122427E-01  -1.0568897E-01  -5.8705320E+00   3.9182785E+00
   7.0518398E-01  -6.7610309E-02  -6.1490297E+00   3.9149411E+00
   7.0725572E-01  -1.8518494E-01  -6.3557491E+00   3.9132786E+00
   7.1171522E-01  -1.3820601E-01  -6.3852916E+00   3.9113479E+00
   7.1495223E-01  -7.4300416E-02  -6.6013260E+00   3.9086242E+00
   7.1852100E-01  -4.9521267E-02  -6.6936183E+00   3.9066424E+00
   7.2209877E-01  -1.1699117E-01  -6.8720841E+00   3.9036379E+00
   7.2402287E-01  -1.4660007E-01  -6.8920922E+00   3.9024971E+00
   7.2812551E-01  -1.8631747E-01  -7.1437531E+00   3.9004822E+00
   7.3264867E-01  -2.4618402E-02  -7.5303140E+00   3.8971887E+00
   7.3508126E-01  -6.4326063E-02  -7.5209303E+00   3.8959289E+00
   7.3753619E-01  -7.1410917E-02  -7.5458860E+00   3.8936934E+00
   7.4196804E-01  -1.2175147E-01  -7.6819773E+00   3.8900089E+00
   7.4435151E-01  -1.4689192E-01  -8.0873537E+00   3.8779907E+00
   7.4851739E-01  -5.8803242E-02  -7.9023461E+00   3.8776963E+00
   7.5209761E-01  -5.8888134E-02  -8.1012383E+00   3.8818362E+00
   7.5402302E-01  -1.2985633E-01  -8.2559834E+00   3.8821368E+00
   7.5816756E-01  -1.3283949E-01  -8.3113317E+00   3.8799036E+00
   7.6273686E-01  -2.1893471E-02  -8.5262823E+00   3.8727758E+00
   7.6519430E-01  -1.3395751E-01  -8.6301737E+00   3.8688724E+00
   7.6777458E-01  -5.7895344E-02  -8.7667332E+00   3.8574445E+00
   7.7048385E-01  -7.6291114E-02  -8.8124256E+00   3.8572948E+00
   7.7604365E-01  -1.2991233E-01  -8.8319778E+00   3.8641548E+00
   7.7889442E-01  -7.3853306E-02  -8.8855820E+00   3.8653448E+00
   7.8188771E-01  -6.4164743E-02  -9.0113134E+00   3.8653083E+00
   7.8421718E-01  -6.0698435E-02  -9.0169144E+00   3.8620603E+00
   7.8923136E-01  -3.0721294E-02  -9.4487534E+00   3.8370481E+00
   7.9192799E-01  -1.0181481E-01  -9.4254017E+00   3.8398800E+00
   7.9424793E-01  -1.3106933E-01  -9.3019085E+00   3.8590517E+00
   7.9924160E-01  -8.2009219E-02  -9.3678589E+00   3.8524675E+00
   8.0192727E-01  -1.0027915E-01  -9.6622210E+00   3.8333662E+00
   8.0474716E-01  -5.0402325E-02  -9.7059889E+00   3.8338671E+00
   8.0827951E-01  -6.9594696E-02  -9.5938749E+00   3.8401058E+00
   8.1217390E-01  -1.1227740E-01  -9.6388931E+00   3.8428276E+00
   8.1426835E-01  -5.5393215E-02  -9.6675997E+00   3.8422031E+00
   8.1877655E-01  -6.5292135E-02  -9.7436209E+00   3.8357160E+00
   8.2120115E-01  -3.6171842E-02  -9.8137550E+00   3.8305748E+00
   8.2642001E-01  -9.0055741E-02  -9.8899612E+00   3.8258405E+00
   8.2922673E-01  -9.5585704E-02  -9.8476467E+00   3.8234820E+00
   8.3217376E-01  -3.2214653E-02  -9.9485254E+00   3.8222020E+00
   8.3526820E-01   3.4481105E-03  -9.9577780E+00   3.8218746E+00
   8.3797121E-01  -1.1819987E-02  -9.9394407E+00   3.8217177E+00
   8.4080940E-01  -2.4923639E-02  -9.9413214E+00   3.8212316E+00
   8.4642649E-01  -1.2577925E-02  -1.0000318E+01   3.8078873E+00
   8.4829915E-01  -1.0826340E-01  -9.9268589E+00   3.8077452E+00
   8.5232991E-01  -1.0172547E-01  -9.9906826E+00   3.8132045E+00
   8.5449767E-01  -1.0238329E-01  -9.9558678E+00   3.8149080E+00
   8.5916382E-01  -3.6374591E-02  -9.9436932E+00   3.8145888E+00
   8.6167336E-01   5.4491483E-02  -9.9642172E+00   3.8108780E+00
   8.6430830E-01  -1.8745508E-02  -9.9659700E+00   3.8059027E+00
   8.6998004E-01   3.9146021E-03  -9.9126101E+00   3.7978933E+00
   8.7303030E-01  -7.0209906E-02  -9.8346128E+00   3.7950845E+00
   8.7623310E-01  -1.6789377E-02  -9.8388538E+00   3.7928050E+00
   8.7781316E-01  -2.9674467E-02  -9.8715878E+00   3.7880707E+00
   8.8121414E-01  -3.6383279E-02  -9.7984276E+00   3.7858188E+00
   8.8496375E-01   8.1672547E-03  -9.8063068E+00   3.7850378E+00
   8.8873219E-01  -4.6775371E-02  -9.7586527E+00   3.7832518E+00
   8.9250308E-01  -2.2133732E-02  -9.7674856E+00   3.7801805E+00
   8.9453113E-01   2.3395346E-02  -9.7121458E+00   3.7788961E+00
   8.9877748E-01  -1.9011525E-03  -9.6125870E+00   3.7763145E+00
   9.0106124E-01  -5.8042523E-03  -9.6488380E+00   3.7745640E+00
   9.0597695E-01  -3.3456978E-04  -9.5794830E+00   3.7695205E+00
   9.0862066E-01  -2.5492622E-02  -9.5598583E+00   3.7682979E+00
   9.1139650E-01   1.8230347E-02  -9.5474482E+00   3.7672637E+00
   9.1431123E-01  -1.6058790E-03  -9.5019569E+00   3.7659979E+00
   9.1737163E-01   1.1780917E-02  -9.4603243E+00   3.7628808E+00
   9.2058504E-01  -1.1937597E-02  -9.4181175E+00   3.7591772E+00
   9.2572683E-01   1.1590319E-02  -9.3449688E+00   3.7527673E+00
   9.2795628E-01   2.7203077E-02  -9.2766161E+00   3.7503626E+00
   9.3275517E-01   1.4953273E-02  -9.1780729E+00   3.7469678E+00
   9.3522358E-01   1.9360868E-02  -9.1524410E+00   3.7438977E+00
   9.3781537E-01   4.0037382E-02  -9.1504202E+00   3.7408514E+00
   9.4339418E-01   1.6837070E-02  -9.0753059E+00   3.7385137E+00
   9.4639456E-01   3.2751143E-02  -9.0322418E+00   3.7364745E+00
   9.4936824E-01   2.6230821E-02  -8.9868383E+00   3.7342484E+00
   9.5249057E-01   2.5120530E-02  -8.9194021E+00   3.7323768E+00
   9.5497775E-01   1.8797684E-02  -8.8964643E+00   3.7310984E+00
   9.5758927E-01   2.7465180E-02  -8.8911886E+00   3.7299840E+00
   9.6202201E-01   4.9166519E-02  -8.7766037E+00   3.7257504E+00
   9.6440595E-01   7.6183103E-02  -8.7907429E+00   3.7249033E+00
   9.6953738E-01   4.0132567E-02  -8.6366005E+00   3.7241528E+00
   9.7224021E-01   3.7460480E-02  -8.5795698E+00   3.7236919E+00
   9.7507817E-01   3.7882525E-02  -8.5464602E+00   3.7224104E+00
   9.7805804E-01   4.8418388E-02  -8.4964638E+00   3.7206945E+00
   9.8104507E-01   4.4931110E-02  -8.4552383E+00   3.7190475E+00
   9.8622620E-01   3.3005822E-02  -8.3984537E+00   3.7169471E+00
   9.8901266E-01   4.8286602E-02  -8.3025379E+00   3.7152836E+00
   9.9157852E-01   5.2235451E-02  -8.2774239E+00   3.7143760E+00
   9.9427265E-01   5.5624489E-02  -8.2045050E+00   3.7122772E+00
   9.9981731E-01   5.5902228E-02  -8.1310835E+00   3.7094033E+00
   1.0024354E+00   5.3149238E-02  -8.0745230E+00   3.7081716E+00
   1.0051488E+00   6.1011475E-02  -8.0290670E+00   3.7068751E+00
   1.0079150E+00   4.9298633E-02  -8.0043211E+00   3.7062466E+00
   1.0135432E+00   6.7225389E-02  -7.8848653E+00   3.7023332E+00
   1.0164629E+00   4.9715757E-02  -7.8656096E+00   3.7026708E+00
   1.0193288E+00   5.6686494E-02  -7.8177991E+00   3.7035775E+00
   1.0221586E+00   7.5378858E-02  -7.8026929E+00   3.7041631E+00
   1.0249658E+00   7.4876443E-02  -7.7640576E+00   3.7029567E+00
   1.0277752E+00   7.7714600E-02  -7.7156916E+00   3.7008853E+00
   1.0334226E+00   8.2445316E-02  -7.5857553E+00   3.6962571E+00
   1.0362918E+00   7.2204739E-02  -7.5770979E+00   3.6954486E+00
   1.0392030E+00   6.7512475E-02  -7.5152187E+00   3.6936743E+00
   1.0421528E+00   6.2397901E-02  -7.4978585E+00   3.6929224E+00
   1.0451399E+00   5.8028761E-02  -7.5017915E+00   3.6911314E+00
   1.0481026E+00   6.7833126E-02  -7.4411492E+00   3.6903698E+00
   1.0510784E+00   7.7444747E-02  -7.3438473E+00   3.6884611E+00
   1.0541201E+00   8.4296890E-02  -7.2528462E+00   3.6865435E+00
   1.0604649E+00   7.9789929E-02  -7.2042341E+00   3.6842003E+00
   1.0637112E+00   7.0814021E-02  -7.1527157E+00   3.6830413E+00
   1.0669680E+00   7.3641352E-02  -7.1071186E+00   3.6815827E+00
   1.0702223E+00   8.0794573E-02  -7.0732431E+00   3.6806321E+00
   1.0734621E+00   9.7649455E-02  -6.9950619E+00   3.6789439E+00
   1.0766416E+00   8.4857084E-02  -6.9580388E+00   3.6769290E+00
   1.0797733E+00   7.4484088E-02  -6.8964319E+00   3.6748917E+00
   1.0830189E+00   7.4086085E-02  -6.8412638E+00   3.6731005E+00
   1.0863607E+00   7.4549548E-02  -6.8089485E+00   3.6715996E+00
   1.0896908E+00   8.0643274E-02  -6.7750001E+00   3.6701810E+00
   1.0930279E+00   6.9442935E-02  -6.7203293E+00   3.6687591E+00
   1.0964316E+00   7.3597290E-02  -6.6729727E+00   3.6672938E+00
   1.0999442E+00   8.1606634E-02  -6.6232643E+00   3.6658354E+00
   1.1035881E+00   8.4304869E-02  -6.5718770E+00   3.6643455E+00
   1.1069543E+00   7.9546757E-02  -6.5127769E+00   3.6626458E+00
   1.1104133E+00   8.6490043E-02  -6.4554958E+00   3.6609654E+00
   1.1137606E+00   7.5442277E-02  -6.4139175E+00   3.6593168E+00
