  flscon:  version 23.2.0.01  win64 2022 
 FLOW-3D   22:11:33  02/15/2024 tgtc     
   hydr3d   version  23.2.0.20 win64     12/04/2023 HYDRO    
 Simulation Template: Free Surface - TruVOF (Default)                            

Mesh Block   1
 printing pfxob, pfyob, pfzob       
       1     1002      0.000E+00      4.932E+00
   time              pfxob_1         pfyob_1         pfzob_1
   6.9585586E-01   3.2448508E-03  -1.2960653E+00   6.8673062E-01
   7.0053619E-01   2.8211824E-03  -1.2694002E+00   6.8709207E-01
   7.0534891E-01   2.3011717E-03  -1.2635782E+00   6.8733859E-01
   7.0980227E-01   2.5415069E-03  -1.2240950E+00   6.8756306E-01
   7.1495759E-01   2.5694282E-03  -1.2203176E+00   6.8792081E-01
   7.2003323E-01   2.6415647E-03  -1.1932912E+00   6.8800139E-01
   7.2505420E-01   2.4161784E-03  -1.1823902E+00   6.8792373E-01
   7.3028219E-01   2.2771461E-03  -1.1454163E+00   6.8817592E-01
   7.3421770E-01   2.1578586E-03  -1.1423372E+00   6.8819636E-01
   7.3905122E-01   2.3134898E-03  -1.1184083E+00   6.8788433E-01
   7.4382293E-01   2.4830818E-03  -1.1147140E+00   6.8758571E-01
   7.4906766E-01   2.5036540E-03  -1.0883032E+00   6.8776667E-01
   7.5400829E-01   2.6565890E-03  -1.0391270E+00   6.8797660E-01
   7.5951523E-01   1.8578070E-03  -1.0319396E+00   6.8828303E-01
   7.6441103E-01   1.7271895E-03  -1.0011082E+00   6.8836540E-01
   7.7007860E-01   2.0343089E-03  -1.0005087E+00   6.8796384E-01
   7.7416986E-01   2.0230941E-03  -9.7752935E-01   6.8788439E-01
   7.7993268E-01   2.4345273E-03  -9.3393302E-01   6.8749201E-01
   7.8397441E-01   1.9804325E-03  -9.3079364E-01   6.8759078E-01
   7.8832287E-01   2.0257200E-03  -9.4434291E-01   6.8770182E-01
   7.9306901E-01   1.6594805E-03  -9.0389735E-01   6.8784559E-01
   7.9970086E-01   2.1408882E-03  -8.5709417E-01   6.8777174E-01
   8.0453193E-01   1.5194691E-03  -8.2349455E-01   6.8795949E-01
   8.0923337E-01   1.7818779E-03  -8.2088166E-01   6.8804377E-01
   8.1434673E-01   1.4760921E-03  -7.9732370E-01   6.8808216E-01
   8.1935984E-01   1.5820378E-03  -7.6506883E-01   6.8806165E-01
   8.2468247E-01   1.6030674E-03  -7.0855403E-01   6.8798500E-01
   8.2718658E-01   1.2865299E-03  -7.1827787E-01   6.8782806E-01
   8.3215183E-01   1.1645764E-03  -7.3083568E-01   6.8769789E-01
   8.3899611E-01   1.2494351E-03  -6.9074035E-01   6.8731427E-01
   8.4281385E-01   1.0065653E-03  -5.9843272E-01   6.8806911E-01
   8.4871459E-01   1.1743024E-03  -6.3242561E-01   6.8724710E-01
   8.5270774E-01   2.9803853E-04  -6.3180679E-01   6.8839014E-01
   8.5758972E-01   4.9233815E-04  -6.0471505E-01   6.8809253E-01
   8.6306715E-01   2.7644198E-04  -5.1383525E-01   6.8814617E-01
   8.6764878E-01   4.7907126E-04  -4.9401712E-01   6.8821859E-01
