  flscon:  version 23.2.0.01  win64 2022 
 FLOW-3D   20:05:49  02/16/2024 liqi     
   hydr3d   version  23.2.0.20 win64     12/04/2023 HYDRO    
 Simulation Template: Free Surface - TruVOF (Default)                            

Mesh Block   1
 printing pfxob, pfyob, pfzob       
       1     1002      0.000E+00      3.341E+00
   time              pfxob_1         pfyob_1         pfzob_1
   8.6540484E-01   4.7941026E-03  -6.8023748E+00   6.2350470E-01
   8.6864418E-01   1.9703845E-02  -6.8338284E+00   6.2689131E-01
   8.7189436E-01   3.7559371E-03  -6.8444877E+00   6.2788075E-01
   8.7513882E-01   1.9453732E-02  -6.8711147E+00   6.3182205E-01
   8.7840444E-01   1.6932879E-02  -6.9350996E+00   6.3457316E-01
   8.8164675E-01  -2.0516103E-02  -6.9435649E+00   6.3314158E-01
   8.8491708E-01   2.5456307E-02  -6.9944892E+00   6.3507640E-01
   8.8900208E-01   3.4351639E-02  -7.0239034E+00   6.3398802E-01
   8.9213228E-01   8.7452605E-03  -7.0740528E+00   6.3546216E-01
   8.9530277E-01   2.1380887E-03  -7.0905271E+00   6.4111006E-01
   8.9857471E-01   9.4082467E-03  -7.0744953E+00   6.4240545E-01
   9.0179282E-01   2.3055844E-02  -7.1537118E+00   6.4428157E-01
   9.0499496E-01   3.6088983E-03  -7.1562214E+00   6.4308625E-01
   9.0826398E-01  -1.4100064E-03  -7.1440806E+00   6.4567620E-01
   9.1153592E-01   3.1995419E-02  -7.1642923E+00   6.4661998E-01
   9.1481584E-01   2.0677811E-03  -7.2034240E+00   6.5118265E-01
   9.1901094E-01   1.1792396E-02  -7.2056651E+00   6.4935648E-01
   9.2211992E-01  -8.7589892E-03  -7.2270441E+00   6.5064096E-01
   9.2535686E-01   8.7946386E-04  -7.2182779E+00   6.5246123E-01
   9.2855984E-01   4.3083811E-03  -7.2618160E+00   6.5885782E-01
   9.3171227E-01   7.7754874E-03  -7.2739124E+00   6.5905249E-01
   9.3583369E-01   1.1029855E-02  -7.2574806E+00   6.5587622E-01
   9.3909639E-01   1.4862195E-03  -7.2862067E+00   6.5657407E-01
   9.4180435E-01  -1.3322286E-02  -7.3158140E+00   6.6061068E-01
   9.4555902E-01   1.2306920E-02  -7.2734895E+00   6.5916407E-01
   9.4870800E-01   1.2593671E-02  -7.3079553E+00   6.5935463E-01
   9.5178980E-01   2.6927603E-02  -7.2963939E+00   6.5835190E-01
   9.5493448E-01  -4.1710548E-03  -7.2502570E+00   6.6328669E-01
   9.5919800E-01   1.8429631E-02  -7.2954807E+00   6.5840364E-01
   9.6231437E-01   1.0295482E-03  -7.2645655E+00   6.5738815E-01
   9.6546441E-01   2.2718174E-02  -7.2878594E+00   6.5816653E-01
   9.6859300E-01   2.0687850E-03  -7.2897754E+00   6.6702527E-01
   9.7169691E-01   1.6542380E-03  -7.2465539E+00   6.6044825E-01
   9.7535270E-01   1.9463034E-03  -7.1927199E+00   6.5777403E-01
   9.7883320E-01   1.2263598E-02  -7.2513580E+00   6.6631413E-01
   9.8229814E-01   7.3511382E-03  -7.2782059E+00   6.6778219E-01
   9.8513496E-01   1.3931193E-02  -7.2891526E+00   6.7026466E-01
   9.8872650E-01   6.2769763E-03  -7.2108216E+00   6.7437363E-01
   9.9250734E-01  -6.3804844E-03  -7.2001901E+00   6.7770118E-01
   9.9569738E-01   9.8767811E-03  -7.2099996E+00   6.7459816E-01
   9.9885076E-01   1.2187539E-02  -7.1911764E+00   6.7926961E-01
   1.0018294E+00   1.6207743E-02  -7.1730795E+00   6.8440998E-01
   1.0056636E+00   2.8430892E-02  -7.1306744E+00   6.8588662E-01
   1.0086244E+00   9.3363728E-03  -7.1468406E+00   6.8657273E-01
   1.0125531E+00   8.9729968E-03  -7.0884614E+00   6.9122607E-01
   1.0154736E+00   1.5173584E-02  -7.0836329E+00   6.9481635E-01
   1.0185168E+00   1.9977652E-02  -7.0718298E+00   6.9613886E-01
   1.0227202E+00   1.0413595E-02  -7.0103040E+00   6.9698501E-01
