  flscon:  version 23.2.0.01  win64 2022 
 FLOW-3D   20:32:44  03/20/2024 txso     
   hydr3d   version  23.2.0.20 win64     12/04/2023 HYDRO    
 Simulation Template: Free Surface - TruVOF (Default)                            

Mesh Block   1
 printing pfxob, pfyob, pfzob       
       1     1002      0.000E+00      3.341E+00
   time              pfxob_1         pfyob_1         pfzob_1
   9.4860625E-01   2.5085725E-02  -7.5955272E+00   6.7113179E-01
   9.5170540E-01   8.7782601E-03  -7.6270423E+00   6.7706919E-01
   9.5514083E-01   1.3571870E-02  -7.6260448E+00   6.8020266E-01
   9.5872045E-01   1.7934585E-02  -7.6049972E+00   6.8062502E-01
   9.6163332E-01   1.0535774E-02  -7.5717916E+00   6.8520039E-01
   9.6526921E-01  -5.0062463E-03  -7.5486341E+00   6.8838793E-01
   9.6871346E-01   3.5501901E-02  -7.5185218E+00   6.8768394E-01
   9.7195446E-01   3.8100678E-02  -7.5175829E+00   6.9476342E-01
   9.7540140E-01   7.4585886E-03  -7.5267611E+00   6.9551700E-01
   9.7921902E-01   3.3564374E-02  -7.4950995E+00   7.0132107E-01
   9.8214269E-01   2.6851350E-02  -7.4658852E+00   7.0081073E-01
   9.8507166E-01   2.8986083E-02  -7.4714832E+00   7.0288181E-01
   9.8901916E-01   3.9103445E-02  -7.4357262E+00   7.0353937E-01
   9.9210501E-01   1.7185332E-02  -7.3782310E+00   7.0857030E-01
   9.9576813E-01   3.2549333E-02  -7.3859429E+00   7.1165198E-01
   9.9862796E-01   2.0438846E-02  -7.3494301E+00   7.0898658E-01
   1.0018432E+00   1.7344968E-02  -7.3063774E+00   7.1364409E-01
   1.0050504E+00   6.4925891E-03  -7.3109059E+00   7.1314090E-01
   1.0092566E+00   2.1454841E-02  -7.2321458E+00   7.1350420E-01
   1.0123612E+00   2.2040237E-02  -7.2105699E+00   7.1652281E-01
   1.0154248E+00   1.3530828E-02  -7.1994596E+00   7.1745390E-01
   1.0184492E+00   3.1054730E-02  -7.1839328E+00   7.1955717E-01
   1.0221851E+00   2.0390538E-02  -7.1357994E+00   7.2145998E-01
   1.0251275E+00   1.0326564E-02  -7.1145744E+00   7.2111535E-01
   1.0289968E+00   8.5367542E-03  -7.0801096E+00   7.2377425E-01
   1.0318604E+00   1.4374872E-02  -7.0326676E+00   7.2483653E-01
   1.0354903E+00   1.9982718E-02  -6.9887776E+00   7.2270823E-01
   1.0390573E+00   8.3752181E-03  -6.9544091E+00   7.2599649E-01
   1.0418129E+00   6.9339029E-03  -6.9281387E+00   7.2764492E-01
   1.0454431E+00   1.1148208E-02  -6.9162030E+00   7.2563940E-01
   1.0490254E+00   7.9903249E-03  -6.8833141E+00   7.2387046E-01
   1.0525337E+00   1.3667967E-02  -6.8438640E+00   7.2247952E-01
   1.0560262E+00   4.9344441E-03  -6.7706757E+00   7.2064435E-01
   1.0593359E+00  -9.5239026E-04  -6.6985164E+00   7.2811866E-01
   1.0618976E+00   1.1569709E-02  -6.6875172E+00   7.2978550E-01
   1.0654148E+00   1.0612026E-02  -6.7355323E+00   7.2943026E-01
   1.0685036E+00  -1.8361884E-03  -6.6630087E+00   7.2895998E-01
   1.0718329E+00  -4.3096786E-04  -6.5883226E+00   7.2899032E-01
   1.0752476E+00   6.4054769E-03  -6.5386539E+00   7.3214805E-01
   1.0785390E+00   5.3074574E-03  -6.5401864E+00   7.2896153E-01
   1.0828290E+00   5.9096413E-03  -6.4714308E+00   7.3085380E-01
   1.0858897E+00   3.6442112E-03  -6.4104977E+00   7.3226786E-01
   1.0892429E+00   7.3425462E-03  -6.4123240E+00   7.3044300E-01
