  flscon:  version 23.2.0.01  win64 2022 
 FLOW-3D   18:04:42  03/14/2024 ttgt     
   hydr3d   version  23.2.0.20 win64     12/04/2023 HYDRO    
 Simulation Template: Free Surface - TruVOF (Default)                            

Mesh Block   1
 printing pfxob, pfyob, pfzob       
       4     1001      1.033E-02      3.341E+00
   time              pfxob_1         pfyob_1         pfzob_1
   7.5146031E-01  -5.8367815E-02  -9.4571381E+00   1.8562011E+00
   7.5473070E-01   9.9400118E-02  -9.5518227E+00   1.8605551E+00
   7.5798333E-01  -7.3595867E-02  -9.5715380E+00   1.8557593E+00
   7.6133257E-01  -5.4149773E-02  -9.7322779E+00   1.8535763E+00
   7.6530242E-01  -2.6665740E-02  -9.7240114E+00   1.8535311E+00
   7.6860505E-01   1.7490420E-03  -9.7682724E+00   1.8527240E+00
   7.7182853E-01  -7.2525911E-02  -9.8711214E+00   1.8503804E+00
   7.7492559E-01  -1.2199736E-02  -9.9159298E+00   1.8491045E+00
   7.7817523E-01  -1.1902905E-02  -1.0054979E+01   1.8482621E+00
   7.8133357E-01  -2.5102755E-02  -1.0063713E+01   1.8474437E+00
   7.8518945E-01  -1.0605766E-02  -1.0078891E+01   1.8441315E+00
   7.8839529E-01  -6.4201623E-02  -1.0214839E+01   1.8431505E+00
   7.9148501E-01  -4.6769236E-03  -1.0204030E+01   1.8433543E+00
   7.9530424E-01  -7.2948835E-03  -1.0175925E+01   1.8418651E+00
   7.9843372E-01  -1.4240431E-02  -1.0325922E+01   1.8393157E+00
   8.0144805E-01  -4.2128701E-02  -1.0252593E+01   1.8376523E+00
   8.0519491E-01  -1.3464279E-02  -1.0247419E+01   1.8372282E+00
   8.0820072E-01  -2.2484111E-02  -1.0313058E+01   1.8376703E+00
   8.1187922E-01  -3.4193058E-02  -1.0350562E+01   1.8361934E+00
   8.1541109E-01  -2.0911366E-02  -1.0302827E+01   1.8346660E+00
   8.1824672E-01  -1.5381999E-02  -1.0392593E+01   1.8333167E+00
   8.2175803E-01  -7.8715412E-03  -1.0349537E+01   1.8301287E+00
   8.2542270E-01  -1.5650477E-02  -1.0289235E+01   1.8305247E+00
   8.2844466E-01  -1.3745253E-02  -1.0357645E+01   1.8316751E+00
   8.3145732E-01  -3.2500107E-02  -1.0366402E+01   1.8305624E+00
   8.3508438E-01  -7.1154614E-03  -1.0271493E+01   1.8271472E+00
   8.3876097E-01  -3.3640392E-02  -1.0262681E+01   1.8254960E+00
   8.4176397E-01  -1.8641867E-02  -1.0266228E+01   1.8246490E+00
