  flscon:  version 23.2.0.01  win64 2022 
 FLOW-3D   17:38:25  03/07/2024 ntjb     
   hydr3d   version  23.2.0.20 win64     12/04/2023 HYDRO    
 Simulation Template: Free Surface - TruVOF (Default)                            

Mesh Block   1
 printing pfxob, pfyob, pfzob       
       1     1001      0.000E+00      3.341E+00
   time              pfxob_1         pfyob_1         pfzob_1
   5.1088905E-01   3.0333757E-02   4.7145450E-01   1.9340873E+00
   5.1406258E-01   3.5963099E-02   7.7055198E-01   1.9343302E+00
   5.1792771E-01  -1.0139006E-01   9.1882758E-02   1.9336772E+00
   5.2102959E-01  -6.7457436E-03   1.9872759E-01   1.9324963E+00
   5.2411211E-01  -4.5687757E-02   4.5425061E-02   1.9321308E+00
   5.2796471E-01  -3.6729421E-02  -1.8469292E-01   1.9310459E+00
   5.3102505E-01  -2.6421767E-02  -3.2728711E-01   1.9307506E+00
   5.3483826E-01  -2.9413493E-02  -4.1785672E-01   1.9304545E+00
   5.3788334E-01  -4.1406397E-02  -7.3175699E-01   1.9297380E+00
   5.4093742E-01  -4.8271354E-02  -8.0778253E-01   1.9287421E+00
   5.4477203E-01  -9.1269743E-03  -1.0058138E+00   1.9278506E+00
   5.4786193E-01   5.9655607E-03  -1.0856305E+00   1.9272126E+00
   5.5085564E-01  -3.8000017E-02  -1.3522837E+00   1.9260589E+00
   5.5457914E-01  -2.0721979E-02  -1.4967037E+00   1.9248054E+00
   5.5753613E-01  -2.3409579E-02  -1.6485096E+00   1.9244817E+00
   5.6139648E-01  -3.6438398E-02  -1.8330529E+00   1.9234216E+00
   5.6442362E-01  -1.2939788E-02  -2.0846314E+00   1.9213240E+00
   5.6814063E-01  -7.8653984E-02  -2.2427387E+00   1.9199476E+00
   5.7110405E-01  -4.3964311E-02  -2.2924676E+00   1.9197006E+00
   5.7420808E-01  -2.3469858E-02  -2.4338331E+00   1.9192404E+00
   5.7806063E-01  -2.3747787E-02  -2.7059245E+00   1.9172696E+00
   5.8108050E-01   1.7815722E-02  -2.6887879E+00   1.9155136E+00
