  flscon:  version 23.2.0.01  win64 2022 
 FLOW-3D   15:28:01  03/14/2024 upci     
   hydr3d   version  23.2.0.20 win64     12/04/2023 HYDRO    
 Simulation Template: Free Surface - TruVOF (Default)                            

Mesh Block   1
 printing pfxob, pfyob, pfzob       
       1     1002      0.000E+00      3.341E+00
   time              pfxob_1         pfyob_1         pfzob_1
   4.2802268E-01   5.7701685E-02   6.8749008E+00   5.4376930E-01
   4.3093193E-01  -1.6570671E-02   6.1369591E+00   5.4878414E-01
   4.3385845E-01   7.7132121E-02   6.1484957E+00   4.2118582E-01
   4.3734238E-01  -1.3053559E-02   6.4195228E+00   4.7664583E-01
   4.4121709E-01   2.9672416E-02   5.8238463E+00   4.7353512E-01
   4.4403842E-01   3.3707030E-02   5.8164434E+00   4.7217551E-01
   4.4799152E-01   5.2628186E-02   5.4482536E+00   4.8243541E-01
   4.5107421E-01   2.1963865E-02   5.4592533E+00   4.8204598E-01
   4.5440477E-01   8.2937023E-03   5.3773675E+00   4.7997099E-01
   4.5764941E-01   2.0405842E-02   5.2223821E+00   4.7405407E-01
   4.6115044E-01   8.0436822E-03   4.9440093E+00   4.6481025E-01
   4.6460944E-01   1.9739168E-02   4.8202109E+00   4.5818251E-01
   4.6793613E-01   1.4895868E-02   4.7922168E+00   4.5298842E-01
   4.7116417E-01   2.6548140E-02   4.6745882E+00   4.5063367E-01
   4.7429395E-01   1.1886695E-02   4.5093093E+00   4.4910562E-01
   4.7731948E-01   2.7181098E-02   4.3067722E+00   4.4743699E-01
   4.8124546E-01  -8.1392899E-03   4.1790919E+00   4.4491434E-01
   4.8413914E-01   2.5801260E-03   4.0851855E+00   4.4136298E-01
   4.8793676E-01   2.2905569E-03   3.9544845E+00   4.3678781E-01
   4.9075431E-01  -8.3502656E-04   3.7351820E+00   4.3152419E-01
   4.9447197E-01  -8.7149756E-04   3.5179739E+00   4.2536646E-01
   4.9817553E-01   3.6710256E-03   3.4615788E+00   4.1907305E-01
   5.0093126E-01  -9.1341706E-03   3.3823609E+00   4.1560134E-01
   5.0457019E-01  -8.2734199E-03   3.1579061E+00   4.1086182E-01
   5.0813156E-01   1.0806592E-02   2.9510362E+00   4.0601951E-01
   5.1115817E-01  -3.9042744E-03   2.7808745E+00   4.0194711E-01
   5.1425338E-01   3.9570783E-03   2.6858711E+00   3.9884537E-01
   5.1739734E-01  -1.6473470E-02   2.5974047E+00   3.9814210E-01
   5.2159470E-01  -1.0821632E-02   2.4087584E+00   3.9529955E-01
   5.2475375E-01  -4.5225877E-02   2.2356412E+00   3.9097208E-01
   5.2792490E-01  -1.0909782E-02   2.0420575E+00   3.9042136E-01
   5.3111529E-01  -3.0532492E-02   1.9271569E+00   3.8714206E-01
   5.3435659E-01  -5.5266847E-04   1.7978228E+00   3.8432434E-01
   5.3769976E-01  -3.3820063E-02   1.6039028E+00   3.8244113E-01
   5.4118830E-01  -7.5916382E-03   1.4496965E+00   3.7988293E-01
   5.4477555E-01  -3.1396907E-02   1.3151894E+00   3.7549576E-01
   5.4794222E-01  -4.7872707E-02   9.1005659E-01   3.6564732E-01
   5.5123085E-01  -6.1077885E-02   9.4848514E-01   3.6634916E-01
   5.5415457E-01   3.2214317E-02   9.6782506E-01   3.7076086E-01
   5.5785471E-01  -2.6608562E-02   8.2554573E-01   3.6970836E-01
   5.6164837E-01  -4.3383860E-03   4.0620425E-01   3.6979380E-01
   5.6443369E-01  -2.8116852E-02   2.7011985E-01   3.7033704E-01
   5.6779552E-01  -3.7074916E-02   2.1382903E-01   3.7131548E-01
   5.7145053E-01  -1.4159193E-02   7.6582685E-02   3.6892000E-01
   5.7414520E-01  -1.6156444E-02  -4.4858889E-03   3.6860153E-01
   5.7764047E-01   1.9492913E-02  -3.3205721E-01   3.6948395E-01
   5.8106911E-01  -2.6182687E-02  -4.3342710E-01   3.6641175E-01
   5.8455908E-01   9.2958827E-03  -5.4124343E-01   3.6700791E-01
   5.8838373E-01  -3.2727886E-02  -6.2808114E-01   3.6744082E-01
   5.9156919E-01  -3.5910878E-02  -8.2960981E-01   3.6671737E-01
   5.9441441E-01  -3.4360733E-02  -9.4723147E-01   3.6650422E-01
   5.9824169E-01  -6.0308725E-03  -1.1139185E+00   3.6775538E-01
   6.0150212E-01  -1.1187490E-02  -1.2639611E+00   3.7185523E-01
   6.0423154E-01  -2.1318650E-02  -1.4112650E+00   3.7431353E-01
   6.0840511E-01  -9.3274321E-03  -1.5164003E+00   3.7712935E-01
   6.1118340E-01  -1.4394774E-03  -1.7184298E+00   3.7734008E-01
   6.1503047E-01  -3.1507500E-02  -1.8471384E+00   3.7610811E-01
   6.1791575E-01  -2.3034884E-02  -1.9306059E+00   3.7788838E-01
   6.2162703E-01  -3.0708646E-02  -2.0165169E+00   3.7837258E-01
   6.2451231E-01  -1.4327779E-02  -2.2019088E+00   3.7989417E-01
   6.2835938E-01  -3.8936991E-02  -2.2767818E+00   3.8138911E-01
   6.3123900E-01  -1.7454837E-02  -2.5023177E+00   3.8030934E-01
   6.3508606E-01  -7.3200643E-02  -2.6076162E+00   3.8688514E-01
   6.3797140E-01  -4.7652286E-02  -2.7398107E+00   3.9003295E-01
   6.4181846E-01  -1.3599199E-02  -2.7995968E+00   3.9157018E-01
   6.4470375E-01  -9.5023615E-03  -2.9291217E+00   3.9448896E-01
   6.4855081E-01  -5.4653063E-03  -3.0924377E+00   3.9764068E-01
   6.5143615E-01  -1.6067924E-02  -3.1957769E+00   3.9462087E-01
   6.5524495E-01  -3.0365035E-02  -3.2942975E+00   4.0436471E-01
   6.5813029E-01  -3.7966598E-02  -3.4287126E+00   4.0138212E-01
   6.6101557E-01   1.2960015E-02  -3.5064273E+00   4.0464762E-01
   6.6486263E-01  -4.3367919E-02  -3.6387796E+00   4.0591985E-01
   6.6774797E-01  -8.7988833E-03  -3.7477565E+00   4.1108304E-01
   6.7159504E-01  -2.1701826E-02  -3.8495011E+00   4.1413853E-01
   6.7448032E-01  -3.4202065E-02  -3.9365020E+00   4.1561970E-01
   6.7828619E-01  -2.5082316E-02  -4.0708141E+00   4.2125410E-01
   6.8113256E-01  -3.5239764E-02  -4.2140117E+00   4.2564380E-01
   6.8492389E-01  -3.8918447E-02  -4.3376746E+00   4.2621174E-01
   6.8777555E-01   3.0105242E-03  -4.3720298E+00   4.3069810E-01
   6.9158405E-01  -1.4811746E-02  -4.5017705E+00   4.3121624E-01
   6.9441885E-01  -2.0365093E-02  -4.5150642E+00   4.3886662E-01
   6.9817030E-01  -2.7874980E-02  -4.7614493E+00   4.3276417E-01
   7.0196766E-01  -1.7478239E-02  -4.7586098E+00   4.5096630E-01
   7.0480734E-01  -1.2808914E-02  -4.8168564E+00   4.3676797E-01
   7.0860255E-01  -2.0117838E-02  -4.9043703E+00   4.4211230E-01
   7.1131957E-01  -1.0580847E-02  -4.9934525E+00   4.4769478E-01
   7.1484447E-01  -1.0985561E-02  -5.1105332E+00   4.4613412E-01
   7.1832263E-01  -1.1954581E-02  -5.1597376E+00   4.5069203E-01
   7.2188556E-01  -2.6344607E-02  -5.2740674E+00   4.5746237E-01
   7.2449923E-01   1.4091655E-02  -5.2978921E+00   4.6106082E-01
   7.2804439E-01  -9.3335542E-04  -5.3858876E+00   4.6774694E-01
   7.3150295E-01  -2.0640410E-02  -5.5156507E+00   4.7159106E-01
   7.3508209E-01  -5.2006394E-02  -5.5437336E+00   4.8160240E-01
   7.3791379E-01   4.4443872E-02  -5.6136403E+00   4.8155895E-01
   7.4153948E-01  -1.1432548E-02  -5.6633339E+00   4.8939702E-01
   7.4478585E-01  -2.6977062E-03  -5.7487144E+00   4.9494052E-01
   7.4853355E-01   3.1064777E-03  -5.8509259E+00   5.0298345E-01
   7.5156504E-01   8.1605846E-03  -5.8901448E+00   5.1014876E-01
   7.5504971E-01   4.9334886E-03  -5.9390135E+00   5.1707208E-01
   7.5803977E-01   5.5092858E-04  -5.9762149E+00   5.1761949E-01
   7.6177979E-01   8.3600944E-03  -6.0966511E+00   5.3209937E-01
   7.6495159E-01  -6.1259656E-03  -6.1343727E+00   5.3299290E-01
   7.6867491E-01  -1.1945351E-02  -6.2043004E+00   5.3955680E-01
   7.7139705E-01   2.3844402E-02  -6.2401271E+00   5.4477626E-01
   7.7522129E-01   1.0702526E-02  -6.2690992E+00   5.5604124E-01
   7.7810663E-01  -2.5286011E-02  -6.3488631E+00   5.5297625E-01
   7.8192872E-01   4.8878365E-03  -6.3984461E+00   5.5855370E-01
   7.8481400E-01   1.8344484E-02  -6.4827080E+00   5.6339610E-01
   7.8862333E-01  -5.2724481E-02  -6.4996285E+00   5.6482798E-01
   7.9150862E-01  -1.4493887E-02  -6.5703030E+00   5.8499897E-01
   7.9500777E-01   2.0477135E-02  -6.6244750E+00   5.7817996E-01
   7.9836088E-01   3.0956153E-02  -6.6623421E+00   5.8416569E-01
   8.0163503E-01   1.5215655E-02  -6.7664118E+00   5.9011668E-01
   8.0534542E-01   1.8169669E-02  -6.7803249E+00   5.9201038E-01
   8.0799598E-01  -4.9645905E-03  -6.8258820E+00   5.9712923E-01
   8.1169665E-01   2.0618536E-02  -6.8603444E+00   5.9928590E-01
   8.1518745E-01   2.3198232E-02  -6.9050508E+00   6.0604829E-01
   8.1864619E-01   1.6823418E-02  -6.9467669E+00   6.0941511E-01
   8.2148319E-01   2.5712263E-02  -6.9856281E+00   6.1077154E-01
   8.2515162E-01  -8.2752714E-03  -7.0627055E+00   6.1623168E-01
   8.2842207E-01   3.9474312E-02  -7.0894094E+00   6.1724567E-01
   8.3147728E-01   3.7790642E-03  -7.0959105E+00   6.2103045E-01
   8.3513039E-01   1.8911329E-03  -7.1389995E+00   6.2139624E-01
   8.3839250E-01   5.1602935E-03  -7.1666684E+00   6.2639230E-01
   8.4219772E-01   5.9427670E-03  -7.2395840E+00   6.2658417E-01
   8.4508300E-01   1.4275016E-02  -7.2729087E+00   6.2653089E-01
   8.4893012E-01   1.2556417E-02  -7.2866020E+00   6.3231969E-01
   8.5181540E-01   4.3565400E-02  -7.3112974E+00   6.3329983E-01
   8.5558617E-01   1.4946819E-02  -7.3613844E+00   6.3151681E-01
   8.5834777E-01   1.4556885E-02  -7.3432531E+00   6.3300711E-01
   8.6182398E-01   1.2133048E-02  -7.3754282E+00   6.3227373E-01
   8.6562347E-01   2.1717485E-02  -7.4112716E+00   6.3556427E-01
   8.6850876E-01   2.0587998E-02  -7.4490228E+00   6.3602906E-01
   8.7235582E-01   1.2301747E-02  -7.4667182E+00   6.4248240E-01
   8.7524116E-01   3.3099391E-03  -7.4905815E+00   6.3965917E-01
   8.7812644E-01   4.5510661E-02  -7.4711070E+00   6.4628512E-01
   8.8197351E-01   1.3241400E-02  -7.5255513E+00   6.4511997E-01
   8.8485885E-01  -1.1756008E-02  -7.4981380E+00   6.4276582E-01
   8.8870591E-01  -3.4178729E-04  -7.5380487E+00   6.4792037E-01
   8.9159119E-01   2.0636607E-02  -7.5626354E+00   6.5168124E-01
   8.9527684E-01   2.6233580E-02  -7.5853992E+00   6.5440542E-01
   8.9850801E-01  -9.1016768E-03  -7.5718646E+00   6.5884352E-01
   9.0216744E-01   3.4268405E-02  -7.6223545E+00   6.5544027E-01
   9.0505272E-01   2.3337588E-02  -7.6244817E+00   6.5623313E-01
   9.0889984E-01   1.6588977E-02  -7.6160316E+00   6.5984851E-01
   9.1178513E-01  -4.6077417E-03  -7.6116028E+00   6.6210932E-01
   9.1563219E-01   7.8396453E-03  -7.5740714E+00   6.5662169E-01
   9.1851753E-01   2.4449015E-02  -7.5802283E+00   6.5759832E-01
   9.2236459E-01   1.2252062E-02  -7.5674338E+00   6.6003335E-01
   9.2524987E-01   2.3553865E-02  -7.6265836E+00   6.5541041E-01
   9.2909694E-01   1.0090829E-02  -7.5936828E+00   6.6374612E-01
   9.3198228E-01   6.8071578E-03  -7.6084366E+00   6.6376960E-01
   9.3582934E-01   1.1121517E-02  -7.6246438E+00   6.6304946E-01
   9.3871462E-01   4.4162046E-02  -7.6295247E+00   6.7261702E-01
   9.4159997E-01   3.0140214E-02  -7.6280017E+00   6.6913027E-01
   9.4536269E-01   2.0815903E-02  -7.6035252E+00   6.6963297E-01
   9.4864213E-01   3.0007811E-02  -7.6197839E+00   6.6788024E-01
   9.5239645E-01   1.6565282E-02  -7.5976677E+00   6.7555654E-01
   9.5585990E-01   2.6778050E-02  -7.6029205E+00   6.7965740E-01
   9.5874518E-01   6.1341310E-03  -7.5989485E+00   6.8321753E-01
   9.6246809E-01   1.7617742E-02  -7.5256543E+00   6.8650985E-01
   9.6535343E-01   1.3526207E-02  -7.4903011E+00   6.8697339E-01
   9.6899104E-01   1.0148922E-02  -7.5171671E+00   6.8731129E-01
   9.7237575E-01   2.1162264E-02  -7.5161285E+00   6.9353068E-01
   9.7556335E-01   1.3309594E-02  -7.4974213E+00   6.9543970E-01
   9.7880059E-01  -1.0607376E-02  -7.5329857E+00   6.9228095E-01
   9.8190302E-01   2.4895178E-02  -7.4300466E+00   6.9547999E-01
   9.8581898E-01   2.9525543E-02  -7.4084630E+00   7.0139128E-01
   9.8905843E-01   9.9866642E-03  -7.4057908E+00   7.0414603E-01
   9.9252051E-01   2.1402974E-02  -7.3586020E+00   7.0641154E-01
   9.9514067E-01   4.0162403E-02  -7.3519783E+00   7.0797515E-01
   9.9858427E-01   1.4237852E-02  -7.2997360E+00   7.1197790E-01
   1.0020182E+00   2.3504382E-02  -7.2868333E+00   7.0945036E-01
   1.0054073E+00   1.4999921E-02  -7.2276592E+00   7.1190262E-01
   1.0087538E+00  -8.0717616E-03  -7.2141433E+00   7.1563125E-01
   1.0120593E+00   1.6845949E-02  -7.2064371E+00   7.1673924E-01
   1.0153240E+00   4.4924156E-03  -7.1551023E+00   7.1881491E-01
   1.0185359E+00   1.0937281E-02  -7.1352229E+00   7.1846539E-01
   1.0224760E+00   1.8702686E-02  -7.0997710E+00   7.2168171E-01
   1.0255716E+00   1.1111485E-02  -7.0576963E+00   7.2272927E-01
   1.0286193E+00   1.8097043E-02  -7.0295362E+00   7.2259456E-01
   1.0323651E+00   1.2588756E-02  -6.9869790E+00   7.2296667E-01
   1.0353130E+00   1.5872827E-02  -6.9709711E+00   7.2436798E-01
   1.0389400E+00   1.7350739E-02  -6.9428244E+00   7.2426409E-01
   1.0425056E+00   1.6471962E-02  -6.9104376E+00   7.2605693E-01
   1.0453161E+00   9.8032346E-03  -6.8588033E+00   7.2679043E-01
   1.0487789E+00   1.1989038E-02  -6.8110166E+00   7.2436488E-01
   1.0521882E+00   1.2795925E-02  -6.7750096E+00   7.2781074E-01
   1.0555464E+00   1.6420435E-02  -6.7432790E+00   7.2743839E-01
   1.0588559E+00   1.5608552E-02  -6.7144241E+00   7.2719955E-01
   1.0621186E+00   1.9416472E-02  -6.6815562E+00   7.2798330E-01
   1.0653366E+00   1.9041087E-02  -6.6181231E+00   7.2950798E-01
   1.0691415E+00   5.2684774E-03  -6.5860577E+00   7.2835660E-01
   1.0722669E+00  -7.8706694E-04  -6.5724273E+00   7.2719914E-01
   1.0756942E+00   1.9293467E-02  -6.4831805E+00   7.2823817E-01
   1.0791061E+00   8.9768162E-03  -6.5044999E+00   7.2780472E-01
   1.0819914E+00   1.2280894E-02  -6.4504142E+00   7.3062873E-01
   1.0858384E+00  -1.1478697E-03  -6.3975477E+00   7.3156500E-01
   1.0887238E+00  -1.0791945E-03  -6.3592472E+00   7.3094881E-01
   1.0925708E+00   5.7382886E-03  -6.3305173E+00   7.3070741E-01
   1.0954561E+00   4.8566991E-03  -6.2843270E+00   7.3126000E-01
   1.0993032E+00   1.4854391E-02  -6.2219410E+00   7.3057413E-01
