  flscon:  version 23.2.0.01  win64 2022 
 FLOW-3D   11:55:37  02/12/2024 urib     
   hydr3d   version  23.2.0.20 win64     12/04/2023 HYDRO    
 Simulation Template: Free Surface - TruVOF (Default)                            

Mesh Block   1
 printing pfxob, pfyob, pfzob       
       1      997      0.000E+00      3.376E+00
   time              pfxob_1         pfyob_1         pfzob_1
   8.7149233E-01   8.3367107E-03  -9.3680048E+00   2.1797502E+00
   8.7438554E-01   9.7206784E-03  -9.3192129E+00   2.1914313E+00
   8.7742954E-01  -1.2686627E-02  -9.3458271E+00   2.1829135E+00
   8.8187104E-01  -1.6043503E-02  -9.3073826E+00   2.1843362E+00
   8.8485122E-01  -3.7672326E-02  -9.3393173E+00   2.1707919E+00
   8.8780004E-01   2.4914358E-02  -9.2495298E+00   2.1989934E+00
   8.9071864E-01  -2.3597540E-02  -9.3430338E+00   2.1884592E+00
   8.9497882E-01   1.4012047E-02  -9.3435535E+00   2.1758015E+00
   8.9860088E-01  -3.9228436E-02  -9.3268366E+00   2.1837602E+00
   9.0095609E-01   2.0687960E-02  -9.3482771E+00   2.1756516E+00
   9.0434140E-01   2.5466541E-02  -9.2463322E+00   2.1877687E+00
   9.0764886E-01  -5.5586841E-02  -9.3013563E+00   2.1721761E+00
   9.1202682E-01   2.2925360E-02  -9.2661428E+00   2.1828330E+00
   9.1438270E-01   1.8103365E-02  -9.2925158E+00   2.1784091E+00
   9.1837686E-01   3.1239061E-02  -9.3306942E+00   2.1841607E+00
   9.2131478E-01   9.0716239E-03  -9.2712631E+00   2.1846595E+00
   9.2565429E-01   3.0110192E-03  -9.2673807E+00   2.1878014E+00
   9.2849976E-01  -9.0580601E-03  -9.2636375E+00   2.1898582E+00
   9.3131804E-01   1.8581936E-02  -9.1973333E+00   2.1846764E+00
   9.3532747E-01   3.8235806E-02  -9.2253857E+00   2.1806417E+00
   9.3849963E-01   3.2385617E-02  -9.2453241E+00   2.1858299E+00
   9.4172531E-01  -7.9497369E-03  -9.1571350E+00   2.1839192E+00
   9.4545943E-01   1.4057778E-02  -9.2043533E+00   2.1915891E+00
   9.4827038E-01  -1.7539185E-02  -9.2545643E+00   2.1894584E+00
   9.5136946E-01   7.1820691E-03  -9.1276245E+00   2.1947234E+00
   9.5478618E-01   6.1847264E-04  -9.1250515E+00   2.1886508E+00
   9.5853430E-01   2.1710677E-02  -9.0652523E+00   2.1928964E+00
   9.6236145E-01   8.2325088E-03  -9.0296431E+00   2.1921372E+00
   9.6610916E-01   7.0451046E-03  -9.0586767E+00   2.1871550E+00
   9.6936250E-01   3.8871340E-02  -9.0241632E+00   2.1868050E+00
   9.7218287E-01   3.5700344E-02  -8.9398823E+00   2.1790385E+00
   9.7503704E-01   2.5447598E-02  -8.9178343E+00   2.1781156E+00
   9.7927815E-01   1.2814583E-02  -8.9075575E+00   2.1785603E+00
   9.8200125E-01   1.7429264E-02  -8.8959799E+00   2.1809225E+00
   9.8609126E-01   4.1449297E-02  -8.8839064E+00   2.1833632E+00
   9.8895133E-01   2.3193324E-02  -8.7686138E+00   2.1829343E+00
