  flscon:  version 23.2.0.01  win64 2022 
 FLOW-3D   11:24:45  02/13/2024 txso     
   hydr3d   version  23.2.0.20 win64     12/04/2023 HYDRO    
 Simulation Template: Free Surface - TruVOF (Default)                            

Mesh Block   1
 printing pfxob, pfyob, pfzob       
       1     1002      0.000E+00      3.376E+00
   time              pfxob_1         pfyob_1         pfzob_1
   7.1599746E-01   1.4484768E-02  -5.5550470E+00  -1.0064529E+00
   7.1909857E-01   4.9106400E-02  -5.5495620E+00  -1.0095568E+00
   7.2214162E-01   3.5432208E-02  -5.5548620E+00  -9.8596376E-01
   7.2613639E-01   1.6171746E-02  -5.7684212E+00  -9.6834213E-01
   7.2902769E-01   3.4922820E-02  -5.8295770E+00  -9.6305889E-01
   7.3282272E-01   3.5289347E-02  -5.8240323E+00  -9.3856829E-01
   7.3577905E-01   1.3214779E-02  -5.8692474E+00  -9.2551064E-01
   7.3926795E-01   7.2848955E-03  -5.9483304E+00  -9.1523278E-01
   7.4280035E-01   8.9508360E-03  -6.0731101E+00  -8.9092606E-01
   7.4646109E-01   3.5759360E-02  -6.1116247E+00  -8.7576932E-01
   7.4944001E-01   2.1349495E-02  -6.1293111E+00  -8.5144317E-01
   7.5305825E-01   2.8132260E-02  -6.1973515E+00  -8.5117149E-01
   7.5598091E-01   2.0278042E-02  -6.2759709E+00  -8.2363927E-01
   7.5953358E-01  -3.2535460E-02  -6.3501477E+00  -8.0554837E-01
   7.6291025E-01   1.0320937E-02  -6.3697815E+00  -7.8544152E-01
   7.6645112E-01   2.6863076E-02  -6.4256945E+00  -7.7311653E-01
   7.6943797E-01  -5.7011578E-02  -6.4531331E+00  -7.4859113E-01
   7.7280319E-01   1.1319716E-02  -6.5329313E+00  -7.5004494E-01
   7.7619016E-01  -2.5307503E-02  -6.5438685E+00  -7.2244090E-01
   7.7948028E-01   2.2124456E-02  -6.5927839E+00  -7.1516275E-01
   7.8336781E-01   8.3426675E-03  -6.6531286E+00  -7.0711190E-01
