  flscon:  version 23.2.0.01  win64 2022 
 FLOW-3D   13:15:46  02/12/2024 gpju     
   hydr3d   version  23.2.0.20 win64     12/04/2023 HYDRO    
 Simulation Template: Free Surface - TruVOF (Default)                            

Mesh Block   1
 printing pfxob, pfyob, pfzob       
       5      505      1.034E-02      1.698E+00
   time              pfxob_1         pfyob_1         pfzob_1
   7.6266605E-01   9.9329813E-04  -6.3549528E+00  -8.9169586E-01
   7.6612437E-01  -3.2854743E-02  -6.4323053E+00  -8.6314172E-01
   7.6965326E-01  -2.1718843E-02  -6.4972348E+00  -8.5288668E-01
   7.7338153E-01   7.3028160E-03  -6.5461540E+00  -8.2923394E-01
   7.7626222E-01  -1.8279823E-02  -6.5833688E+00  -8.0783188E-01
   7.7974492E-01  -1.2256505E-02  -6.6207967E+00  -8.1720674E-01
   7.8315705E-01  -2.0697460E-02  -6.6671062E+00  -8.0057979E-01
   7.8642642E-01  -3.4181286E-02  -6.6818523E+00  -7.8509909E-01
   7.9020065E-01  -3.3688396E-02  -6.7707562E+00  -7.6597512E-01
   7.9351091E-01  -2.0461321E-02  -6.7754564E+00  -7.5001997E-01
   7.9690272E-01   3.4759431E-03  -6.8237705E+00  -7.4032801E-01
   8.0018139E-01  -6.1680846E-02  -6.9322257E+00  -7.8246200E-01
   8.0388433E-01  -6.4851828E-02  -7.0076175E+00  -7.2960722E-01
   8.0703992E-01   2.7243085E-02  -6.8564334E+00  -6.9509107E-01
   8.1019706E-01  -1.8931421E-02  -6.9376001E+00  -7.0030218E-01
   8.1339449E-01  -5.3272964E-03  -7.0272293E+00  -6.9008571E-01
   8.1708664E-01  -3.4226324E-02  -7.0640569E+00  -6.6790938E-01
   8.1998771E-01  -8.9035938E-03  -7.0335932E+00  -6.5650409E-01
   8.2386899E-01  -1.5802428E-02  -7.0976233E+00  -6.4637381E-01
   8.2673639E-01  -9.0439217E-03  -7.1206188E+00  -6.3873810E-01
   8.3046722E-01  -8.2689095E-03  -7.1555901E+00  -6.2772840E-01
   8.3410317E-01   7.2613014E-03  -7.1617346E+00  -6.1416435E-01
   8.3694774E-01   2.3038564E-03  -7.2166219E+00  -6.1086452E-01
   8.4092754E-01   1.6357746E-02  -7.2179327E+00  -5.9171224E-01
   8.4393805E-01   2.6253149E-02  -7.2729664E+00  -5.9059519E-01
   8.4785008E-01   5.5527822E-03  -7.2719450E+00  -5.8300728E-01
   8.5078979E-01  -2.9155179E-03  -7.2260966E+00  -5.6840730E-01
