  flscon:  version 23.2.0.01  win64 2022 
 FLOW-3D   13:48:07  02/09/2024 bnvl     
   hydr3d   version  23.2.0.20 win64     12/04/2023 HYDRO    
 Simulation Template: Free Surface - TruVOF (Default)                            

Mesh Block   1
 printing pfxob, pfyob, pfzob       
       1     1001      0.000E+00      3.378E+00
   time              pfxob_1         pfyob_1         pfzob_1
   8.9410192E-01  -5.9130494E-02  -1.0401393E+01   3.0717745E+00
   8.9791095E-01  -1.6534518E-02  -1.0346984E+01   3.0616539E+00
   9.0177530E-01   1.1371647E-01  -1.0235958E+01   3.0650337E+00
   9.0556496E-01  -4.5729734E-02  -1.0213170E+01   3.0568442E+00
   9.0733141E-01  -1.0778582E-01  -1.0312235E+01   3.0587811E+00
   9.1191989E-01   1.2539680E-01  -1.0189632E+01   3.0583181E+00
   9.1474003E-01   9.3169399E-02  -1.0142148E+01   3.0545621E+00
   9.1763645E-01  -9.1597081E-05  -1.0099432E+01   3.0541179E+00
   9.2179990E-01  -3.6005944E-02  -1.0097542E+01   3.0484178E+00
   9.2485952E-01  -6.3611999E-02  -1.0048642E+01   3.0412612E+00
   9.2823279E-01   1.5530029E-01  -1.0029553E+01   3.0403996E+00
   9.3195182E-01  -4.1646220E-02  -9.8408575E+00   3.0312929E+00
   9.3500370E-01  -7.4782670E-02  -9.6761503E+00   3.0199695E+00
   9.3849951E-01   1.4882666E-02  -9.6877604E+00   3.0315161E+00
   9.4254631E-01   8.3959669E-02  -9.8073883E+00   3.0117502E+00
   9.4520468E-01  -6.3415684E-02  -9.8018064E+00   3.0113416E+00
   9.4828200E-01  -7.4978963E-02  -9.5797634E+00   3.0034511E+00
   9.5184445E-01   5.1683120E-02  -9.6238165E+00   3.0194263E+00
   9.5596838E-01   5.5569436E-02  -9.5547714E+00   3.0013063E+00
   9.5891899E-01   1.1067827E-01  -9.3086424E+00   3.0176487E+00
   9.6201050E-01   9.7881712E-02  -9.4487057E+00   3.0055656E+00
   9.6521378E-01   1.0916348E-01  -9.4041128E+00   3.0223289E+00
   9.6852994E-01   1.5061620E-01  -9.3491182E+00   3.0100162E+00
   9.7174734E-01   2.9931076E-02  -9.3175030E+00   3.0201914E+00
   9.7500819E-01   1.8651441E-05  -9.1293631E+00   3.0073643E+00
   9.7916847E-01   4.4826936E-02  -9.0771046E+00   3.0103567E+00
   9.8230028E-01   6.1044097E-02  -9.0699434E+00   2.9995389E+00
   9.8556250E-01  -2.3668991E-02  -8.9955835E+00   3.0019696E+00
   9.8870397E-01   2.3036247E-01  -8.7500439E+00   2.9612656E+00
   9.9295479E-01   4.3552492E-02  -8.8139296E+00   2.9962237E+00
   9.9550408E-01   5.7514433E-02  -8.8427191E+00   2.9685740E+00
   9.9902236E-01   4.6682019E-02  -8.7070980E+00   2.9807260E+00
   1.0029979E+00   4.4232525E-02  -8.6660385E+00   2.9737151E+00
   1.0059905E+00   3.8537537E-03  -8.5089283E+00   2.9871635E+00
   1.0092551E+00   4.2317435E-02  -8.5267115E+00   2.9923942E+00
   1.0125540E+00   4.2624220E-02  -8.4848843E+00   2.9889653E+00
   1.0158007E+00   3.0766251E-02  -8.4665089E+00   2.9976141E+00
   1.0189983E+00  -6.7175269E-02  -8.3926907E+00   2.9847000E+00
   1.0221742E+00  -4.0420372E-02  -8.3449783E+00   2.9827130E+00
   1.0270492E+00  -7.8882039E-02  -8.1907415E+00   3.0060227E+00
   1.0304090E+00  -2.8510116E-02  -8.0865383E+00   3.0059669E+00
   1.0338608E+00   2.4865186E-03  -8.0170193E+00   2.9992521E+00
   1.0356500E+00  -2.6054580E-02  -8.0126524E+00   2.9909396E+00
   1.0392308E+00  -9.8123504E-03  -7.9704566E+00   2.9967659E+00
   1.0428398E+00   3.6188919E-02  -7.9945779E+00   2.9871187E+00
   1.0465103E+00   6.3489810E-02  -7.9146528E+00   2.9981194E+00
   1.0501456E+00  -3.5182554E-02  -7.8720884E+00   3.0028129E+00
   1.0534270E+00  -2.0929748E-02  -7.7068243E+00   2.9981620E+00
   1.0565468E+00  -4.2070407E-02  -7.5607934E+00   2.9988077E+00
   1.0598547E+00   1.8972840E-02  -7.5619001E+00   2.9979792E+00
   1.0631033E+00   5.3260578E-03  -7.6295595E+00   2.9983833E+00
   1.0662453E+00   8.4077809E-03  -7.5939627E+00   2.9906375E+00
   1.0708095E+00   1.4671233E-02  -7.4559021E+00   3.0044432E+00
   1.0730081E+00  -8.0824666E-02  -7.5760674E+00   3.0064347E+00
   1.0767356E+00   5.0235976E-02  -7.1915741E+00   2.9944057E+00
   1.0810508E+00   7.8938410E-02  -7.1408534E+00   3.0031528E+00
   1.0842991E+00   7.5223535E-02  -7.1381698E+00   3.0045128E+00
   1.0877963E+00   3.8060058E-02  -7.1058698E+00   3.0022981E+00
   1.0912061E+00  -7.7994126E-03  -7.0268564E+00   3.0019052E+00
   1.0945847E+00   9.6142404E-03  -7.0020275E+00   3.0003753E+00
   1.0979986E+00  -7.7834167E-02  -6.9626002E+00   2.9757903E+00
   1.1013752E+00   1.2522390E-01  -6.9521341E+00   2.9880896E+00
