  flscon:  version 23.2.0.01  win64 2022 
 FLOW-3D   22:15:24  02/09/2024 jjxh     
   hydr3d   version  23.2.0.20 win64     12/04/2023 HYDRO    
 Simulation Template: Free Surface - TruVOF (Default)                            

Mesh Block   1
 printing pfxob, pfyob, pfzob       
       1      500      0.000E+00      1.688E+00
   time              pfxob_1         pfyob_1         pfzob_1
   6.2724298E-01  -1.2836237E-01  -2.7524197E+00   2.4372010E+00
   6.3157594E-01   8.8090442E-02  -2.8709681E+00   2.4385655E+00
   6.3494211E-01  -1.2536459E-01  -3.2206256E+00   2.4449971E+00
   6.3776940E-01   1.7955557E-02  -3.2719314E+00   2.4437177E+00
   6.4104229E-01   3.4012659E-03  -3.4225678E+00   2.4479544E+00
   6.4480478E-01  -4.8308160E-02  -3.5431495E+00   2.4554577E+00
   6.4876270E-01   2.3741646E-02  -3.7041693E+00   2.4590249E+00
   6.5123284E-01   1.5600300E-01  -3.6831346E+00   2.4624724E+00
   6.5542078E-01  -1.0209265E-01  -4.1408443E+00   2.4692125E+00
   6.5857333E-01  -5.4204572E-02  -4.1609688E+00   2.4701324E+00
   6.6191697E-01  -6.6225617E-03  -4.5641294E+00   2.4670854E+00
   6.6527593E-01  -1.4574958E-01  -4.5139570E+00   2.4783983E+00
   6.6853714E-01  -3.8162325E-02  -4.7564230E+00   2.4696832E+00
   6.7210001E-01  -1.3199039E-01  -4.8110757E+00   2.4833431E+00
   6.7595148E-01   5.7220399E-02  -4.9635253E+00   2.4843864E+00
   6.7798018E-01  -8.6534023E-03  -5.0526452E+00   2.4841383E+00
   6.8185431E-01  -4.6704739E-02  -5.2900963E+00   2.4740152E+00
   6.8599010E-01  -5.5712555E-02  -5.4310327E+00   2.4859281E+00
   6.8821430E-01  -9.5864117E-02  -5.5150852E+00   2.4822538E+00
   6.9248921E-01   5.8043219E-02  -5.6531973E+00   2.4905334E+00
   6.9451588E-01   4.1252263E-03  -5.7650576E+00   2.4931898E+00
   6.9887495E-01  -8.7364800E-02  -5.8473558E+00   2.4944589E+00
   7.0338553E-01  -5.2393399E-02  -6.0373888E+00   2.4877176E+00
   7.0567262E-01  -1.4482554E-02  -6.2012296E+00   2.4984744E+00
   7.0786476E-01   8.9940708E-03  -6.2115335E+00   2.4919894E+00
   7.1201271E-01  -1.9847403E-01  -6.3344016E+00   2.4830754E+00
   7.1576661E-01  -7.1456097E-02  -6.5262218E+00   2.4820843E+00
   7.1938056E-01  -3.8932585E-03  -6.5469575E+00   2.4823620E+00
   7.2278482E-01  -4.5513738E-02  -6.6979160E+00   2.5050936E+00
   7.2593552E-01  -8.6767681E-02  -6.8221951E+00   2.5064073E+00
