  flscon:  version 23.2.0.01  win64 2022 
 FLOW-3D   21:00:13  02/09/2024 bpnh     
   hydr3d   version  23.2.0.20 win64     12/04/2023 HYDRO    
 Simulation Template: Free Surface - TruVOF (Default)                            

Mesh Block   1
 printing pfxob, pfyob, pfzob       
       1      554      0.000E+00      1.866E+00
   time              pfxob_1         pfyob_1         pfzob_1
   6.8091911E-01  -8.4898204E-02  -6.4274616E+00   3.2421641E+00
   6.8498433E-01  -3.3448216E-02  -6.7163024E+00   3.2388916E+00
   6.8897426E-01   2.2684230E-02  -6.9423556E+00   3.2395778E+00
   6.9106400E-01  -3.3355568E-02  -7.0075626E+00   3.2421091E+00
   6.9532824E-01  -8.5082479E-02  -7.3558073E+00   3.2380385E+00
   6.9952703E-01  -4.1303635E-02  -7.4298062E+00   3.2380102E+00
   7.0265090E-01  -4.9845684E-02  -7.6089664E+00   3.2412238E+00
   7.0604271E-01   3.8523365E-02  -7.7662721E+00   3.2229362E+00
   7.0972729E-01  -1.9460700E-01  -7.8584838E+00   3.2193944E+00
   7.1170890E-01  -9.0289965E-02  -7.9002113E+00   3.2309325E+00
   7.1572208E-01   4.9927488E-02  -8.1668711E+00   3.2263942E+00
   7.1880782E-01  -7.0312503E-03  -8.3881912E+00   3.2256491E+00
   7.2220987E-01  -2.8421186E-02  -8.3513632E+00   3.2216239E+00
   7.2596061E-01  -3.7292901E-02  -8.6054907E+00   3.2307093E+00
   7.3006427E-01   7.3389210E-02  -8.7247496E+00   3.2444315E+00
   7.3331428E-01   1.8933762E-02  -8.8111286E+00   3.2581470E+00
   7.3689741E-01   4.2647634E-02  -9.0000172E+00   3.2533469E+00
   7.3879302E-01  -2.8919696E-03  -9.1627226E+00   3.2526908E+00
   7.4255717E-01   5.1789727E-02  -9.2750216E+00   3.2492929E+00
   7.4624771E-01  -7.9058290E-02  -9.3549690E+00   3.2632356E+00
   7.5001258E-01  -5.6677453E-02  -9.5239401E+00   3.2665794E+00
   7.5357807E-01  -4.7577720E-02  -9.6371593E+00   3.2683086E+00
   7.5534952E-01  -4.7469433E-02  -9.6967611E+00   3.2612436E+00
   7.5899851E-01  -9.6366955E-03  -9.7820377E+00   3.2558689E+00
   7.6218146E-01  -1.5580984E-02  -9.8097763E+00   3.2520735E+00
   7.6569068E-01  -7.2386868E-02  -1.0016913E+01   3.2401552E+00
   7.6939452E-01  -1.1989943E-01  -1.0103135E+01   3.2425182E+00
   7.7302921E-01  -6.4764678E-02  -1.0052856E+01   3.2391741E+00
   7.7663249E-01   7.3274843E-02  -1.0077573E+01   3.2329094E+00
   7.8020000E-01  -1.0138002E-02  -1.0302957E+01   3.2243533E+00
   7.8373706E-01  -4.8387609E-02  -1.0537705E+01   3.1853864E+00
   7.8717715E-01  -1.0594254E-01  -1.0444853E+01   3.1840684E+00
   7.9049999E-01  -1.1051232E-01  -1.0582746E+01   3.1826565E+00
   7.9377902E-01  -1.3527326E-02  -1.0487028E+01   3.1908734E+00
   7.9695123E-01   1.1205941E-01  -1.0593353E+01   3.1831758E+00
   8.0006701E-01   7.8838244E-02  -1.0709725E+01   3.1732252E+00
   8.0309838E-01  -1.3286234E-01  -1.0753839E+01   3.1664531E+00
   8.0754602E-01   1.4233554E-02  -1.0672029E+01   3.1664362E+00
   8.1041849E-01   1.1682735E-01  -1.0797024E+01   3.1583412E+00
   8.1321967E-01   1.9204274E-02  -1.0719967E+01   3.1581311E+00
   8.1729454E-01  -5.4940511E-02  -1.0828503E+01   3.1303148E+00
   8.2018316E-01  -7.8484073E-02  -1.0835004E+01   3.1243327E+00
   8.2329243E-01  -2.6354216E-02  -1.0791778E+01   3.1157498E+00
   8.2646626E-01  -2.3919936E-02  -1.0866024E+01   3.1109281E+00
   8.3110881E-01   6.5293863E-02  -1.0874423E+01   3.1114993E+00
   8.3401734E-01  -1.3451764E-02  -1.0893854E+01   3.1348131E+00
