  flscon:  version 23.2.0.01  win64 2022 
 FLOW-3D   17:08:25  02/06/2024 httg     
   hydr3d   version  23.2.0.20 win64     12/04/2023 HYDRO    
 Simulation Template: Free Surface - TruVOF (Default)                            

Mesh Block   1
 printing p, p, pfyob       
       3      996      5.409E-03      2.376E+00
   time              p_1             p_2             pfyob_1
   5.6756985E-01   4.6625386E+03   4.6137637E+03  -2.2448680E+00
   5.7050902E-01   4.6603823E+03   4.6122949E+03  -2.3796935E+00
   5.7271838E-01   4.6579302E+03   4.6098037E+03  -2.4778233E+00
   5.7493895E-01   4.6531016E+03   4.6062695E+03  -2.5365548E+00
   5.7716489E-01   4.6482905E+03   4.6019756E+03  -2.7977231E+00
   5.8011347E-01   4.6446353E+03   4.5992266E+03  -2.8996806E+00
   5.8234662E-01   4.6429746E+03   4.5978716E+03  -2.9880497E+00
   5.8458072E-01   4.6407500E+03   4.5958579E+03  -3.1533430E+00
   5.8681005E-01   4.6376987E+03   4.5940142E+03  -3.2515316E+00
   5.8932734E-01   4.6303535E+03   4.5877495E+03  -3.5073941E+00
   5.9139019E-01   4.6274487E+03   4.5857251E+03  -3.7807612E+00
   5.9366500E-01   4.6270249E+03   4.5849624E+03  -3.8025699E+00
   5.9670609E-01   4.6259907E+03   4.5842139E+03  -3.7911904E+00
   5.9900427E-01   4.6210693E+03   4.5794722E+03  -3.9686630E+00
   6.0132861E-01   4.6107969E+03   4.5716797E+03  -4.1000648E+00
   6.0360163E-01   4.6080918E+03   4.5690039E+03  -4.3287601E+00
   6.0589159E-01   4.6072085E+03   4.5684697E+03  -4.4445677E+00
   6.0826725E-01   4.6064214E+03   4.5680459E+03  -4.6501546E+00
   6.1067635E-01   4.6027422E+03   4.5647349E+03  -4.6273475E+00
   6.1282521E-01   4.5970625E+03   4.5600293E+03  -5.2177472E+00
   6.1510015E-01   4.5914907E+03   4.5555801E+03  -5.0407004E+00
   6.1755162E-01   4.5908608E+03   4.5553755E+03  -5.1308799E+00
   6.2005258E-01   4.5889692E+03   4.5526733E+03  -5.1557851E+00
   6.2236899E-01   4.5790884E+03   4.5447812E+03  -5.2572312E+00
   6.2491918E-01   4.5767832E+03   4.5430635E+03  -5.5064483E+00
   6.2719572E-01   4.5727593E+03   4.5389697E+03  -5.3484321E+00
   6.2996280E-01   4.5692310E+03   4.5367422E+03  -5.9665079E+00
   6.3187659E-01   4.5652759E+03   4.5330366E+03  -5.6303053E+00
   6.3450390E-01   4.5626113E+03   4.5305884E+03  -6.1630902E+00
   6.3683969E-01   4.5587246E+03   4.5271909E+03  -6.3400702E+00
   6.3932377E-01   4.5519937E+03   4.5216938E+03  -6.5007381E+00
   6.4177078E-01   4.5465059E+03   4.5165635E+03  -6.2740979E+00
   6.4369440E-01   4.5422227E+03   4.5125166E+03  -6.8883190E+00
   6.4607042E-01   4.5426904E+03   4.5141382E+03  -6.4241061E+00
   6.4895850E-01   4.5401763E+03   4.5106274E+03  -6.9369092E+00
   6.5062821E-01   4.5317485E+03   4.5038535E+03  -6.9638085E+00
   6.5309608E-01   4.5262100E+03   4.4988398E+03  -7.1963229E+00
   6.5600318E-01   4.5184282E+03   4.4924268E+03  -7.1414027E+00
   6.5848261E-01   4.5192065E+03   4.4923223E+03  -7.0401745E+00
   6.6035998E-01   4.5146772E+03   4.4879941E+03  -8.6556845E+00
   6.6271573E-01   4.5117505E+03   4.4868765E+03  -7.0957747E+00
   6.6506100E-01   4.5067837E+03   4.4810010E+03  -7.7850723E+00
   6.6791165E-01   4.5023765E+03   4.4784224E+03  -7.9172726E+00
   6.7044604E-01   4.4972134E+03   4.4727930E+03  -7.7976832E+00
   6.7235386E-01   4.4923042E+03   4.4687891E+03  -7.9921904E+00
   6.7432231E-01   4.4862583E+03   4.4631074E+03  -8.1213140E+00
   6.7732650E-01   4.4786201E+03   4.4564531E+03  -8.3177080E+00
   6.7992461E-01   4.4757275E+03   4.4536875E+03  -9.3929033E+00
   6.8197966E-01   4.4834517E+03   4.4614497E+03  -8.1002998E+00
   6.8408251E-01   4.4665913E+03   4.4459976E+03  -8.8845596E+00
   6.8676639E-01   4.4620791E+03   4.4414033E+03  -8.5869951E+00
   6.8872064E-01   4.4582114E+03   4.4374688E+03  -9.2561893E+00
   6.9181365E-01   4.4501113E+03   4.4313506E+03  -9.1934662E+00
   6.9360179E-01   4.4509702E+03   4.4313682E+03  -8.8823786E+00
   6.9611609E-01   4.4466802E+03   4.4267300E+03  -9.8812037E+00
   6.9852132E-01   4.4379839E+03   4.4204600E+03  -9.2541971E+00
   7.0057923E-01   4.4375342E+03   4.4181357E+03  -1.0065087E+01
   7.0347929E-01   4.4292896E+03   4.4128452E+03  -1.0228515E+01
   7.0576972E-01   4.4235229E+03   4.4057954E+03  -1.0230393E+01
   7.0810390E-01   4.4225073E+03   4.4059673E+03  -1.0349817E+01
   7.1059394E-01   4.4213770E+03   4.4036387E+03  -1.0243797E+01
   7.1261394E-01   4.4070742E+03   4.3913979E+03  -9.6516171E+00
   7.1519208E-01   4.3999688E+03   4.3838579E+03  -1.1142361E+01
   7.1775866E-01   4.4034951E+03   4.3884326E+03  -1.0386154E+01
   7.2004050E-01   4.4040107E+03   4.3873091E+03  -1.0572180E+01
   7.2244895E-01   4.3915508E+03   4.3764365E+03  -1.0672260E+01
   7.2425526E-01   4.3869502E+03   4.3729194E+03  -1.0619989E+01
   7.2678745E-01   4.3806782E+03   4.3654385E+03  -1.1265977E+01
   7.2905129E-01   4.3695645E+03   4.3560811E+03  -1.0750332E+01
   7.3205054E-01   4.3691240E+03   4.3556978E+03  -1.1024523E+01
   7.3456013E-01   4.3698789E+03   4.3561943E+03  -1.0977379E+01
   7.3641670E-01   4.3672788E+03   4.3530366E+03  -1.1308695E+01
   7.3923087E-01   4.3571226E+03   4.3442798E+03  -1.1414388E+01
   7.4127048E-01   4.3471523E+03   4.3350605E+03  -1.1644660E+01
   7.4348348E-01   4.3444790E+03   4.3329849E+03  -1.1462705E+01
   7.4572551E-01   4.3421255E+03   4.3290469E+03  -1.1588738E+01
   7.4814880E-01   4.3386406E+03   4.3266147E+03  -1.1665689E+01
   7.5092816E-01   4.3316636E+03   4.3199136E+03  -1.1775834E+01
   7.5336242E-01   4.3228335E+03   4.3115864E+03  -1.1888048E+01
   7.5586760E-01   4.3192910E+03   4.3081929E+03  -1.1810231E+01
   7.5757867E-01   4.3175879E+03   4.3063501E+03  -1.2126317E+01
   7.6018971E-01   4.3142461E+03   4.3034111E+03  -1.2029722E+01
   7.6310682E-01   4.3058379E+03   4.2949194E+03  -1.2068377E+01
   7.6507312E-01   4.2971240E+03   4.2869712E+03  -1.2126522E+01
   7.6768565E-01   4.2935981E+03   4.2837236E+03  -1.2222336E+01
   7.6948231E-01   4.2928613E+03   4.2828340E+03  -1.2294102E+01
   7.7237284E-01   4.2877046E+03   4.2774932E+03  -1.2291116E+01
   7.7433974E-01   4.2802246E+03   4.2707646E+03  -1.2321566E+01
   7.7731478E-01   4.2711250E+03   4.2618916E+03  -1.2447715E+01
   7.7906346E-01   4.2668359E+03   4.2577026E+03  -1.2835958E+01
   7.8155565E-01   4.2652759E+03   4.2568794E+03  -1.2565964E+01
   7.8430891E-01   4.2643857E+03   4.2545361E+03  -1.2545170E+01
   7.8623199E-01   4.2579043E+03   4.2485742E+03  -1.2665078E+01
   7.8905398E-01   4.2496206E+03   4.2411646E+03  -1.2721026E+01
   7.9081941E-01   4.2426885E+03   4.2343052E+03  -1.2572771E+01
   7.9371297E-01   4.2396714E+03   4.2314097E+03  -1.2719242E+01
   7.9557079E-01   4.2381626E+03   4.2295635E+03  -1.2744308E+01
   7.9830378E-01   4.2307769E+03   4.2222383E+03  -1.2731234E+01
   8.0119902E-01   4.2225708E+03   4.2147642E+03  -1.2698783E+01
   8.0319130E-01   4.2210698E+03   4.2131816E+03  -1.2844579E+01
   8.0511838E-01   4.2187441E+03   4.2103271E+03  -1.2779623E+01
   8.0807215E-01   4.2124761E+03   4.2045342E+03  -1.2787281E+01
   8.1004316E-01   4.2053169E+03   4.1974976E+03  -1.2779490E+01
   8.1296319E-01   4.1991631E+03   4.1912710E+03  -1.2729599E+01
   8.1489640E-01   4.1961162E+03   4.1883481E+03  -1.2745833E+01
