  flscon:  version 23.2.0.01  win64 2022 
 FLOW-3D   16:31:12  02/12/2024 cero     
   hydr3d   version  23.2.0.20 win64     12/04/2023 HYDRO    
 Simulation Template: Free Surface - TruVOF (Default)                            

Mesh Block   1
 printing pfxob, pfyob, pfzob       
       1     1002      0.000E+00      3.376E+00
   time              pfxob_1         pfyob_1         pfzob_1
   8.3371431E-01  -4.3970160E-02  -7.1485152E+00  -4.4718513E-01
   8.3697498E-01  -5.5405824E-03  -7.1656947E+00  -4.2954618E-01
   8.4021819E-01  -1.4901141E-02  -7.1392274E+00  -4.2593172E-01
   8.4349686E-01  -6.4776745E-03  -7.1885633E+00  -4.0810913E-01
   8.4689403E-01  -2.4217835E-02  -7.2267017E+00  -4.0809572E-01
   8.5061967E-01  -7.8994194E-03  -7.2296662E+00  -3.9328349E-01
   8.5371220E-01  -4.2387500E-02  -7.2495356E+00  -3.8007060E-01
   8.5716736E-01   2.1497779E-02  -7.2175283E+00  -3.7677807E-01
   8.6059809E-01  -7.7853142E-03  -7.2838840E+00  -3.6909249E-01
   8.6377507E-01   2.4167899E-02  -7.2756743E+00  -3.6252829E-01
   8.6809015E-01   3.2292088E-03  -7.2995262E+00  -3.4515443E-01
   8.7128121E-01   1.4515671E-02  -7.2750177E+00  -3.4450588E-01
   8.7428445E-01   4.2227801E-02  -7.3552408E+00  -3.4035546E-01
   8.7742418E-01   4.4026334E-02  -7.2996664E+00  -3.0675215E-01
   8.8139099E-01   3.8508255E-02  -7.3142586E+00  -3.1132603E-01
   8.8423872E-01   9.6368585E-03  -7.3759403E+00  -3.0122718E-01
   8.8785213E-01   2.5754336E-02  -7.3046012E+00  -2.8389710E-01
   8.9148009E-01   2.2841113E-02  -7.3502173E+00  -2.7530247E-01
   8.9480269E-01   4.0685058E-02  -7.3477154E+00  -2.7990815E-01
   8.9826012E-01   2.0721272E-02  -7.3150859E+00  -2.5943276E-01
   9.0141851E-01   2.8856387E-02  -7.3354621E+00  -2.6332822E-01
   9.0494269E-01   3.3442847E-02  -7.3735814E+00  -2.6243290E-01
   9.0790474E-01   5.9544440E-02  -7.3066139E+00  -2.3842476E-01
   9.1187090E-01   3.5614904E-02  -7.3438144E+00  -2.3850957E-01
   9.1504204E-01   3.0663040E-02  -7.3506994E+00  -2.3015627E-01
   9.1786140E-01   5.9974682E-02  -7.3228083E+00  -2.2417539E-01
   9.2212707E-01   5.0932728E-02  -7.3247161E+00  -2.0767727E-01
   9.2507374E-01   1.5241436E-02  -7.3008347E+00  -2.0122640E-01
   9.2855799E-01   4.5623269E-02  -7.2734723E+00  -2.0686492E-01
   9.3194836E-01   7.0034973E-02  -7.2928877E+00  -1.8746820E-01
   9.3515021E-01   3.6302969E-02  -7.2847695E+00  -1.7696467E-01
   9.3848991E-01   4.3150183E-02  -7.2826300E+00  -1.7185004E-01
   9.4225544E-01   6.4288072E-02  -7.2813921E+00  -1.6308732E-01
   9.4502491E-01   9.3641602E-02  -7.2251496E+00  -1.5285408E-01
   9.4835895E-01   3.1968344E-02  -7.2094355E+00  -1.4454247E-01
   9.5239973E-01   5.0862815E-02  -7.1956601E+00  -1.3703348E-01
   9.5504040E-01   5.7106871E-02  -7.2130780E+00  -1.3112715E-01
   9.5844179E-01   7.2752617E-02  -7.1760731E+00  -1.1809772E-01
   9.6178228E-01   6.4879432E-02  -7.1472030E+00  -1.0572085E-01
   9.6588379E-01   6.3513339E-02  -7.1369433E+00  -1.0520310E-01
   9.6918684E-01   4.9748268E-02  -7.1459098E+00  -1.1664059E-01
   9.7243655E-01   5.6850925E-02  -7.0728245E+00  -9.6683383E-02
   9.7562546E-01   4.9474951E-02  -7.0849576E+00  -8.5833423E-02
   9.7870499E-01   4.5568835E-02  -7.0663333E+00  -7.9041861E-02
   9.8258024E-01   5.8543354E-02  -7.0500617E+00  -7.3221587E-02
   9.8563123E-01   6.6664569E-02  -7.0330977E+00  -7.1718551E-02
   9.8938656E-01   5.6563560E-02  -6.9931297E+00  -6.5556206E-02
   9.9233103E-01   6.2959775E-02  -6.9868336E+00  -5.8320280E-02
   9.9597782E-01   4.7807917E-02  -6.9246058E+00  -5.2976355E-02
   9.9956828E-01   3.8755912E-02  -6.8686852E+00  -5.2609719E-02
   1.0024021E+00   6.0421288E-02  -6.8797431E+00  -4.8702165E-02
   1.0058979E+00   1.0909097E-01  -6.8336368E+00  -6.5316074E-02
   1.0093445E+00   5.0695103E-02  -6.8093262E+00  -4.5732636E-02
   1.0127439E+00   4.8885293E-02  -6.8048959E+00  -3.2700095E-02
   1.0160984E+00   6.4070284E-02  -6.7655864E+00  -3.2367960E-02
   1.0194097E+00   6.1801311E-02  -6.6992002E+00  -2.9523566E-02
   1.0226794E+00   5.0420772E-02  -6.6555576E+00  -2.3368482E-02
   1.0265507E+00   5.9560854E-02  -6.6221628E+00  -2.0850156E-02
   1.0297348E+00   6.4394303E-02  -6.5851865E+00  -1.9053007E-02
   1.0331402E+00   6.1859660E-02  -6.5650768E+00  -1.6950032E-02
   1.0365589E+00   6.1240759E-02  -6.3639283E+00  -1.1102213E-02
   1.0397654E+00   8.0279671E-02  -6.4963918E+00  -1.5418943E-02
   1.0435954E+00   6.4210549E-02  -6.5222201E+00  -1.6892860E-02
   1.0466350E+00   6.0382031E-02  -6.3693347E+00  -3.6632693E-03
   1.0496743E+00   8.7334625E-02  -6.3209500E+00  -1.2880939E-03
   1.0536985E+00   6.2994421E-02  -6.2315001E+00  -9.3922643E-03
   1.0566695E+00   5.9115183E-02  -6.2580743E+00  -1.1614568E-03
   1.0596031E+00   7.6008543E-02  -6.2523923E+00   7.1375808E-03
   1.0634602E+00   6.9335736E-02  -6.1504321E+00   1.0824479E-02
   1.0672733E+00   7.3767595E-02  -6.0656304E+00   1.4239730E-02
   1.0701112E+00   7.5353041E-02  -6.0413694E+00   1.7337164E-02
   1.0735378E+00   7.3133983E-02  -5.9694781E+00   2.0268749E-02
   1.0765303E+00   6.9278799E-02  -5.9462252E+00   2.4432441E-02
   1.0805825E+00   7.0768006E-02  -5.8850222E+00   3.0548286E-02
   1.0836217E+00   7.1035214E-02  -5.8571472E+00   3.2338779E-02
   1.0866610E+00   7.4612714E-02  -5.8069220E+00   3.5774603E-02
   1.0906980E+00   7.0485830E-02  -5.6848359E+00   4.1341878E-02
   1.0936141E+00   6.9306739E-02  -5.6694055E+00   4.3436039E-02
   1.0973439E+00   7.1546152E-02  -5.6344104E+00   4.6571743E-02
   1.1007596E+00   7.8307889E-02  -5.5872741E+00   4.2761687E-02
   1.1038260E+00   7.2436109E-02  -5.4959588E+00   5.1364221E-02
   1.1075437E+00   7.0518255E-02  -5.4486899E+00   5.4032024E-02
   1.1106629E+00   6.9650404E-02  -5.4041729E+00   5.9519853E-02
   1.1138576E+00   7.4819900E-02  -5.3414545E+00   5.8037408E-02
   1.1177567E+00   6.2017497E-02  -5.2524266E+00   6.0645152E-02
   1.1208106E+00   6.2617794E-02  -5.2246857E+00   6.4067349E-02
   1.1245567E+00   6.2893644E-02  -5.1682878E+00   6.3664779E-02
   1.1277486E+00   7.1031265E-02  -5.0622330E+00   6.9602557E-02
   1.1311814E+00   6.1140563E-02  -5.0317888E+00   7.1027182E-02
   1.1345491E+00   6.0343895E-02  -5.0039949E+00   7.2152480E-02
   1.1378555E+00   6.1247185E-02  -4.9387107E+00   7.3778480E-02
