  flscon:  version 23.2.0.01  win64 2022 
 FLOW-3D   23:25:45  02/28/2024 bpnh     
   hydr3d   version  23.2.0.20 win64     12/04/2023 HYDRO    
 Simulation Template: Free Surface - TruVOF (Default)                            

Mesh Block   1
 printing pfxob, pfyob, pfzob       
       1     1001      0.000E+00      3.342E+00
   time              pfxob_1         pfyob_1         pfzob_1
   7.7127445E-01  -9.2036270E-02  -9.4584770E+00   1.8508549E+00
   7.7538425E-01  -3.5449792E-02  -9.6332312E+00   1.8490484E+00
   7.7861118E-01  -5.8263913E-03  -9.6469135E+00   1.8481022E+00
   7.8190541E-01  -8.7300837E-02  -9.7818966E+00   1.8461889E+00
   7.8510743E-01  -5.6687199E-02  -9.7379837E+00   1.8442248E+00
   7.8839028E-01  -1.4534608E-02  -9.8567009E+00   1.8435817E+00
   7.9170448E-01  -1.1396047E-02  -9.8901148E+00   1.8426837E+00
   7.9487270E-01   9.3040466E-03  -1.0014246E+01   1.8415828E+00
   7.9812294E-01  -1.2502864E-02  -1.0119493E+01   1.8397213E+00
   8.0203891E-01  -1.2415051E-03  -1.0073129E+01   1.8389760E+00
   8.0510896E-01   3.4879313E-03  -1.0124258E+01   1.8382629E+00
   8.0815989E-01   2.1757907E-03  -1.0218902E+01   1.8373424E+00
   8.1191468E-01  -5.4999296E-02  -1.0099214E+01   1.8348824E+00
   8.1497931E-01  -2.3834318E-02  -1.0219037E+01   1.8334732E+00
   8.1807423E-01  -9.5251277E-03  -1.0286012E+01   1.8336562E+00
   8.2178342E-01  -4.2372249E-02  -1.0090879E+01   1.8339808E+00
   8.2485110E-01  -2.6458615E-04  -1.0215695E+01   1.8324450E+00
   8.2867026E-01  -3.0525411E-02  -1.0289529E+01   1.8312278E+00
   8.3163184E-01   8.5111131E-04  -1.0244166E+01   1.8291860E+00
   8.3546525E-01  -1.9078642E-02  -1.0294250E+01   1.8283693E+00
   8.3854824E-01  -2.5005888E-03  -1.0301834E+01   1.8274544E+00
   8.4150708E-01   2.6827592E-03  -1.0309895E+01   1.8249776E+00
   8.4527475E-01  -4.7288105E-02  -1.0236475E+01   1.8240067E+00
   8.4835523E-01  -1.6168218E-02  -1.0292517E+01   1.8238270E+00
   8.5208249E-01  -4.4513427E-02  -1.0301267E+01   1.8222283E+00
   8.5501897E-01  -1.0156854E-02  -1.0130859E+01   1.8205439E+00
   8.5882181E-01  -1.4253481E-02  -1.0194000E+01   1.8190068E+00
