  flscon:  version 23.2.0.01  win64 2022 
 FLOW-3D   05:11:31  02/29/2024 jcer     
   hydr3d   version  23.2.0.20 win64     12/04/2023 HYDRO    
 Simulation Template: Free Surface - TruVOF (Default)                            

Mesh Block   1
 printing pfxob, pfyob, pfzob       
       1     1002      0.000E+00      3.341E+00
   time              pfxob_1         pfyob_1         pfzob_1
   5.2462167E-01   8.7175025E-03   3.3479714E+00   4.1789570E-01
   5.2757847E-01  -2.9758429E-03   3.1160920E+00   4.1487467E-01
   5.3145343E-01   3.1771809E-02   2.9960253E+00   4.1129115E-01
   5.3460723E-01   7.2694141E-03   2.8812230E+00   4.0881822E-01
   5.3783476E-01  -2.9288910E-02   2.7284224E+00   4.0578219E-01
   5.4101366E-01  -2.9321404E-03   2.5708532E+00   4.0181410E-01
   5.4469341E-01  -2.6188480E-02   2.4040427E+00   3.9530170E-01
   5.4823524E-01  -2.5491126E-02   2.2623153E+00   3.9416197E-01
   5.5138272E-01   2.1846922E-02   2.0955658E+00   3.9548483E-01
   5.5479157E-01  -1.9675398E-02   1.9396107E+00   3.9294001E-01
   5.5807954E-01  -1.7785517E-02   1.7788688E+00   3.8684234E-01
   5.6130296E-01   1.3841023E-03   1.6447891E+00   3.8451549E-01
   5.6462663E-01  -5.7813898E-02   1.2511543E+00   3.8476098E-01
   5.6831366E-01  -1.0928204E-02   1.3625720E+00   3.8156828E-01
   5.7086354E-01  -3.1458758E-02   1.3666433E+00   3.8078463E-01
   5.7423657E-01  -1.2726222E-02   9.4693279E-01   3.8107294E-01
   5.7788360E-01  -2.6331250E-02   9.4131178E-01   3.7788984E-01
   5.8107418E-01  -2.1094831E-02   8.3865672E-01   3.7893265E-01
   5.8488691E-01  -3.4640681E-02   3.5312903E-01   3.7430432E-01
   5.8785307E-01  -2.7708050E-03   5.2456903E-01   3.7267917E-01
   5.9092474E-01  -4.4159725E-02   4.2235601E-01   3.7381771E-01
   5.9412497E-01  -2.8600084E-02   1.9272506E-01   3.7421319E-01
   5.9743553E-01  -1.3086986E-02  -3.9888427E-01   3.7452278E-01
   6.0180116E-01  -4.8971213E-02  -6.3978426E-02   3.7361860E-01
   6.0469007E-01  -2.9425850E-02  -1.2991107E-01   3.7370741E-01
   6.0761070E-01  -5.3666960E-02  -5.9114456E-01   3.7211740E-01
   6.1084485E-01  -5.7929676E-02  -8.2142389E-01   3.7546492E-01
   6.1462647E-01  -4.4082519E-02  -7.3936158E-01   3.7273347E-01
   6.1817473E-01  -2.6864504E-02  -8.1346011E-01   3.7408623E-01
   6.2161309E-01  -1.7198578E-02  -1.1145012E+00   3.7609234E-01
   6.2466985E-01  -3.8909499E-02  -1.3356847E+00   3.7695554E-01
   6.2805533E-01  -3.8224541E-02  -1.3834324E+00   3.7853104E-01
   6.3150573E-01  -8.2891487E-02  -1.4657753E+00   3.7653360E-01
   6.3462389E-01  -4.4699110E-02  -1.6045370E+00   3.7796435E-01
   6.3816637E-01  -4.7973558E-02  -1.8147644E+00   3.7934801E-01
   6.4112556E-01  -2.9726082E-02  -1.9570804E+00   3.8142020E-01
   6.4472246E-01  -4.3052569E-02  -1.9963006E+00   3.8536003E-01
   6.4798474E-01  -8.1428334E-02  -2.0593951E+00   3.8332999E-01
   6.5183419E-01  -4.0390346E-02  -2.3903408E+00   3.9023501E-01
   6.5515083E-01  -4.5563061E-02  -2.4612918E+00   3.9041787E-01
   6.5845186E-01  -2.9287921E-02  -2.5486555E+00   3.9209026E-01
   6.6179091E-01  -2.3619441E-02  -2.6526463E+00   3.9438334E-01
   6.6474611E-01  -3.7375636E-02  -2.8140352E+00   3.9315015E-01
   6.6802263E-01  -4.5922179E-02  -2.9295537E+00   3.9713821E-01
   6.7102134E-01  -3.6159899E-02  -3.0207658E+00   4.0058050E-01
   6.7494816E-01  -3.0389275E-02  -3.1368396E+00   4.0229705E-01
   6.7803311E-01  -6.3567266E-02  -3.2879491E+00   4.0522566E-01
