  flscon:  version 23.2.0.01  win64 2022 
 FLOW-3D   07:57:11  02/29/2024 urib     
   hydr3d   version  23.2.0.20 win64     12/04/2023 HYDRO    
 Simulation Template: Free Surface - TruVOF (Default)                            

Mesh Block   1
 printing pfxob, pfyob, pfzob       
       1     1001      0.000E+00      3.341E+00
   time              pfxob_1         pfyob_1         pfzob_1
   1.0557191E+00   1.7236438E-02  -5.5803280E+00  -2.8461799E-01
   1.0592446E+00   2.4180202E-02  -5.5862427E+00  -2.7839923E-01
   1.0620358E+00   1.4502217E-02  -5.5505676E+00  -2.7548605E-01
   1.0656861E+00   1.2310612E-02  -5.5253015E+00  -2.7004611E-01
   1.0686369E+00   6.7818887E-03  -5.4751115E+00  -2.6750362E-01
   1.0722921E+00   1.6615089E-02  -5.4463825E+00  -2.6181290E-01
   1.0759519E+00   3.6291950E-03  -5.4205942E+00  -2.5742370E-01
   1.0789218E+00   1.5015822E-02  -5.3929882E+00  -2.5555941E-01
   1.0827185E+00   1.5158254E-02  -5.3715391E+00  -2.4983491E-01
   1.0858396E+00   3.9818129E-03  -5.3306351E+00  -2.4471383E-01
   1.0890509E+00   7.5249216E-03  -5.2950864E+00  -2.3995449E-01
   1.0923669E+00   1.9846164E-02  -5.2467861E+00  -2.3760077E-01
   1.0958263E+00   8.0608502E-03  -5.2450166E+00  -2.3363797E-01
   1.0994717E+00   1.2746435E-02  -5.2002945E+00  -2.2910252E-01
   1.1024528E+00   1.2061591E-02  -5.1967344E+00  -2.2591843E-01
   1.1058787E+00   3.8751515E-03  -5.1354494E+00  -2.2011717E-01
   1.1088347E+00   1.3836056E-02  -5.1003819E+00  -2.2292316E-01
   1.1124278E+00   2.4912434E-04  -5.1020622E+00  -2.1149690E-01
   1.1156222E+00   4.6153933E-02  -5.0054750E+00  -2.5648776E-01
   1.1193386E+00  -9.6600978E-03  -5.0126305E+00  -1.8501769E-01
   1.1223649E+00  -5.2344450E-03  -4.9865813E+00  -1.9938058E-01
   1.1255796E+00   5.6497293E-04  -4.9674253E+00  -2.0052309E-01
   1.1291153E+00  -4.4148820E-03  -4.9107151E+00  -1.9348449E-01
   1.1321645E+00   8.0909431E-03  -4.8318639E+00  -1.9017398E-01
   1.1355236E+00   7.3523261E-03  -4.8492851E+00  -1.8810377E-01
