  flscon:  version 23.2.0.01  win64 2022 
 FLOW-3D   02:11:33  02/29/2024 cero     
   hydr3d   version  23.2.0.20 win64     12/04/2023 HYDRO    
 Simulation Template: Free Surface - TruVOF (Default)                            

Mesh Block   1
 printing pfxob, pfyob, pfzob       
       1     1002      0.000E+00      3.341E+00
   time              pfxob_1         pfyob_1         pfzob_1
   8.4875393E-01   9.2916694E-03  -8.7261496E+00   1.1288813E+00
   8.5173804E-01   1.4920356E-02  -8.7741318E+00   1.1273869E+00
   8.5556024E-01  -1.7025923E-02  -8.7543478E+00   1.1265162E+00
   8.5868710E-01  -3.5531752E-02  -8.7745829E+00   1.1312288E+00
   8.6188686E-01  -6.1202906E-02  -8.8253860E+00   1.1254246E+00
   8.6515731E-01  -1.4079987E-02  -8.7466154E+00   1.1298351E+00
   8.6831915E-01   6.4481464E-03  -8.8085861E+00   1.1301687E+00
   8.7177825E-01   2.7509131E-02  -8.8196812E+00   1.1384408E+00
   8.7539136E-01  -6.3043289E-02  -8.7806511E+00   1.1381164E+00
   8.7858617E-01   3.4866794E-03  -8.7839346E+00   1.1386945E+00
   8.8173878E-01  -1.2211886E-02  -8.7937241E+00   1.1397691E+00
   8.8494611E-01  -2.0473573E-02  -8.7978191E+00   1.1389575E+00
   8.8867539E-01  -3.6378857E-02  -8.8098717E+00   1.1443287E+00
   8.9192444E-01  -4.7147155E-02  -8.6957798E+00   1.1455613E+00
   8.9491558E-01  -1.0405842E-02  -8.8114910E+00   1.1499423E+00
   8.9850694E-01  -6.0370795E-02  -8.8027172E+00   1.1527729E+00
   9.0222901E-01  -1.8015426E-02  -8.7965002E+00   1.1520630E+00
   9.0501463E-01   8.1605362E-03  -8.7922182E+00   1.1556709E+00
   9.0872055E-01  -2.0414723E-02  -8.7694273E+00   1.1586702E+00
   9.1240579E-01   3.5706051E-02  -8.7240448E+00   1.1579231E+00
   9.1514140E-01  -2.9826308E-02  -8.7655735E+00   1.1602527E+00
   9.1882503E-01  -8.8187784E-02  -8.6806135E+00   1.1605914E+00
   9.2158437E-01   4.2435476E-03  -8.7586870E+00   1.1626394E+00
   9.2525572E-01  -1.6099387E-03  -8.6324005E+00   1.1593676E+00
   9.2891902E-01  -1.5332448E-02  -8.5084162E+00   1.1597592E+00
   9.3166000E-01  -2.8952733E-02  -8.6311407E+00   1.1660848E+00
   9.3531090E-01  -2.0804729E-02  -8.5772209E+00   1.1700878E+00
   9.3889940E-01  -2.0563515E-02  -8.5286922E+00   1.1759465E+00
   9.4245380E-01   1.9221297E-02  -8.5905275E+00   1.1723231E+00
   9.4509447E-01  -2.6682818E-02  -8.5524769E+00   1.1776320E+00
   9.4863206E-01  -2.2051781E-02  -8.5279131E+00   1.1795371E+00
   9.5216656E-01   1.8602574E-02  -8.4695129E+00   1.1784825E+00
   9.5565170E-01  -3.5203479E-02  -8.4348583E+00   1.1674299E+00
   9.5908314E-01   8.6039053E-03  -8.4923525E+00   1.1707011E+00
   9.6175683E-01  -2.8610650E-02  -8.3700304E+00   1.1784950E+00
   9.6530282E-01   1.3611566E-02  -8.3350668E+00   1.1751006E+00
   9.6869975E-01   4.4379983E-02  -8.2880363E+00   1.1835238E+00
   9.7211713E-01  -6.0127494E-03  -8.3057585E+00   1.1811939E+00
   9.7546667E-01   1.1402543E-02  -8.2105703E+00   1.1798321E+00
   9.7876120E-01  -4.2098369E-03  -8.1586666E+00   1.1872324E+00
   9.8199427E-01  -5.8817457E-02  -8.0860643E+00   1.1784562E+00
   9.8517185E-01   2.4633300E-02  -8.1173716E+00   1.1852421E+00
   9.8908579E-01  -1.9790191E-02  -8.0939379E+00   1.1762203E+00
   9.9216014E-01   3.4176990E-02  -8.0555897E+00   1.1822171E+00
   9.9517328E-01  -1.2973423E-02  -7.9830914E+00   1.1824393E+00
   9.9875438E-01   1.3854166E-02  -7.9745045E+00   1.1793978E+00
   1.0019630E+00   1.0378002E-02  -7.8536234E+00   1.1782798E+00
   1.0052433E+00   3.1186556E-03  -7.8068452E+00   1.1789562E+00
   1.0085703E+00   2.7866889E-02  -7.7758665E+00   1.1811241E+00
   1.0118940E+00   2.6015926E-02  -7.7626686E+00   1.1779625E+00
   1.0152276E+00   8.2791811E-03  -7.6980386E+00   1.1772816E+00
